--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Alessio/imu/slope_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0215, Std=1.5338, Min=-5.6336, Max=6.4318, RMS=1.5340
  Col 1: Mean=-0.0160, Std=1.7257, Min=-8.5020, Max=5.4290, RMS=1.7257
  Col 2: Mean=0.0029, Std=1.7230, Min=-3.8226, Max=7.9878, RMS=1.7230
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0291, Std=0.8421, Min=-2.2274, Max=2.3143, RMS=0.8426
  Col 13: Mean=-0.0179, Std=0.7287, Min=-2.3620, Max=1.4268, RMS=0.7289
  Col 14: Mean=0.0086, Std=1.5566, Min=-3.5051, Max=7.6770, RMS=1.5566
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0414, Std=0.9704, Min=-2.8634, Max=2.3663, RMS=0.9713
  Col 19: Mean=-0.0029, Std=0.5819, Min=-1.8911, Max=1.0396, RMS=0.5819
  Col 20: Mean=-0.0046, Std=1.5176, Min=-2.7959, Max=6.1009, RMS=1.5176
  Col 21: Mean=0.0363, Std=0.9750, Min=-2.0439, Max=2.8857, RMS=0.9756
  Col 22: Mean=-0.0180, Std=0.7513, Min=-2.2287, Max=1.5983, RMS=0.7515
  Col 23: Mean=0.0025, Std=1.7055, Min=-3.1983, Max=7.8241, RMS=1.7055
  Col 24: Mean=0.0074, Std=0.9166, Min=-2.0292, Max=2.5821, RMS=0.9166
  Col 25: Mean=-0.0375, Std=1.2529, Min=-6.8138, Max=2.9916, RMS=1.2535
  Col 26: Mean=-0.2729, Std=2.3676, Min=-9.0147, Max=7.4483, RMS=2.3832
  Col 27: Mean=0.0174, Std=0.8917, Min=-2.4814, Max=2.5964, RMS=0.8919
  Col 28: Mean=0.0058, Std=1.8777, Min=-4.4612, Max=5.5539, RMS=1.8777
  Col 29: Mean=-0.0104, Std=2.0131, Min=-4.3627, Max=7.4200, RMS=2.0131
  Col 30: Mean=0.0185, Std=1.2636, Min=-4.0481, Max=5.7234, RMS=1.2637
  Col 31: Mean=0.0194, Std=2.3182, Min=-6.9155, Max=5.1267, RMS=2.3183
  Col 32: Mean=-0.0157, Std=2.1806, Min=-4.8207, Max=6.4265, RMS=2.1807
  Col 33: Mean=0.0324, Std=0.8508, Min=-2.0623, Max=1.9728, RMS=0.8514
  Col 34: Mean=-0.0252, Std=0.9087, Min=-2.7455, Max=2.2680, RMS=0.9090
  Col 35: Mean=0.0120, Std=1.7354, Min=-3.1729, Max=7.2417, RMS=1.7355
  Col 36: Mean=0.0096, Std=0.9026, Min=-3.7600, Max=2.6120, RMS=0.9027
  Col 37: Mean=-0.0271, Std=1.7856, Min=-5.1874, Max=4.9355, RMS=1.7858
  Col 38: Mean=0.0085, Std=1.9625, Min=-3.8544, Max=7.6624, RMS=1.9625
  Col 39: Mean=0.0249, Std=2.0053, Min=-6.2578, Max=5.6002, RMS=2.0054
  Col 40: Mean=-0.0137, Std=2.6914, Min=-6.9307, Max=7.9842, RMS=2.6915
  Col 41: Mean=0.0012, Std=2.4147, Min=-6.0084, Max=9.1911, RMS=2.4147
  Col 42: Mean=0.0811, Std=2.4665, Min=-6.3104, Max=6.0082, RMS=2.4678
  Col 43: Mean=0.0164, Std=3.3693, Min=-9.8342, Max=8.5730, RMS=3.3694
  Col 44: Mean=-0.2808, Std=3.3022, Min=-9.3325, Max=9.8073, RMS=3.3141
  Col 45: Mean=0.0012, Std=3.2674, Min=-14.5977, Max=14.6705, RMS=3.2674
  Col 46: Mean=-0.0145, Std=4.0069, Min=-15.8082, Max=22.1100, RMS=4.0069
  Col 47: Mean=-0.0099, Std=3.4149, Min=-13.5449, Max=19.2434, RMS=3.4149
  Col 48: Mean=0.0247, Std=3.2593, Min=-19.1167, Max=13.1265, RMS=3.2593
  Col 49: Mean=0.0057, Std=3.8252, Min=-9.0229, Max=20.4965, RMS=3.8252
  Col 50: Mean=-0.0758, Std=2.5469, Min=-11.8144, Max=19.4549, RMS=2.5480
  Col 51: Mean=-0.0024, Std=4.3462, Min=-25.7605, Max=21.2419, RMS=4.3462
  Col 52: Mean=0.0209, Std=7.4936, Min=-35.5289, Max=26.6882, RMS=7.4937
  Col 53: Mean=-0.1088, Std=5.4939, Min=-34.4503, Max=25.0836, RMS=5.4950
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0136, Std=2.1500, Min=-9.0457, Max=13.0504, RMS=2.1500
  Col 58: Mean=-0.0090, Std=3.8515, Min=-19.1830, Max=17.5018, RMS=3.8515
  Col 59: Mean=0.0066, Std=3.8839, Min=-14.7810, Max=28.7376, RMS=3.8839
