--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Alessio/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0089, Std=1.7648, Min=-6.1384, Max=7.2968, RMS=1.7648
  Col 1: Mean=-0.0014, Std=1.9186, Min=-9.7739, Max=5.8870, RMS=1.9186
  Col 2: Mean=0.0037, Std=1.6908, Min=-4.5071, Max=7.9080, RMS=1.6908
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0017, Std=0.9574, Min=-2.7552, Max=2.3023, RMS=0.9574
  Col 13: Mean=-0.0032, Std=0.8215, Min=-2.8572, Max=1.6811, RMS=0.8215
  Col 14: Mean=0.0115, Std=1.5968, Min=-3.5299, Max=6.0693, RMS=1.5969
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0084, Std=1.0589, Min=-3.1725, Max=2.9520, RMS=1.0589
  Col 19: Mean=0.0001, Std=0.6651, Min=-1.9407, Max=1.2718, RMS=0.6651
  Col 20: Mean=0.0113, Std=1.5358, Min=-2.8889, Max=6.6963, RMS=1.5358
  Col 21: Mean=-0.0106, Std=1.0518, Min=-2.3799, Max=2.8170, RMS=1.0518
  Col 22: Mean=0.0007, Std=0.8000, Min=-2.2740, Max=1.8144, RMS=0.8000
  Col 23: Mean=0.0119, Std=1.8295, Min=-2.7985, Max=9.2152, RMS=1.8295
