--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Alessio/imu/slope_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0060, Std=1.1822, Min=-3.7143, Max=4.8918, RMS=1.1822
  Col 1: Mean=-0.0033, Std=1.6172, Min=-3.6095, Max=6.1250, RMS=1.6172
  Col 2: Mean=-0.0134, Std=1.6257, Min=-4.3255, Max=6.6527, RMS=1.6258
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0016, Std=0.8364, Min=-2.5362, Max=2.5114, RMS=0.8364
  Col 13: Mean=-0.0084, Std=1.1285, Min=-2.5124, Max=3.5290, RMS=1.1285
  Col 14: Mean=-0.0115, Std=1.5130, Min=-3.1273, Max=5.2711, RMS=1.5130
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0087, Std=0.8669, Min=-1.9289, Max=2.7893, RMS=0.8669
  Col 19: Mean=-0.0115, Std=0.9702, Min=-2.3423, Max=3.0485, RMS=0.9703
  Col 20: Mean=-0.0180, Std=1.4342, Min=-2.6564, Max=5.2418, RMS=1.4343
  Col 21: Mean=0.0057, Std=0.9429, Min=-2.7596, Max=2.5861, RMS=0.9429
  Col 22: Mean=-0.0109, Std=1.0971, Min=-2.6485, Max=4.1419, RMS=1.0972
  Col 23: Mean=-0.0119, Std=1.3049, Min=-2.2895, Max=4.7652, RMS=1.3049
  Col 24: Mean=0.0043, Std=0.8716, Min=-2.4237, Max=1.7435, RMS=0.8716
  Col 25: Mean=-0.0027, Std=1.2573, Min=-3.2178, Max=4.4238, RMS=1.2573
  Col 26: Mean=-0.0211, Std=1.4647, Min=-2.9941, Max=4.7936, RMS=1.4649
  Col 27: Mean=0.0182, Std=0.9995, Min=-3.0050, Max=2.4481, RMS=0.9997
  Col 28: Mean=-0.0281, Std=1.7739, Min=-4.8472, Max=4.2841, RMS=1.7742
  Col 29: Mean=-0.0163, Std=1.3279, Min=-3.0260, Max=5.1649, RMS=1.3280
  Col 30: Mean=0.0192, Std=1.3323, Min=-3.3803, Max=2.8403, RMS=1.3324
  Col 31: Mean=-0.0348, Std=2.0908, Min=-6.2442, Max=4.9983, RMS=2.0911
  Col 32: Mean=-0.0126, Std=1.4343, Min=-2.9425, Max=4.5733, RMS=1.4343
  Col 33: Mean=0.0040, Std=0.8117, Min=-2.2550, Max=2.2288, RMS=0.8117
  Col 34: Mean=-0.0116, Std=1.2870, Min=-2.9415, Max=4.5782, RMS=1.2870
  Col 35: Mean=-0.0084, Std=1.3112, Min=-2.2790, Max=4.9199, RMS=1.3112
  Col 36: Mean=0.0121, Std=0.9080, Min=-1.9930, Max=3.4605, RMS=0.9081
  Col 37: Mean=-0.0108, Std=1.6964, Min=-4.3494, Max=3.8625, RMS=1.6964
  Col 38: Mean=-0.0183, Std=1.5189, Min=-3.2981, Max=4.9517, RMS=1.5190
  Col 39: Mean=-0.0252, Std=1.7643, Min=-4.2450, Max=5.7998, RMS=1.7644
  Col 40: Mean=-0.0143, Std=2.4561, Min=-6.5612, Max=4.7760, RMS=2.4562
  Col 41: Mean=-0.0189, Std=1.8752, Min=-3.6985, Max=6.1710, RMS=1.8753
  Col 42: Mean=-0.0423, Std=2.3021, Min=-5.6922, Max=6.7702, RMS=2.3025
  Col 43: Mean=-0.0225, Std=3.1865, Min=-12.0877, Max=5.8991, RMS=3.1866
  Col 44: Mean=-0.0277, Std=2.2172, Min=-5.2125, Max=5.4761, RMS=2.2174
  Col 45: Mean=-0.0004, Std=2.7204, Min=-8.4794, Max=12.7879, RMS=2.7204
  Col 46: Mean=-0.0064, Std=3.9636, Min=-13.0171, Max=16.2977, RMS=3.9636
  Col 47: Mean=-0.0156, Std=3.5671, Min=-11.0046, Max=18.1393, RMS=3.5672
  Col 48: Mean=-0.0149, Std=2.8546, Min=-16.1624, Max=12.3896, RMS=2.8546
  Col 49: Mean=-0.0223, Std=3.9620, Min=-14.3415, Max=9.6108, RMS=3.9621
  Col 50: Mean=-0.0986, Std=2.3240, Min=-9.6476, Max=17.9902, RMS=2.3261
  Col 51: Mean=0.0000, Std=4.2188, Min=-15.4182, Max=18.7688, RMS=4.2188
  Col 52: Mean=-0.0407, Std=7.7995, Min=-33.6305, Max=24.4928, RMS=7.7996
  Col 53: Mean=-0.1169, Std=5.2366, Min=-33.1691, Max=17.2622, RMS=5.2379
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0113, Std=1.9774, Min=-8.3528, Max=9.8268, RMS=1.9774
  Col 58: Mean=-0.0047, Std=3.3482, Min=-10.6666, Max=10.1304, RMS=3.3482
  Col 59: Mean=-0.0076, Std=3.4686, Min=-12.4925, Max=20.7931, RMS=3.4686
  Col 60: Mean=-0.0016, Std=2.3286, Min=-10.7098, Max=8.2306, RMS=2.3286
  Col 61: Mean=-0.0247, Std=4.0488, Min=-15.0512, Max=10.9982, RMS=4.0489
  Col 62: Mean=-0.1057, Std=2.4184, Min=-10.7244, Max=14.7330, RMS=2.4207
  Col 63: Mean=-0.0264, Std=3.9767, Min=-16.2788, Max=15.9351, RMS=3.9768
  Col 64: Mean=-0.0307, Std=8.1369, Min=-32.7310, Max=30.8236, RMS=8.1369
  Col 65: Mean=-0.1359, Std=5.7484, Min=-33.0116, Max=27.1575, RMS=5.7500
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-5.4898, Std=8.9156, Min=-35.5002, Max=11.9077, RMS=10.4703
  Col 1: Mean=-75.0098, Std=2.6259, Min=-80.3444, Max=-66.9470, RMS=75.0557
  Col 2: Mean=-107.5137, Std=5.9633, Min=-117.9325, Max=-85.9844, RMS=107.6790
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-13.0367, Std=6.0465, Min=-26.6262, Max=-1.0559, RMS=14.3706
  Col 13: Mean=-64.2802, Std=5.6016, Min=-72.3505, Max=-55.3830, RMS=64.5238
  Col 14: Mean=73.2710, Std=6.0250, Min=64.1133, Max=86.6479, RMS=73.5183
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=79.2466, Std=8.2417, Min=65.4014, Max=92.4885, RMS=79.6740
  Col 19: Mean=1.5296, Std=3.9399, Min=-6.9060, Max=8.6060, RMS=4.2264
  Col 20: Mean=-30.6671, Std=3.8545, Min=-41.3419, Max=-24.3157, RMS=30.9084
  Col 21: Mean=42.3244, Std=5.9047, Min=33.3065, Max=51.6395, RMS=42.7343
  Col 22: Mean=-2.6616, Std=2.3321, Min=-7.2483, Max=2.6606, RMS=3.5387
  Col 23: Mean=166.8092, Std=2.8262, Min=162.1086, Max=172.9208, RMS=166.8331
  Col 24: Mean=-13.8234, Std=13.4818, Min=-35.4198, Max=12.0268, RMS=19.3092
  Col 25: Mean=-71.4695, Std=3.2065, Min=-79.0273, Max=-63.4113, RMS=71.5414
  Col 26: Mean=13.0114, Std=13.4077, Min=-16.0941, Max=32.0776, RMS=18.6832
  Col 27: Mean=-59.6025, Std=10.2524, Min=-83.2862, Max=-14.7821, RMS=60.4779
  Col 28: Mean=-67.5633, Std=8.4154, Min=-84.9979, Max=-45.4861, RMS=68.0854
  Col 29: Mean=69.0318, Std=13.9219, Min=16.4318, Max=106.1706, RMS=70.4217
  Col 30: Mean=63.3779, Std=6.5486, Min=46.9192, Max=78.4020, RMS=63.7153
  Col 31: Mean=-23.1522, Std=7.9953, Min=-50.3179, Max=-6.0230, RMS=24.4939
  Col 32: Mean=-70.4050, Std=7.9020, Min=-82.8697, Max=-52.8142, RMS=70.8470
  Col 33: Mean=44.6451, Std=5.5856, Min=36.9341, Max=54.5080, RMS=44.9932
  Col 34: Mean=-1.0991, Std=2.7047, Min=-7.1571, Max=3.5863, RMS=2.9195
  Col 35: Mean=133.5819, Std=2.8690, Min=126.7847, Max=139.3189, RMS=133.6127
  Col 36: Mean=4.2473, Std=23.7216, Min=-45.8310, Max=33.7857, RMS=24.0988
  Col 37: Mean=-71.4751, Std=4.2175, Min=-80.7923, Max=-62.0323, RMS=71.5995
  Col 38: Mean=109.8086, Std=70.1015, Min=-179.5460, Max=179.9017, RMS=130.2772
  Col 39: Mean=45.7623, Std=10.5728, Min=17.8077, Max=101.8992, RMS=46.9678
  Col 40: Mean=-66.8204, Std=12.2563, Min=-88.1073, Max=-39.2549, RMS=67.9351
  Col 41: Mean=41.8464, Std=10.6864, Min=-9.6568, Max=67.8978, RMS=43.1893
  Col 42: Mean=75.6946, Std=8.8078, Min=57.0522, Max=93.6014, RMS=76.2053
  Col 43: Mean=10.6643, Std=12.1753, Min=-9.2874, Max=39.4221, RMS=16.1854
  Col 44: Mean=12.9076, Std=7.7036, Min=-8.1942, Max=32.6028, RMS=15.0317
  Col 45: Mean=33.9119, Std=142.7344, Min=-179.8950, Max=179.9617, RMS=146.7076
  Col 46: Mean=-72.4594, Std=8.3092, Min=-89.6117, Max=-51.4692, RMS=72.9343
  Col 47: Mean=-69.6390, Std=99.7331, Min=-177.0486, Max=179.9690, RMS=121.6400
  Col 48: Mean=-92.6336, Std=115.6917, Min=-179.7751, Max=179.6257, RMS=148.2078
  Col 49: Mean=-73.2610, Std=14.0830, Min=-89.0957, Max=-40.1805, RMS=74.6023
  Col 50: Mean=-77.0143, Std=83.5372, Min=-176.2034, Max=175.0558, RMS=113.6207
  Col 51: Mean=-13.5594, Std=35.8858, Min=-39.6624, Max=133.2279, RMS=38.3620
  Col 52: Mean=-42.0835, Std=18.0881, Min=-87.2688, Max=-2.9451, RMS=45.8061
  Col 53: Mean=35.8194, Std=34.0210, Min=-107.9056, Max=54.0462, RMS=49.4010
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-39.7518, Std=129.0680, Min=-179.9738, Max=179.9787, RMS=135.0509
  Col 58: Mean=-74.7682, Std=7.4132, Min=-89.4123, Max=-56.5287, RMS=75.1348
  Col 59: Mean=-37.5163, Std=90.2574, Min=-168.5941, Max=174.0297, RMS=97.7439
  Col 60: Mean=112.6724, Std=66.2808, Min=-12.9930, Max=171.5283, RMS=130.7219
  Col 61: Mean=-73.0292, Std=13.2323, Min=-88.0333, Max=-35.4316, RMS=74.2183
