--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Alessio/imu/slope_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0008, Std=1.2057, Min=-4.0050, Max=6.0476, RMS=1.2057
  Col 1: Mean=0.0005, Std=1.4651, Min=-3.7228, Max=5.4923, RMS=1.4651
  Col 2: Mean=-0.0149, Std=1.6029, Min=-5.2768, Max=6.2618, RMS=1.6029
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0066, Std=0.9426, Min=-2.4512, Max=3.0649, RMS=0.9426
  Col 13: Mean=-0.0014, Std=0.9520, Min=-2.1532, Max=3.1277, RMS=0.9520
  Col 14: Mean=-0.0101, Std=1.5133, Min=-3.5531, Max=4.9877, RMS=1.5134
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0159, Std=1.0585, Min=-3.5625, Max=4.3619, RMS=1.0586
  Col 19: Mean=-0.0189, Std=0.9306, Min=-4.8387, Max=3.8778, RMS=0.9308
  Col 20: Mean=-0.0160, Std=1.3879, Min=-2.9327, Max=5.8581, RMS=1.3880
  Col 21: Mean=-0.0168, Std=1.0939, Min=-3.3322, Max=3.2048, RMS=1.0940
  Col 22: Mean=-0.0132, Std=0.9534, Min=-2.3895, Max=3.4876, RMS=0.9535
  Col 23: Mean=-0.1581, Std=1.7298, Min=-8.9297, Max=5.2018, RMS=1.7370
  Col 24: Mean=-0.0101, Std=0.9816, Min=-2.4885, Max=2.7003, RMS=0.9816
  Col 25: Mean=0.0112, Std=1.2778, Min=-2.8462, Max=3.8874, RMS=1.2778
  Col 26: Mean=-0.0164, Std=1.3654, Min=-4.3343, Max=4.9224, RMS=1.3655
  Col 27: Mean=-0.0024, Std=1.0366, Min=-2.5319, Max=3.1003, RMS=1.0366
  Col 28: Mean=-0.0074, Std=2.1704, Min=-5.8284, Max=5.1144, RMS=2.1704
  Col 29: Mean=-0.0191, Std=1.2003, Min=-2.8747, Max=3.9189, RMS=1.2004
  Col 30: Mean=0.0041, Std=1.3349, Min=-3.4153, Max=3.4807, RMS=1.3349
  Col 31: Mean=-0.0180, Std=2.5814, Min=-7.2369, Max=6.0751, RMS=2.5815
  Col 32: Mean=-0.0315, Std=1.4427, Min=-3.8040, Max=3.9393, RMS=1.4431
  Col 33: Mean=-0.0049, Std=0.9648, Min=-2.5539, Max=2.7737, RMS=0.9648
  Col 34: Mean=-0.0040, Std=1.0215, Min=-2.4982, Max=3.8545, RMS=1.0215
  Col 35: Mean=-0.0084, Std=1.3062, Min=-2.1617, Max=5.2855, RMS=1.3062
  Col 36: Mean=0.0077, Std=0.8632, Min=-3.3579, Max=2.5965, RMS=0.8632
  Col 37: Mean=0.0107, Std=1.8573, Min=-4.9149, Max=4.8514, RMS=1.8573
  Col 38: Mean=-0.0176, Std=1.3566, Min=-3.8353, Max=4.9511, RMS=1.3567
  Col 39: Mean=0.0258, Std=1.8633, Min=-4.8337, Max=3.6673, RMS=1.8635
  Col 40: Mean=0.0058, Std=3.3205, Min=-7.6686, Max=6.4532, RMS=3.3205
  Col 41: Mean=-0.0359, Std=1.9499, Min=-5.4898, Max=5.6283, RMS=1.9503
  Col 42: Mean=0.0305, Std=2.4326, Min=-6.0969, Max=5.9131, RMS=2.4328
  Col 43: Mean=0.0026, Std=4.0844, Min=-9.1677, Max=7.7362, RMS=4.0844
  Col 44: Mean=-0.0522, Std=2.5179, Min=-8.1069, Max=6.5172, RMS=2.5185
  Col 45: Mean=0.0085, Std=2.5901, Min=-8.5806, Max=9.7878, RMS=2.5901
  Col 46: Mean=-0.0114, Std=3.8361, Min=-13.5394, Max=18.3231, RMS=3.8361
  Col 47: Mean=-0.0045, Std=3.3695, Min=-11.1609, Max=22.8895, RMS=3.3695
  Col 48: Mean=-0.0172, Std=2.6996, Min=-13.7962, Max=9.9459, RMS=2.6997
  Col 49: Mean=-0.0198, Std=3.8516, Min=-14.0895, Max=9.9229, RMS=3.8516
  Col 50: Mean=-0.0926, Std=2.2537, Min=-10.2264, Max=18.2127, RMS=2.2556
  Col 51: Mean=0.0008, Std=4.2169, Min=-18.1821, Max=20.4388, RMS=4.2169
  Col 52: Mean=-0.0328, Std=7.5332, Min=-34.4714, Max=26.8524, RMS=7.5333
  Col 53: Mean=-0.1145, Std=5.1640, Min=-35.7921, Max=16.0507, RMS=5.1653
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0087, Std=2.0249, Min=-7.9219, Max=10.8255, RMS=2.0249
  Col 58: Mean=-0.0122, Std=3.2763, Min=-10.6276, Max=11.0046, RMS=3.2763
  Col 59: Mean=-0.0177, Std=3.3385, Min=-14.4645, Max=19.3185, RMS=3.3385
  Col 60: Mean=-0.0045, Std=2.3211, Min=-10.4047, Max=10.8855, RMS=2.3211
  Col 61: Mean=-0.0322, Std=4.1560, Min=-13.4706, Max=11.1842, RMS=4.1562
  Col 62: Mean=-0.1156, Std=2.3666, Min=-10.1012, Max=16.5657, RMS=2.3694
  Col 63: Mean=-0.0162, Std=3.8089, Min=-16.9587, Max=16.5064, RMS=3.8090
  Col 64: Mean=-0.0347, Std=8.3762, Min=-31.9171, Max=33.5154, RMS=8.3763
  Col 65: Mean=-0.1389, Std=5.9296, Min=-36.5924, Max=29.3732, RMS=5.9313
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
