--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Alessio/imu/stairs_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0021, Std=1.3656, Min=-2.9657, Max=7.2304, RMS=1.3656
  Col 1: Mean=0.0151, Std=1.3416, Min=-5.8175, Max=4.8065, RMS=1.3417
  Col 2: Mean=-0.0686, Std=2.9792, Min=-8.6691, Max=13.9787, RMS=2.9800
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0072, Std=0.7806, Min=-2.8131, Max=2.9581, RMS=0.7806
  Col 13: Mean=0.0064, Std=0.9570, Min=-3.9953, Max=2.4163, RMS=0.9570
  Col 14: Mean=0.0043, Std=2.5665, Min=-6.4979, Max=7.8821, RMS=2.5665
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0089, Std=0.7792, Min=-2.2752, Max=2.5319, RMS=0.7793
  Col 19: Mean=0.0096, Std=0.8891, Min=-2.6611, Max=2.1973, RMS=0.8892
  Col 20: Mean=-0.0025, Std=2.2186, Min=-6.0314, Max=6.2520, RMS=2.2186
  Col 21: Mean=-0.0117, Std=0.8260, Min=-2.2994, Max=3.0983, RMS=0.8261
  Col 22: Mean=0.0058, Std=1.2428, Min=-4.9307, Max=2.6124, RMS=1.2428
  Col 23: Mean=0.0023, Std=2.6936, Min=-5.9772, Max=8.2109, RMS=2.6936
  Col 24: Mean=0.0047, Std=1.9034, Min=-5.4828, Max=6.9782, RMS=1.9034
  Col 25: Mean=0.0236, Std=1.4146, Min=-4.6677, Max=5.6109, RMS=1.4148
  Col 26: Mean=-0.0063, Std=2.9378, Min=-6.4340, Max=8.3059, RMS=2.9378
  Col 27: Mean=-0.0149, Std=2.2840, Min=-7.5349, Max=5.9619, RMS=2.2841
  Col 28: Mean=-0.0031, Std=1.3236, Min=-4.2077, Max=4.7348, RMS=1.3236
  Col 29: Mean=-0.0130, Std=2.9607, Min=-5.8358, Max=8.4738, RMS=2.9608
  Col 30: Mean=-0.0259, Std=2.6449, Min=-9.4757, Max=7.8698, RMS=2.6450
  Col 31: Mean=-0.0045, Std=2.2242, Min=-7.0359, Max=6.8515, RMS=2.2242
  Col 32: Mean=-0.0229, Std=2.9525, Min=-5.8630, Max=9.1421, RMS=2.9526
  Col 33: Mean=-0.0112, Std=0.9292, Min=-2.7885, Max=3.4325, RMS=0.9293
  Col 34: Mean=0.0027, Std=1.0684, Min=-3.1384, Max=2.9860, RMS=1.0684
  Col 35: Mean=0.0021, Std=2.7140, Min=-5.8779, Max=10.5911, RMS=2.7140
  Col 36: Mean=0.0132, Std=1.9903, Min=-6.8111, Max=5.1775, RMS=1.9904
  Col 37: Mean=-0.0286, Std=1.6059, Min=-7.5932, Max=4.6822, RMS=1.6061
  Col 38: Mean=-0.0054, Std=3.1674, Min=-5.9215, Max=9.8155, RMS=3.1674
  Col 39: Mean=0.0046, Std=2.6016, Min=-10.2676, Max=7.3643, RMS=2.6016
  Col 40: Mean=-0.0110, Std=1.7229, Min=-4.3211, Max=6.2767, RMS=1.7230
  Col 41: Mean=-0.0133, Std=3.5397, Min=-5.8312, Max=11.9447, RMS=3.5397
  Col 42: Mean=-0.0030, Std=3.5693, Min=-14.9989, Max=12.7356, RMS=3.5693
  Col 43: Mean=0.0227, Std=2.8668, Min=-9.2743, Max=9.5106, RMS=2.8669
  Col 44: Mean=-0.0378, Std=3.3718, Min=-6.6069, Max=10.4606, RMS=3.3720
  Col 45: Mean=0.0181, Std=4.2524, Min=-18.1545, Max=16.5132, RMS=4.2525
  Col 46: Mean=-0.0091, Std=4.0622, Min=-13.8814, Max=13.8758, RMS=4.0622
  Col 47: Mean=0.0087, Std=4.4470, Min=-13.0511, Max=20.6592, RMS=4.4470
  Col 48: Mean=-0.0518, Std=3.9417, Min=-14.8920, Max=8.1616, RMS=3.9420
  Col 49: Mean=0.0392, Std=3.3873, Min=-13.4230, Max=16.3749, RMS=3.3875
  Col 50: Mean=-0.1169, Std=3.6375, Min=-10.1225, Max=16.0948, RMS=3.6393
  Col 51: Mean=-0.0116, Std=7.5856, Min=-19.2917, Max=39.3831, RMS=7.5856
  Col 52: Mean=-0.0136, Std=4.1834, Min=-41.2112, Max=15.4806, RMS=4.1834
  Col 53: Mean=-0.0757, Std=6.9820, Min=-25.8004, Max=59.7691, RMS=6.9824
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0192, Std=3.8644, Min=-14.5028, Max=14.1624, RMS=3.8644
  Col 58: Mean=0.0003, Std=3.7968, Min=-12.2340, Max=14.6838, RMS=3.7968
  Col 59: Mean=-0.0081, Std=4.0293, Min=-9.6804, Max=18.1066, RMS=4.0293
  Col 60: Mean=-0.0494, Std=4.2765, Min=-20.4321, Max=14.3444, RMS=4.2768
  Col 61: Mean=-0.0129, Std=3.4158, Min=-14.4867, Max=13.4347, RMS=3.4158
  Col 62: Mean=-0.1195, Std=3.2756, Min=-9.7392, Max=15.6530, RMS=3.2778
  Col 63: Mean=0.0012, Std=7.8440, Min=-33.2552, Max=32.2982, RMS=7.8440
  Col 64: Mean=0.0035, Std=3.2803, Min=-22.0041, Max=16.7399, RMS=3.2803
  Col 65: Mean=-0.0833, Std=6.3744, Min=-24.3425, Max=36.2221, RMS=6.3749
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-12.9850, Std=20.5624, Min=-179.8854, Max=34.9470, RMS=24.3192
  Col 1: Mean=-80.3475, Std=6.9176, Min=-87.1183, Max=-6.2703, RMS=80.6448
  Col 2: Mean=-71.0354, Std=153.5110, Min=-179.9484, Max=179.9943, RMS=169.1498
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-12.5995, Std=5.2263, Min=-31.7487, Max=-2.5111, RMS=13.6404
  Col 13: Mean=-63.1958, Std=2.9518, Min=-69.5152, Max=-56.5503, RMS=63.2647
  Col 14: Mean=1.7678, Std=5.8317, Min=-7.8590, Max=22.2269, RMS=6.0938
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=103.1654, Std=4.9694, Min=92.4311, Max=112.5855, RMS=103.2850
  Col 19: Mean=0.6765, Std=2.1738, Min=-6.1361, Max=4.4944, RMS=2.2767
  Col 20: Mean=-100.9573, Std=2.9587, Min=-108.7606, Max=-96.1902, RMS=101.0006
  Col 21: Mean=42.3452, Std=3.2995, Min=36.5828, Max=49.5688, RMS=42.4735
