--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Alessio/imu/stairs_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0280, Std=1.5558, Min=-5.1639, Max=3.8997, RMS=1.5560
  Col 1: Mean=-0.0017, Std=1.5195, Min=-5.3912, Max=4.3644, RMS=1.5195
  Col 2: Mean=0.0039, Std=1.9897, Min=-4.2943, Max=7.5853, RMS=1.9897
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0242, Std=1.0610, Min=-3.4557, Max=2.9379, RMS=1.0613
  Col 13: Mean=0.0025, Std=1.1642, Min=-3.4263, Max=4.1058, RMS=1.1643
  Col 14: Mean=0.0078, Std=2.0534, Min=-3.6818, Max=5.4412, RMS=2.0534
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0254, Std=0.8315, Min=-3.3548, Max=2.0064, RMS=0.8319
  Col 19: Mean=-0.0080, Std=0.9018, Min=-2.1539, Max=3.1473, RMS=0.9019
  Col 20: Mean=-0.0046, Std=2.0042, Min=-3.5196, Max=6.6142, RMS=2.0042
  Col 21: Mean=0.0262, Std=1.1338, Min=-4.1338, Max=2.9844, RMS=1.1341
  Col 22: Mean=0.0149, Std=1.3465, Min=-3.6846, Max=3.2705, RMS=1.3466
  Col 23: Mean=0.0015, Std=1.9027, Min=-3.2548, Max=6.1964, RMS=1.9027
  Col 24: Mean=0.0111, Std=1.6654, Min=-5.2950, Max=4.1078, RMS=1.6654
  Col 25: Mean=0.0118, Std=1.2117, Min=-2.6102, Max=3.1741, RMS=1.2118
  Col 26: Mean=-0.0086, Std=1.9210, Min=-3.4330, Max=5.5240, RMS=1.9210
  Col 27: Mean=0.0228, Std=2.7244, Min=-8.4380, Max=5.6077, RMS=2.7245
  Col 28: Mean=0.0203, Std=1.0750, Min=-2.1504, Max=3.4184, RMS=1.0752
  Col 29: Mean=-0.0196, Std=1.4929, Min=-3.5573, Max=4.8347, RMS=1.4931
  Col 30: Mean=0.0339, Std=3.1846, Min=-8.8696, Max=5.9183, RMS=3.1848
  Col 31: Mean=0.0262, Std=1.2431, Min=-2.8357, Max=3.9604, RMS=1.2434
  Col 32: Mean=-0.0296, Std=1.4846, Min=-3.5554, Max=4.0527, RMS=1.4849
  Col 33: Mean=0.0390, Std=1.2832, Min=-4.7195, Max=3.1997, RMS=1.2838
  Col 34: Mean=0.0103, Std=1.1393, Min=-3.1304, Max=2.6350, RMS=1.1393
  Col 35: Mean=0.0044, Std=1.9402, Min=-3.0815, Max=6.2827, RMS=1.9402
  Col 36: Mean=0.0415, Std=1.8947, Min=-4.9489, Max=3.8178, RMS=1.8951
  Col 37: Mean=0.0059, Std=1.0119, Min=-2.9370, Max=3.4396, RMS=1.0120
  Col 38: Mean=-0.0042, Std=2.1619, Min=-3.8455, Max=5.9253, RMS=2.1619
  Col 39: Mean=0.0333, Std=2.3605, Min=-7.2766, Max=4.5167, RMS=2.3607
  Col 40: Mean=-0.0295, Std=1.6699, Min=-4.7520, Max=5.4709, RMS=1.6702
  Col 41: Mean=-0.3742, Std=2.6272, Min=-9.0889, Max=5.5184, RMS=2.6538
  Col 42: Mean=0.0449, Std=2.7533, Min=-8.7078, Max=6.7830, RMS=2.7536
  Col 43: Mean=-0.0542, Std=2.2445, Min=-6.8935, Max=6.3222, RMS=2.2452
  Col 44: Mean=-0.0138, Std=2.0991, Min=-5.1013, Max=5.6969, RMS=2.0992
  Col 45: Mean=0.0150, Std=4.6125, Min=-13.7159, Max=17.3608, RMS=4.6125
  Col 46: Mean=-0.0260, Std=3.5317, Min=-11.4785, Max=12.9950, RMS=3.5318
  Col 47: Mean=-0.0110, Std=5.5260, Min=-12.9107, Max=27.2045, RMS=5.5260
  Col 48: Mean=0.2442, Std=4.5356, Min=-16.1343, Max=14.8217, RMS=4.5422
  Col 49: Mean=-0.0791, Std=4.2295, Min=-19.4299, Max=18.4444, RMS=4.2302
  Col 50: Mean=-0.4603, Std=5.6978, Min=-13.7263, Max=22.6613, RMS=5.7164
  Col 51: Mean=0.1886, Std=7.3479, Min=-42.7255, Max=21.9660, RMS=7.3503
  Col 52: Mean=-0.0347, Std=4.5676, Min=-15.8111, Max=25.5552, RMS=4.5677
  Col 53: Mean=-0.0548, Std=7.7543, Min=-19.1118, Max=34.4905, RMS=7.7545
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0123, Std=4.0232, Min=-14.3093, Max=12.1056, RMS=4.0232
  Col 58: Mean=0.0087, Std=2.1466, Min=-6.7358, Max=11.9175, RMS=2.1466
  Col 59: Mean=-0.0237, Std=4.9624, Min=-10.4396, Max=21.3468, RMS=4.9624
  Col 60: Mean=0.0793, Std=5.3529, Min=-17.2853, Max=17.9640, RMS=5.3535
  Col 61: Mean=-0.0305, Std=2.7933, Min=-12.1047, Max=10.7337, RMS=2.7935
