--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Alessio/imu/walk/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0014, Std=1.8989, Min=-4.7520, Max=6.4485, RMS=1.8989
  Col 1: Mean=0.0040, Std=1.5843, Min=-4.1935, Max=5.0457, RMS=1.5843
  Col 2: Mean=-0.0091, Std=1.6325, Min=-3.7200, Max=6.9404, RMS=1.6325
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0044, Std=0.7921, Min=-2.0327, Max=1.8007, RMS=0.7921
  Col 13: Mean=0.0027, Std=0.8603, Min=-2.3741, Max=2.8023, RMS=0.8603
  Col 14: Mean=-0.0013, Std=1.6468, Min=-3.3059, Max=5.0709, RMS=1.6468
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0034, Std=0.4991, Min=-1.6748, Max=1.2867, RMS=0.4991
  Col 19: Mean=0.0014, Std=0.8952, Min=-2.7339, Max=2.4964, RMS=0.8952
  Col 20: Mean=0.0012, Std=1.3517, Min=-2.2054, Max=4.3479, RMS=1.3517
  Col 21: Mean=0.0045, Std=0.8916, Min=-2.0832, Max=2.7954, RMS=0.8916
  Col 22: Mean=0.0015, Std=0.9714, Min=-2.2214, Max=2.2957, RMS=0.9714
  Col 23: Mean=-0.0008, Std=1.4359, Min=-2.6048, Max=3.6904, RMS=1.4359
  Col 24: Mean=0.0028, Std=1.3934, Min=-3.3163, Max=3.7583, RMS=1.3934
  Col 25: Mean=0.0123, Std=0.9552, Min=-2.0153, Max=2.8361, RMS=0.9553
  Col 26: Mean=-0.0072, Std=1.5929, Min=-3.2670, Max=4.5470, RMS=1.5929
  Col 27: Mean=-0.0122, Std=2.1439, Min=-4.8501, Max=4.4369, RMS=2.1440
  Col 28: Mean=-0.0007, Std=0.9806, Min=-2.0704, Max=3.0473, RMS=0.9806
  Col 29: Mean=-0.0036, Std=1.7963, Min=-3.8432, Max=5.5585, RMS=1.7963
  Col 30: Mean=-0.0263, Std=2.6891, Min=-5.8007, Max=6.0480, RMS=2.6893
  Col 31: Mean=-0.0060, Std=1.2472, Min=-2.8573, Max=4.5135, RMS=1.2472
  Col 32: Mean=-0.0133, Std=2.1529, Min=-5.0289, Max=6.1404, RMS=2.1530
  Col 33: Mean=0.0051, Std=0.7581, Min=-1.9548, Max=2.9563, RMS=0.7582
  Col 34: Mean=0.0008, Std=1.0708, Min=-3.3177, Max=2.1325, RMS=1.0708
  Col 35: Mean=0.0001, Std=1.4127, Min=-2.4420, Max=4.0457, RMS=1.4127
  Col 36: Mean=0.0150, Std=1.8309, Min=-4.8935, Max=5.5906, RMS=1.8310
  Col 37: Mean=-0.0112, Std=1.4288, Min=-3.9487, Max=2.6337, RMS=1.4288
  Col 38: Mean=-0.0118, Std=1.7400, Min=-3.0436, Max=4.7406, RMS=1.7400
  Col 39: Mean=-0.0238, Std=3.7836, Min=-10.8062, Max=7.1850, RMS=3.7837
  Col 40: Mean=0.0122, Std=1.4034, Min=-6.9554, Max=3.0811, RMS=1.4035
  Col 41: Mean=-0.0130, Std=2.7793, Min=-6.2385, Max=6.8359, RMS=2.7794
  Col 42: Mean=-0.0479, Std=4.8007, Min=-11.4595, Max=10.2175, RMS=4.8009
  Col 43: Mean=0.0266, Std=1.6567, Min=-9.2823, Max=3.4874, RMS=1.6570
  Col 44: Mean=-0.0195, Std=3.4844, Min=-8.4501, Max=7.8272, RMS=3.4844
  Col 45: Mean=0.0070, Std=5.1938, Min=-18.2146, Max=13.4670, RMS=5.1938
  Col 46: Mean=-0.0034, Std=2.7017, Min=-13.5363, Max=9.0340, RMS=2.7017
  Col 47: Mean=-0.0027, Std=4.0042, Min=-10.7693, Max=23.6658, RMS=4.0042
  Col 48: Mean=-0.0205, Std=4.8632, Min=-13.2974, Max=11.0642, RMS=4.8632
  Col 49: Mean=0.0078, Std=2.7826, Min=-10.6541, Max=13.5026, RMS=2.7826
  Col 50: Mean=-0.1040, Std=2.6493, Min=-11.9305, Max=14.0540, RMS=2.6513
  Col 51: Mean=-0.0318, Std=9.5572, Min=-36.7501, Max=35.4192, RMS=9.5572
  Col 52: Mean=-0.0278, Std=3.4622, Min=-15.4366, Max=19.5429, RMS=3.4623
  Col 53: Mean=-0.1508, Std=6.3618, Min=-34.1868, Max=18.7210, RMS=6.3636
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0065, Std=4.0507, Min=-13.6267, Max=12.2014, RMS=4.0507
  Col 58: Mean=0.0055, Std=2.5639, Min=-7.8861, Max=9.5532, RMS=2.5639
  Col 59: Mean=-0.0084, Std=4.1312, Min=-12.4459, Max=25.0911, RMS=4.1312
  Col 60: Mean=-0.0214, Std=4.8368, Min=-13.5064, Max=10.3935, RMS=4.8368
  Col 61: Mean=-0.0096, Std=2.5547, Min=-11.5421, Max=11.5543, RMS=2.5547
  Col 62: Mean=-0.1197, Std=2.4733, Min=-12.2593, Max=13.6718, RMS=2.4762
  Col 63: Mean=-0.0284, Std=9.4964, Min=-30.4838, Max=34.3129, RMS=9.4964
  Col 64: Mean=-0.0053, Std=3.5493, Min=-16.0580, Max=17.0482, RMS=3.5493
  Col 65: Mean=-0.1533, Std=6.7613, Min=-34.7955, Max=21.2091, RMS=6.7631
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-9.7295, Std=15.9076, Min=-49.7020, Max=19.6897, RMS=18.6471
  Col 1: Mean=-79.6368, Std=2.8937, Min=-84.7144, Max=-72.1065, RMS=79.6894
  Col 2: Mean=-154.5333, Std=11.6906, Min=-175.1288, Max=-125.1521, RMS=154.9749
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-10.7702, Std=4.3580, Min=-20.0035, Max=-0.9245, RMS=11.6184
  Col 13: Mean=-60.3512, Std=1.7329, Min=-64.6520, Max=-55.0424, RMS=60.3761
  Col 14: Mean=21.2385, Std=4.4160, Min=12.4541, Max=31.9485, RMS=21.6928
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=70.4779, Std=2.8315, Min=63.0568, Max=76.5137, RMS=70.5348
  Col 19: Mean=-0.5006, Std=3.7313, Min=-8.3812, Max=8.5620, RMS=3.7648
  Col 20: Mean=-83.7093, Std=2.9091, Min=-89.6007, Max=-76.4723, RMS=83.7598
  Col 21: Mean=42.4341, Std=1.6789, Min=37.7925, Max=47.4434, RMS=42.4673
  Col 22: Mean=0.3772, Std=1.8311, Min=-4.1549, Max=4.3471, RMS=1.8695
  Col 23: Mean=114.4547, Std=3.0489, Min=108.2011, Max=120.8952, RMS=114.4953
  Col 24: Mean=-26.4317, Std=4.1223, Min=-36.3743, Max=-16.4517, RMS=26.7512
  Col 25: Mean=-63.4248, Std=4.4092, Min=-71.3969, Max=-52.4975, RMS=63.5779
  Col 26: Mean=-30.9606, Std=8.2695, Min=-50.6329, Max=-16.8640, RMS=32.0459
  Col 27: Mean=-58.5929, Std=4.7669, Min=-69.3621, Max=-43.1968, RMS=58.7865
  Col 28: Mean=-60.9187, Std=9.8150, Min=-77.4770, Max=-35.9564, RMS=61.7043
  Col 29: Mean=12.9905, Std=7.9586, Min=-16.7256, Max=31.5611, RMS=15.2346
  Col 30: Mean=65.1713, Std=9.9468, Min=37.3310, Max=81.0319, RMS=65.9260
  Col 31: Mean=-24.0838, Std=7.9754, Min=-46.7716, Max=-7.7251, RMS=25.3700
  Col 32: Mean=-126.1057, Std=10.5556, Min=-148.7089, Max=-96.3867, RMS=126.5467
  Col 33: Mean=45.2347, Std=1.7302, Min=40.9731, Max=51.1214, RMS=45.2678
  Col 34: Mean=0.1959, Std=1.7614, Min=-3.8645, Max=3.9649, RMS=1.7722
  Col 35: Mean=84.6279, Std=3.7165, Min=78.1051, Max=93.1702, RMS=84.7095
  Col 36: Mean=14.6642, Std=16.1400, Min=-33.7156, Max=34.6845, RMS=21.8069
  Col 37: Mean=-64.1084, Std=7.9936, Min=-76.1532, Max=-44.2770, RMS=64.6048
  Col 38: Mean=68.6246, Std=24.6070, Min=36.9363, Max=136.1936, RMS=72.9030
  Col 39: Mean=47.5215, Std=18.3059, Min=-169.8063, Max=173.0498, RMS=50.9254
  Col 40: Mean=-59.6898, Std=18.0466, Min=-89.4124, Max=-15.9521, RMS=62.3582
  Col 41: Mean=-7.1447, Std=16.7710, Min=-178.8005, Max=162.5682, RMS=18.2295
  Col 42: Mean=73.1764, Std=13.8698, Min=32.9225, Max=100.0935, RMS=74.4792
  Col 43: Mean=13.0074, Std=17.4466, Min=-20.2808, Max=56.3866, RMS=21.7618
  Col 44: Mean=-33.4588, Std=9.7226, Min=-64.2017, Max=-5.0097, RMS=34.8428
  Col 45: Mean=36.7332, Std=125.2455, Min=-179.9974, Max=179.9930, RMS=130.5211
  Col 46: Mean=-74.4680, Std=8.7243, Min=-88.8256, Max=-55.7569, RMS=74.9773
  Col 47: Mean=61.8505, Std=116.9283, Min=-179.9493, Max=179.9484, RMS=132.2789
  Col 48: Mean=-63.4754, Std=125.0720, Min=-179.9006, Max=179.9254, RMS=140.2574
  Col 49: Mean=-71.9226, Std=15.2897, Min=-89.8034, Max=-37.7037, RMS=73.5299
  Col 50: Mean=-87.0266, Std=109.3391, Min=-179.8731, Max=179.9443, RMS=139.7450
  Col 51: Mean=-7.7142, Std=39.7827, Min=-41.7511, Max=135.6801, RMS=40.5237
  Col 52: Mean=-44.3517, Std=18.4979, Min=-86.6381, Max=-8.6448, RMS=48.0546
  Col 53: Mean=-27.8716, Std=36.8548, Min=-165.3678, Max=-3.1581, RMS=46.2072
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-23.0652, Std=129.0095, Min=-179.9930, Max=179.9713, RMS=131.0552
  Col 58: Mean=-75.6667, Std=7.2283, Min=-89.3363, Max=-58.0143, RMS=76.0112
  Col 59: Mean=-65.9437, Std=108.8392, Min=-179.9536, Max=179.8342, RMS=127.2578
  Col 60: Mean=114.9141, Std=68.7802, Min=-179.2596, Max=178.7101, RMS=133.9252
  Col 61: Mean=-70.1657, Std=15.6167, Min=-89.5507, Max=-34.5525, RMS=71.8825
  Col 62: Mean=-109.8054, Std=65.7085, Min=-175.1839, Max=179.4093, RMS=127.9642
  Col 63: Mean=7.6731, Std=27.4781, Min=-97.5572, Max=33.9908, RMS=28.5294
  Col 64: Mean=-40.6665, Std=19.5730, Min=-82.6678, Max=-3.3136, RMS=45.1317
  Col 65: Mean=38.5035, Std=25.8801, Min=22.0865, Max=143.4177, RMS=46.3929
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Magnetic_Field.csv] (Cols: 69)
  Col 0: Mean=-0.5315, Std=0.0865, Min=-0.7014, Max=-0.3342, RMS=0.5385
  Col 1: Mean=-0.1402, Std=0.0797, Min=-0.3252, Max=0.0620, RMS=0.1613
  Col 2: Mean=-0.5334, Std=0.0711, Min=-0.6724, Max=-0.3696, RMS=0.5381
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.7014, Std=0.0607, Min=-0.8030, Max=-0.5759, RMS=0.7040
  Col 13: Mean=0.1307, Std=0.0406, Min=0.0322, Max=0.2549, RMS=0.1369
  Col 14: Mean=0.1097, Std=0.0607, Min=-0.0337, Max=0.2302, RMS=0.1253
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.1729, Std=0.0574, Min=-0.3379, Max=-0.0215, RMS=0.1822
  Col 19: Mean=-0.8012, Std=0.0582, Min=-0.9177, Max=-0.6528, RMS=0.8033
  Col 20: Mean=0.2666, Std=0.0708, Min=0.1138, Max=0.4128, RMS=0.2758
  Col 21: Mean=0.3280, Std=0.0452, Min=0.2327, Max=0.4570, RMS=0.3311
  Col 22: Mean=-0.1926, Std=0.0616, Min=-0.3271, Max=-0.0608, RMS=0.2022
  Col 23: Mean=-0.6945, Std=0.0574, Min=-0.7944, Max=-0.5891, RMS=0.6969
  Col 24: Mean=-0.6983, Std=0.0706, Min=-0.8257, Max=-0.5398, RMS=0.7019
  Col 25: Mean=-0.2359, Std=0.0823, Min=-0.4399, Max=-0.0452, RMS=0.2498
  Col 26: Mean=0.0541, Std=0.0642, Min=-0.1001, Max=0.2256, RMS=0.0840
  Col 27: Mean=-0.7563, Std=0.0784, Min=-0.9077, Max=-0.5396, RMS=0.7604
  Col 28: Mean=0.1073, Std=0.1524, Min=-0.2068, Max=0.5288, RMS=0.1864
  Col 29: Mean=0.1186, Std=0.0799, Min=-0.1138, Max=0.3037, RMS=0.1430
  Col 30: Mean=-0.0453, Std=0.1556, Min=-0.4678, Max=0.2834, RMS=0.1621
  Col 31: Mean=-0.7294, Std=0.0828, Min=-0.9072, Max=-0.4783, RMS=0.7341
  Col 32: Mean=0.0854, Std=0.1145, Min=-0.2429, Max=0.3167, RMS=0.1428
  Col 33: Mean=-0.0169, Std=0.0473, Min=-0.1279, Max=0.1189, RMS=0.0502
  Col 34: Mean=-0.1940, Std=0.0647, Min=-0.3254, Max=-0.0647, RMS=0.2045
  Col 35: Mean=-0.6767, Std=0.0507, Min=-0.7712, Max=-0.5823, RMS=0.6786
  Col 36: Mean=-0.6061, Std=0.0929, Min=-0.7961, Max=-0.3821, RMS=0.6132
  Col 37: Mean=0.3613, Std=0.1286, Min=0.0496, Max=0.6033, RMS=0.3835
  Col 38: Mean=-0.0907, Std=0.0667, Min=-0.2576, Max=0.0828, RMS=0.1126
  Col 39: Mean=-0.7281, Std=0.0893, Min=-0.9263, Max=-0.4792, RMS=0.7336
  Col 40: Mean=0.0946, Std=0.2003, Min=-0.3721, Max=0.4763, RMS=0.2215
  Col 41: Mean=0.1829, Std=0.1682, Min=-0.2410, Max=0.4939, RMS=0.2485
  Col 42: Mean=-0.1763, Std=0.2385, Min=-0.5977, Max=0.4390, RMS=0.2966
  Col 43: Mean=-0.7390, Std=0.1113, Min=-0.9822, Max=-0.4128, RMS=0.7473
  Col 44: Mean=0.0663, Std=0.1759, Min=-0.3354, Max=0.4431, RMS=0.1880
  Col 45: Mean=-0.5502, Std=0.1715, Min=-0.9119, Max=-0.0283, RMS=0.5763
  Col 46: Mean=0.0122, Std=0.0906, Min=-0.2603, Max=0.1594, RMS=0.0914
  Col 47: Mean=0.4837, Std=0.1729, Min=0.0964, Max=0.8250, RMS=0.5137
  Col 48: Mean=-0.4302, Std=0.2337, Min=-0.9121, Max=0.3425, RMS=0.4896
  Col 49: Mean=0.1839, Std=0.0670, Min=-0.0112, Max=0.3296, RMS=0.1957
  Col 50: Mean=0.4131, Std=0.2112, Min=-0.1292, Max=0.8845, RMS=0.4640
  Col 51: Mean=-0.6476, Std=0.2172, Min=-1.1807, Max=0.0740, RMS=0.6831
  Col 52: Mean=-0.0635, Std=0.1879, Min=-0.6396, Max=0.4702, RMS=0.1984
  Col 53: Mean=-0.1079, Std=0.2795, Min=-0.7261, Max=0.6997, RMS=0.2996
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.5440, Std=0.1579, Min=-0.8547, Max=-0.1331, RMS=0.5665
  Col 58: Mean=0.1395, Std=0.0708, Min=-0.0391, Max=0.3306, RMS=0.1565
  Col 59: Mean=0.4541, Std=0.1625, Min=0.0825, Max=0.7893, RMS=0.4823
  Col 60: Mean=-0.4914, Std=0.2416, Min=-0.9392, Max=0.1567, RMS=0.5476
  Col 61: Mean=-0.1175, Std=0.0638, Min=-0.2856, Max=0.0300, RMS=0.1337
  Col 62: Mean=0.5905, Std=0.2080, Min=0.0139, Max=1.0588, RMS=0.6261
  Col 63: Mean=-0.6527, Std=0.1575, Min=-1.1064, Max=-0.2278, RMS=0.6715
  Col 64: Mean=0.1721, Std=0.1661, Min=-0.2703, Max=0.6123, RMS=0.2392
  Col 65: Mean=-0.3743, Std=0.2837, Min=-0.9546, Max=0.4988, RMS=0.4697
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Quat.csv] (Cols: 92)
  Col 0: Mean=0.1133, Std=0.0262, Min=0.0551, Max=0.1618, RMS=0.1163
  Col 1: Mean=-0.6370, Std=0.0231, Min=-0.6747, Max=-0.5755, RMS=0.6374
  Col 2: Mean=-0.0792, Std=0.0478, Min=-0.1676, Max=0.0362, RMS=0.0925
  Col 3: Mean=-0.7559, Std=0.0155, Min=-0.7951, Max=-0.7261, RMS=0.7561
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 13: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 14: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.8538, Std=0.0082, Min=0.8345, Max=0.8760, RMS=0.8539
  Col 17: Mean=0.0126, Std=0.0219, Min=-0.0264, Max=0.0548, RMS=0.0252
  Col 18: Mean=-0.5070, Std=0.0126, Min=-0.5370, Max=-0.4718, RMS=0.5072
  Col 19: Mean=0.1121, Std=0.0213, Min=0.0749, Max=0.1654, RMS=0.1141
  Col 20: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 21: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 22: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 23: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 24: Mean=0.6099, Std=0.0156, Min=0.5718, Max=0.6469, RMS=0.6101
  Col 25: Mean=0.4265, Std=0.0221, Min=0.3831, Max=0.4847, RMS=0.4271
  Col 26: Mean=-0.3869, Std=0.0365, Min=-0.4583, Max=-0.3021, RMS=0.3886
  Col 27: Mean=-0.5423, Std=0.0154, Min=-0.5737, Max=-0.4996, RMS=0.5425
  Col 28: Mean=0.5053, Std=0.0205, Min=0.4611, Max=0.5435, RMS=0.5057
  Col 29: Mean=0.1933, Std=0.0170, Min=0.1525, Max=0.2325, RMS=0.1940
  Col 30: Mean=0.3057, Std=0.0150, Min=0.2750, Max=0.3517, RMS=0.3061
  Col 31: Mean=0.7827, Std=0.0156, Min=0.7488, Max=0.8149, RMS=0.7829
