--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Alessio/imu/walk/Run_6
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0023, Std=2.0206, Min=-4.5902, Max=5.9061, RMS=2.0206
  Col 1: Mean=-0.0303, Std=1.6130, Min=-4.8527, Max=4.6465, RMS=1.6133
  Col 2: Mean=-0.3699, Std=2.4003, Min=-9.0440, Max=6.1425, RMS=2.4287
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0068, Std=0.7708, Min=-1.8458, Max=1.8868, RMS=0.7709
  Col 13: Mean=-0.0006, Std=0.9210, Min=-2.4388, Max=2.2718, RMS=0.9210
  Col 14: Mean=0.0000, Std=1.7757, Min=-3.0999, Max=5.1038, RMS=1.7757
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0041, Std=0.4400, Min=-1.3818, Max=1.5108, RMS=0.4400
  Col 19: Mean=-0.0029, Std=0.8915, Min=-2.8643, Max=1.9937, RMS=0.8915
  Col 20: Mean=0.0017, Std=1.4093, Min=-2.4955, Max=4.3878, RMS=1.4093
  Col 21: Mean=0.0054, Std=0.8365, Min=-1.7358, Max=2.2977, RMS=0.8365
  Col 22: Mean=0.0025, Std=1.0930, Min=-2.0889, Max=2.4841, RMS=1.0930
  Col 23: Mean=-0.0003, Std=1.4742, Min=-2.6265, Max=3.8315, RMS=1.4742
