--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Alessio_F/imu/slope_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0120, Std=1.7011, Min=-6.6972, Max=6.3505, RMS=1.7011
  Col 1: Mean=-0.0139, Std=1.3642, Min=-6.8207, Max=3.2709, RMS=1.3643
  Col 2: Mean=0.0060, Std=1.9497, Min=-3.8867, Max=11.4439, RMS=1.9497
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0059, Std=0.7636, Min=-1.9879, Max=2.1162, RMS=0.7636
  Col 13: Mean=0.0014, Std=0.8440, Min=-3.2744, Max=1.7315, RMS=0.8440
  Col 14: Mean=0.0079, Std=1.6317, Min=-3.8732, Max=6.7745, RMS=1.6318
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0071, Std=0.8175, Min=-1.9646, Max=1.6123, RMS=0.8176
  Col 19: Mean=0.0023, Std=0.7394, Min=-2.2233, Max=1.4658, RMS=0.7394
  Col 20: Mean=0.0074, Std=1.5515, Min=-2.6297, Max=6.1813, RMS=1.5515
  Col 21: Mean=0.0101, Std=0.9240, Min=-2.6327, Max=2.1922, RMS=0.9241
  Col 22: Mean=0.0048, Std=0.9249, Min=-3.6490, Max=2.1089, RMS=0.9249
  Col 23: Mean=0.0087, Std=1.8454, Min=-3.4089, Max=9.9195, RMS=1.8454
  Col 24: Mean=0.0085, Std=0.9913, Min=-2.3059, Max=3.4407, RMS=0.9914
  Col 25: Mean=-0.0375, Std=1.5971, Min=-5.7671, Max=4.6023, RMS=1.5976
  Col 26: Mean=-0.1183, Std=2.2399, Min=-9.0498, Max=7.3094, RMS=2.2430
  Col 27: Mean=-0.0053, Std=0.7486, Min=-3.1722, Max=5.7888, RMS=0.7486
  Col 28: Mean=0.0175, Std=2.0666, Min=-5.1236, Max=5.1368, RMS=2.0667
  Col 29: Mean=-0.0040, Std=2.2219, Min=-5.0376, Max=8.2676, RMS=2.2219
  Col 30: Mean=-0.0132, Std=1.1421, Min=-2.9872, Max=6.2972, RMS=1.1422
  Col 31: Mean=0.0315, Std=2.7855, Min=-9.7054, Max=7.5469, RMS=2.7856
  Col 32: Mean=-0.0085, Std=2.4261, Min=-6.0800, Max=7.3726, RMS=2.4261
  Col 33: Mean=0.0077, Std=0.8946, Min=-2.7628, Max=2.8425, RMS=0.8946
  Col 34: Mean=0.0006, Std=0.8911, Min=-3.5269, Max=2.2596, RMS=0.8911
  Col 35: Mean=0.0103, Std=1.9212, Min=-3.3956, Max=10.1185, RMS=1.9212
  Col 36: Mean=0.0002, Std=1.1705, Min=-5.4492, Max=3.2838, RMS=1.1705
  Col 37: Mean=0.0006, Std=1.4053, Min=-4.4862, Max=4.0856, RMS=1.4053
  Col 38: Mean=0.0045, Std=2.1052, Min=-3.9203, Max=8.9513, RMS=2.1052
  Col 39: Mean=0.0087, Std=0.9627, Min=-5.6218, Max=2.7342, RMS=0.9628
  Col 40: Mean=0.0059, Std=1.1501, Min=-2.5324, Max=4.0872, RMS=1.1501
  Col 41: Mean=0.0029, Std=2.3887, Min=-4.1942, Max=11.5737, RMS=2.3887
  Col 42: Mean=0.0080, Std=1.2948, Min=-6.5434, Max=3.7377, RMS=1.2948
  Col 43: Mean=0.0072, Std=2.0100, Min=-4.3964, Max=10.1848, RMS=2.0100
  Col 44: Mean=0.0006, Std=2.5214, Min=-4.9096, Max=10.9973, RMS=2.5214
  Col 45: Mean=-0.0078, Std=3.0027, Min=-14.2686, Max=12.9162, RMS=3.0027
  Col 46: Mean=-0.0151, Std=3.6578, Min=-18.1110, Max=21.4990, RMS=3.6579
  Col 47: Mean=0.0049, Std=4.9759, Min=-15.2886, Max=33.0046, RMS=4.9759
  Col 48: Mean=0.0425, Std=3.2626, Min=-17.5656, Max=14.7242, RMS=3.2629
  Col 49: Mean=0.0326, Std=4.6043, Min=-10.5614, Max=21.7955, RMS=4.6044
  Col 50: Mean=-0.0894, Std=3.1017, Min=-9.9484, Max=19.6921, RMS=3.1030
  Col 51: Mean=0.0157, Std=2.5598, Min=-15.0076, Max=12.9042, RMS=2.5598
  Col 52: Mean=0.0632, Std=7.6622, Min=-34.6714, Max=34.8901, RMS=7.6624
  Col 53: Mean=-0.1431, Std=6.5436, Min=-34.1215, Max=28.7959, RMS=6.5452
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0021, Std=2.4029, Min=-7.0696, Max=11.7970, RMS=2.4029
  Col 58: Mean=-0.0313, Std=4.7227, Min=-20.1124, Max=25.4886, RMS=4.7228
  Col 59: Mean=0.0006, Std=4.5030, Min=-17.4607, Max=28.3147, RMS=4.5030
  Col 60: Mean=-0.0423, Std=3.2857, Min=-11.6653, Max=15.2536, RMS=3.2860
  Col 61: Mean=0.0302, Std=5.3741, Min=-12.7900, Max=25.6767, RMS=5.3742
  Col 62: Mean=-0.1091, Std=2.8251, Min=-10.4805, Max=12.3923, RMS=2.8272
  Col 63: Mean=-0.0222, Std=3.4202, Min=-22.6007, Max=21.8469, RMS=3.4203
  Col 64: Mean=0.0626, Std=8.5120, Min=-48.6476, Max=27.5119, RMS=8.5122
  Col 65: Mean=-0.1585, Std=7.2879, Min=-37.9101, Max=37.3424, RMS=7.2897
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=0.7346, Std=7.6410, Min=-16.5980, Max=17.8524, RMS=7.6763
  Col 1: Mean=-68.9036, Std=2.2666, Min=-73.7275, Max=-65.2981, RMS=68.9409
  Col 2: Mean=95.9116, Std=7.6445, Min=76.9791, Max=110.6234, RMS=96.2158
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-3.3218, Std=4.1783, Min=-13.8094, Max=6.3693, RMS=5.3378
  Col 13: Mean=-64.8110, Std=2.1735, Min=-69.4372, Max=-59.5799, RMS=64.8474
  Col 14: Mean=-92.1159, Std=6.5117, Min=-102.5820, Max=-75.7465, RMS=92.3458
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-95.1572, Std=2.0955, Min=-99.1606, Max=-88.6677, RMS=95.1803
  Col 19: Mean=-14.4843, Std=3.1473, Min=-19.7374, Max=-7.1809, RMS=14.8223
  Col 20: Mean=109.3695, Std=2.8879, Min=103.9377, Max=114.5868, RMS=109.4076
  Col 21: Mean=63.4586, Std=2.1693, Min=58.2085, Max=68.1832, RMS=63.4956
  Col 22: Mean=0.1752, Std=1.7035, Min=-3.0574, Max=4.3482, RMS=1.7125
  Col 23: Mean=4.2816, Std=3.4468, Min=-2.4804, Max=12.2154, RMS=5.4965
