--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Alessio_F/imu/slope_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0055, Std=1.2898, Min=-4.0914, Max=5.6597, RMS=1.2898
  Col 1: Mean=0.0046, Std=1.2991, Min=-3.7115, Max=4.7965, RMS=1.2991
  Col 2: Mean=-0.0019, Std=1.5693, Min=-3.1420, Max=7.7562, RMS=1.5693
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0038, Std=0.7782, Min=-2.4162, Max=1.9281, RMS=0.7782
  Col 13: Mean=-0.0030, Std=0.9611, Min=-1.8969, Max=3.1939, RMS=0.9611
  Col 14: Mean=-0.0065, Std=1.7143, Min=-2.7410, Max=6.5429, RMS=1.7144
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0021, Std=0.8299, Min=-1.8175, Max=1.7879, RMS=0.8299
  Col 19: Mean=-0.0001, Std=0.8864, Min=-1.8896, Max=2.7296, RMS=0.8864
  Col 20: Mean=-0.0087, Std=1.5754, Min=-2.6692, Max=6.0387, RMS=1.5755
  Col 21: Mean=0.0067, Std=0.8945, Min=-2.0320, Max=1.9756, RMS=0.8945
  Col 22: Mean=-0.0051, Std=0.9992, Min=-1.8234, Max=3.2745, RMS=0.9992
  Col 23: Mean=-0.2545, Std=2.2246, Min=-8.9204, Max=7.2885, RMS=2.2391
  Col 24: Mean=-0.0087, Std=0.8697, Min=-2.3814, Max=2.5418, RMS=0.8697
  Col 25: Mean=-0.0061, Std=1.3517, Min=-3.6606, Max=4.0516, RMS=1.3517
  Col 26: Mean=-0.0121, Std=1.8282, Min=-3.3551, Max=7.4630, RMS=1.8282
  Col 27: Mean=0.0180, Std=0.7017, Min=-2.1290, Max=1.3019, RMS=0.7020
  Col 28: Mean=-0.0148, Std=1.6353, Min=-3.8478, Max=4.1840, RMS=1.6353
  Col 29: Mean=-0.0149, Std=1.8427, Min=-2.8183, Max=6.5614, RMS=1.8427
  Col 30: Mean=0.0293, Std=0.9610, Min=-3.5925, Max=2.3535, RMS=0.9614
  Col 31: Mean=-0.0294, Std=2.1704, Min=-6.4700, Max=5.8295, RMS=2.1706
  Col 32: Mean=-0.0205, Std=1.9208, Min=-3.5878, Max=6.8557, RMS=1.9209
  Col 33: Mean=-0.0037, Std=0.8715, Min=-2.2581, Max=2.0043, RMS=0.8716
  Col 34: Mean=-0.0033, Std=1.0940, Min=-2.4711, Max=3.5211, RMS=1.0940
  Col 35: Mean=-0.0074, Std=1.6567, Min=-2.6244, Max=7.7736, RMS=1.6567
  Col 36: Mean=0.0064, Std=1.0479, Min=-2.8067, Max=4.6253, RMS=1.0479
  Col 37: Mean=-0.0097, Std=1.5901, Min=-3.1272, Max=6.6736, RMS=1.5901
  Col 38: Mean=-0.0817, Std=2.1780, Min=-8.8440, Max=6.7475, RMS=2.1796
  Col 39: Mean=0.0102, Std=1.2632, Min=-3.0634, Max=6.0982, RMS=1.2632
  Col 40: Mean=-0.0177, Std=1.3839, Min=-5.4575, Max=3.7542, RMS=1.3840
  Col 41: Mean=-0.0134, Std=2.1596, Min=-3.8006, Max=8.6508, RMS=2.1596
  Col 42: Mean=0.0136, Std=1.8173, Min=-3.7308, Max=11.1730, RMS=1.8174
  Col 43: Mean=-0.0201, Std=2.4390, Min=-9.0954, Max=5.4422, RMS=2.4391
  Col 44: Mean=-0.0231, Std=2.4285, Min=-5.2204, Max=9.7426, RMS=2.4287
  Col 45: Mean=0.0119, Std=2.6534, Min=-11.7050, Max=11.4137, RMS=2.6534
  Col 46: Mean=-0.0007, Std=3.6632, Min=-9.8267, Max=13.1596, RMS=3.6632
  Col 47: Mean=0.0013, Std=4.0978, Min=-17.4976, Max=18.1739, RMS=4.0978
  Col 48: Mean=-0.0076, Std=2.6233, Min=-14.4419, Max=10.3235, RMS=2.6233
