--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Alessio_F/imu/slope_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0024, Std=1.1997, Min=-3.7834, Max=4.9441, RMS=1.1997
  Col 1: Mean=0.0037, Std=1.3144, Min=-3.1519, Max=5.0169, RMS=1.3144
  Col 2: Mean=-0.0044, Std=1.6454, Min=-3.3072, Max=9.3879, RMS=1.6454
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0117, Std=0.8272, Min=-3.1528, Max=2.4383, RMS=0.8273
  Col 13: Mean=-0.0007, Std=1.0074, Min=-2.0691, Max=3.0585, RMS=1.0074
  Col 14: Mean=-0.0074, Std=1.6489, Min=-3.3989, Max=5.8140, RMS=1.6490
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0211, Std=0.8669, Min=-1.6954, Max=1.8368, RMS=0.8672
  Col 19: Mean=0.0033, Std=0.8365, Min=-1.7487, Max=2.1857, RMS=0.8365
  Col 20: Mean=-0.0125, Std=1.5355, Min=-2.4443, Max=6.7407, RMS=1.5355
  Col 21: Mean=0.0344, Std=0.8798, Min=-1.9892, Max=2.5983, RMS=0.8805
  Col 22: Mean=0.0042, Std=1.0591, Min=-2.0425, Max=3.0753, RMS=1.0591
  Col 23: Mean=-0.5240, Std=2.6125, Min=-8.9320, Max=6.6427, RMS=2.6645
  Col 24: Mean=0.0094, Std=0.8301, Min=-2.2495, Max=2.1701, RMS=0.8302
