--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Alessio_F/imu/stairs_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0162, Std=1.6449, Min=-6.4299, Max=7.9934, RMS=1.6450
  Col 1: Mean=-0.0040, Std=2.1718, Min=-11.0917, Max=11.0465, RMS=2.1718
  Col 2: Mean=-0.0828, Std=4.6936, Min=-8.7619, Max=23.2368, RMS=4.6944
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0040, Std=0.9195, Min=-2.1786, Max=4.1099, RMS=0.9195
  Col 13: Mean=-0.0006, Std=0.9490, Min=-3.2639, Max=2.9988, RMS=0.9490
  Col 14: Mean=0.0016, Std=4.1671, Min=-6.7125, Max=18.6745, RMS=4.1671
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0040, Std=1.1089, Min=-4.9526, Max=4.4509, RMS=1.1089
  Col 19: Mean=-0.0017, Std=0.9146, Min=-2.5114, Max=2.2637, RMS=0.9146
  Col 20: Mean=-0.0626, Std=3.9445, Min=-9.4230, Max=20.1659, RMS=3.9450
  Col 21: Mean=-0.0098, Std=0.9974, Min=-2.4210, Max=2.7446, RMS=0.9975
  Col 22: Mean=0.0016, Std=1.3918, Min=-5.8572, Max=5.3022, RMS=1.3918
  Col 23: Mean=0.0013, Std=4.6277, Min=-6.4835, Max=24.8598, RMS=4.6277
  Col 24: Mean=-0.0011, Std=2.1028, Min=-6.0872, Max=6.1837, RMS=2.1028
  Col 25: Mean=0.0428, Std=1.5979, Min=-5.5434, Max=7.8009, RMS=1.5985
  Col 26: Mean=-0.0095, Std=4.6279, Min=-6.7595, Max=17.5842, RMS=4.6280
  Col 27: Mean=-0.0475, Std=2.5037, Min=-7.1022, Max=10.8314, RMS=2.5042
  Col 28: Mean=-0.0211, Std=1.7854, Min=-6.4200, Max=6.5884, RMS=1.7855
  Col 29: Mean=0.0034, Std=4.7372, Min=-6.8411, Max=21.4642, RMS=4.7372
  Col 30: Mean=-0.1150, Std=3.9740, Min=-18.3092, Max=13.0250, RMS=3.9757
  Col 31: Mean=-0.0628, Std=3.1690, Min=-15.3359, Max=15.6558, RMS=3.1696
  Col 32: Mean=-0.0194, Std=4.5609, Min=-7.9739, Max=17.8720, RMS=4.5609
  Col 33: Mean=-0.0156, Std=1.0314, Min=-3.4575, Max=3.5009, RMS=1.0315
