--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Alessio_F/imu/stairs_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0054, Std=0.9532, Min=-2.8118, Max=2.7279, RMS=0.9532
  Col 1: Mean=-0.0083, Std=0.9433, Min=-3.3802, Max=3.3620, RMS=0.9434
  Col 2: Mean=0.0078, Std=2.5051, Min=-3.9070, Max=7.8524, RMS=2.5051
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0225, Std=1.1003, Min=-3.6652, Max=2.5057, RMS=1.1006
  Col 13: Mean=-0.0099, Std=0.9828, Min=-3.0673, Max=2.2718, RMS=0.9829
  Col 14: Mean=-0.3876, Std=3.1539, Min=-9.1516, Max=7.1711, RMS=3.1776
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0037, Std=1.0154, Min=-3.4258, Max=1.5133, RMS=1.0155
  Col 19: Mean=-0.0040, Std=1.0494, Min=-2.3437, Max=2.2494, RMS=1.0494
  Col 20: Mean=0.0006, Std=2.4364, Min=-4.4700, Max=6.6391, RMS=2.4364
  Col 21: Mean=0.0174, Std=1.2680, Min=-3.1926, Max=2.7476, RMS=1.2681
  Col 22: Mean=-0.0068, Std=0.9614, Min=-2.1568, Max=2.4412, RMS=0.9614
  Col 23: Mean=0.0031, Std=2.5207, Min=-3.8783, Max=7.9371, RMS=2.5207
  Col 24: Mean=0.0209, Std=1.3796, Min=-4.2544, Max=3.0560, RMS=1.3798
  Col 25: Mean=-0.0143, Std=0.9282, Min=-3.3807, Max=2.0633, RMS=0.9283
  Col 26: Mean=0.0017, Std=2.7688, Min=-4.3415, Max=7.8340, RMS=2.7688
  Col 27: Mean=0.0272, Std=1.6451, Min=-5.0385, Max=3.8868, RMS=1.6453
  Col 28: Mean=-0.0060, Std=0.7033, Min=-2.1929, Max=1.4918, RMS=0.7033
  Col 29: Mean=-0.0018, Std=2.7247, Min=-4.0816, Max=7.8009, RMS=2.7247
  Col 30: Mean=0.0378, Std=2.1959, Min=-6.6303, Max=5.1300, RMS=2.1963
  Col 31: Mean=-0.0018, Std=1.1590, Min=-5.5676, Max=3.3143, RMS=1.1590
  Col 32: Mean=-0.0065, Std=2.6951, Min=-4.8878, Max=8.4636, RMS=2.6951
  Col 33: Mean=0.0148, Std=1.2902, Min=-4.6598, Max=2.9162, RMS=1.2903
  Col 34: Mean=-0.0079, Std=0.9936, Min=-2.2450, Max=2.4797, RMS=0.9937
  Col 35: Mean=0.0021, Std=2.5362, Min=-4.0856, Max=8.2114, RMS=2.5362
  Col 36: Mean=0.0126, Std=1.5075, Min=-5.6244, Max=5.0917, RMS=1.5076
  Col 37: Mean=0.0024, Std=1.0668, Min=-3.2367, Max=2.8632, RMS=1.0668
  Col 38: Mean=-0.0016, Std=3.0220, Min=-4.7530, Max=8.5262, RMS=3.0220
  Col 39: Mean=0.0304, Std=1.7444, Min=-6.0341, Max=8.0843, RMS=1.7446
  Col 40: Mean=0.0043, Std=1.0040, Min=-2.7211, Max=3.5666, RMS=1.0040
  Col 41: Mean=0.0009, Std=3.0038, Min=-4.7783, Max=10.1484, RMS=3.0038
  Col 42: Mean=0.0425, Std=2.6593, Min=-7.9102, Max=13.2025, RMS=2.6597
  Col 43: Mean=-0.0036, Std=1.5214, Min=-4.7465, Max=6.4923, RMS=1.5214
  Col 44: Mean=-0.1608, Std=3.1414, Min=-9.0695, Max=11.6529, RMS=3.1455
  Col 45: Mean=0.0202, Std=3.4976, Min=-9.1895, Max=11.5308, RMS=3.4977
  Col 46: Mean=-0.0117, Std=2.0108, Min=-6.2929, Max=8.5556, RMS=2.0109
  Col 47: Mean=-0.0469, Std=4.0565, Min=-9.2097, Max=17.3902, RMS=4.0568
  Col 48: Mean=0.0654, Std=5.5751, Min=-40.5124, Max=21.3841, RMS=5.5755
  Col 49: Mean=-0.0353, Std=3.7481, Min=-24.9033, Max=15.0971, RMS=3.7483
  Col 50: Mean=-0.0704, Std=4.5475, Min=-16.6857, Max=29.5443, RMS=4.5481
  Col 51: Mean=0.1357, Std=7.4912, Min=-67.8842, Max=22.4202, RMS=7.4924
  Col 52: Mean=0.0319, Std=2.7422, Min=-21.9085, Max=17.4660, RMS=2.7424
  Col 53: Mean=-0.0802, Std=6.7886, Min=-14.0870, Max=38.1724, RMS=6.7890
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0544, Std=3.4266, Min=-11.0177, Max=13.5936, RMS=3.4270
  Col 58: Mean=-0.0440, Std=2.2173, Min=-11.3819, Max=11.1843, RMS=2.2177
  Col 59: Mean=-0.3568, Std=4.7250, Min=-9.7197, Max=24.4217, RMS=4.7384
  Col 60: Mean=0.0560, Std=5.2793, Min=-23.9097, Max=28.3061, RMS=5.2796
  Col 61: Mean=0.0542, Std=4.3060, Min=-23.1724, Max=30.3351, RMS=4.3064
  Col 62: Mean=-0.0631, Std=5.3909, Min=-19.3467, Max=44.1657, RMS=5.3913
  Col 63: Mean=0.1934, Std=7.6418, Min=-60.9143, Max=25.9278, RMS=7.6442
  Col 64: Mean=0.0071, Std=3.6751, Min=-37.8127, Max=23.3411, RMS=3.6752
  Col 65: Mean=-0.1613, Std=7.0528, Min=-21.9862, Max=44.1813, RMS=7.0546
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-0.7927, Std=5.7267, Min=-12.8934, Max=11.2275, RMS=5.7813
  Col 1: Mean=-69.8738, Std=1.8723, Min=-73.2219, Max=-64.8653, RMS=69.8988
  Col 2: Mean=17.9055, Std=6.0451, Min=5.3027, Max=31.0701, RMS=18.8984
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.8948, Std=40.0058, Min=-179.9648, Max=179.9891, RMS=40.0158
  Col 13: Mean=-67.5198, Std=14.2100, Min=-76.7210, Max=-5.8631, RMS=68.9989
  Col 14: Mean=-73.2031, Std=155.6881, Min=-179.9720, Max=179.9894, RMS=172.0392
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-96.0008, Std=1.8916, Min=-100.8437, Max=-91.6527, RMS=96.0194
  Col 19: Mean=-14.7708, Std=4.4475, Min=-23.6472, Max=-7.0281, RMS=15.4258
  Col 20: Mean=32.2075, Std=4.1503, Min=24.1894, Max=42.7445, RMS=32.4738
  Col 21: Mean=58.8286, Std=3.4790, Min=52.6257, Max=67.6044, RMS=58.9314
  Col 22: Mean=-0.3929, Std=1.9042, Min=-4.0631, Max=3.2025, RMS=1.9443
  Col 23: Mean=-74.8290, Std=4.8018, Min=-83.7982, Max=-66.5638, RMS=74.9829
  Col 24: Mean=8.8032, Std=10.7730, Min=-15.6667, Max=31.7955, RMS=13.9124
  Col 25: Mean=-74.0063, Std=1.7934, Min=-79.4216, Max=-69.9028, RMS=74.0280
  Col 26: Mean=109.4014, Std=13.8131, Min=83.3172, Max=141.0779, RMS=110.2700
  Col 27: Mean=-68.5584, Std=3.9715, Min=-78.5652, Max=-54.5957, RMS=68.6733
  Col 28: Mean=-63.2190, Std=4.4102, Min=-73.6071, Max=-53.2802, RMS=63.3726
  Col 29: Mean=-81.2611, Std=151.1689, Min=-179.9402, Max=179.9999, RMS=171.6257
  Col 30: Mean=73.1319, Std=2.9783, Min=65.0012, Max=80.2754, RMS=73.1925
  Col 31: Mean=-10.7996, Std=4.5819, Min=-20.2304, Max=1.2632, RMS=11.7314
  Col 32: Mean=29.8225, Std=7.7666, Min=14.1866, Max=45.9516, RMS=30.8172
  Col 33: Mean=53.2834, Std=4.2234, Min=45.4347, Max=63.6608, RMS=53.4505
  Col 34: Mean=-5.6539, Std=2.2674, Min=-10.7263, Max=-0.8889, RMS=6.0916
  Col 35: Mean=-98.1013, Std=4.9986, Min=-106.8930, Max=-88.6969, RMS=98.2285
  Col 36: Mean=28.3105, Std=10.2226, Min=7.0184, Max=49.0837, RMS=30.0997
  Col 37: Mean=-75.9118, Std=2.8056, Min=-83.0091, Max=-69.1078, RMS=75.9636
  Col 38: Mean=-112.9228, Std=14.7118, Min=-143.9546, Max=-82.0718, RMS=113.8771
  Col 39: Mean=46.4995, Std=5.5912, Min=30.8979, Max=60.0155, RMS=46.8345
  Col 40: Mean=-67.7056, Std=4.2585, Min=-75.9454, Max=-56.6121, RMS=67.8394
  Col 41: Mean=-0.5983, Std=168.0747, Min=-179.9933, Max=179.9090, RMS=168.0757
  Col 42: Mean=83.7168, Std=12.3547, Min=74.1090, Max=173.0884, RMS=84.6235
  Col 43: Mean=5.2957, Std=5.3632, Min=-9.7613, Max=18.5701, RMS=7.5371
  Col 44: Mean=80.6138, Std=143.3348, Min=-179.9739, Max=179.8670, RMS=164.4490
  Col 45: Mean=-3.5137, Std=113.5066, Min=-179.8104, Max=179.9739, RMS=113.5610
  Col 46: Mean=-69.1212, Std=14.0030, Min=-88.8337, Max=-6.2178, RMS=70.5253
  Col 47: Mean=-100.6381, Std=72.1065, Min=-179.6445, Max=-1.7004, RMS=123.8038
  Col 48: Mean=-147.8349, Std=21.8390, Min=-173.0973, Max=-23.5654, RMS=149.4393
  Col 49: Mean=-65.6373, Std=13.0906, Min=-84.5890, Max=-36.0601, RMS=66.9300
  Col 50: Mean=-14.4938, Std=19.8452, Min=-133.9569, Max=7.3044, RMS=24.5744
  Col 51: Mean=-3.7549, Std=18.6213, Min=-20.9232, Max=125.2816, RMS=18.9961
  Col 52: Mean=-44.1800, Std=16.5522, Min=-86.0690, Max=-23.2529, RMS=47.1789
  Col 53: Mean=162.1159, Std=18.0476, Min=38.5093, Max=179.0559, RMS=163.1174
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=59.1277, Std=88.9203, Min=-179.7609, Max=179.9747, RMS=106.7844
  Col 58: Mean=-64.9539, Std=19.7180, Min=-89.6320, Max=-5.5109, RMS=67.8809
  Col 59: Mean=-19.5761, Std=131.8752, Min=-179.9514, Max=179.6614, RMS=133.3203
  Col 60: Mean=49.6430, Std=155.3859, Min=-179.8021, Max=179.9467, RMS=163.1233
  Col 61: Mean=-66.0911, Std=13.5712, Min=-85.3188, Max=-34.9955, RMS=67.4701
  Col 62: Mean=37.0641, Std=24.4631, Min=15.3165, Max=156.4255, RMS=44.4094
  Col 63: Mean=-2.0410, Std=20.3448, Min=-127.3848, Max=30.1500, RMS=20.4469
  Col 64: Mean=-44.3482, Std=17.2891, Min=-86.4557, Max=-26.1297, RMS=47.5991
  Col 65: Mean=-146.9766, Std=21.5745, Min=-171.1742, Max=-20.8895, RMS=148.5516
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Magnetic_Field.csv] (Cols: 69)
  Col 0: Mean=-0.6803, Std=0.0970, Min=-0.8215, Max=-0.4951, RMS=0.6872
  Col 1: Mean=0.0332, Std=0.0511, Min=-0.0825, Max=0.1494, RMS=0.0609
  Col 2: Mean=0.0530, Std=0.0834, Min=-0.1433, Max=0.1575, RMS=0.0988
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.5151, Std=0.1249, Min=-0.7087, Max=-0.2498, RMS=0.5300
  Col 13: Mean=0.0559, Std=0.0523, Min=-0.0361, Max=0.1609, RMS=0.0766
  Col 14: Mean=-0.5187, Std=0.0480, Min=-0.6445, Max=-0.4238, RMS=0.5209
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.5069, Std=0.0698, Min=-0.6028, Max=-0.3374, RMS=0.5116
  Col 19: Mean=0.4383, Std=0.1333, Min=0.1631, Max=0.6372, RMS=0.4581
  Col 20: Mean=0.2294, Std=0.0727, Min=0.0281, Max=0.3376, RMS=0.2406
  Col 21: Mean=0.0513, Std=0.0566, Min=-0.0383, Max=0.2007, RMS=0.0764
  Col 22: Mean=-0.7384, Std=0.0648, Min=-0.8230, Max=-0.5698, RMS=0.7412
  Col 23: Mean=-0.0227, Std=0.1128, Min=-0.2317, Max=0.2222, RMS=0.1151
  Col 24: Mean=-0.5456, Std=0.1008, Min=-0.7249, Max=-0.3289, RMS=0.5549
  Col 25: Mean=0.2078, Std=0.0529, Min=0.0874, Max=0.3281, RMS=0.2145
  Col 26: Mean=-0.3006, Std=0.0561, Min=-0.4246, Max=-0.1892, RMS=0.3058
  Col 27: Mean=-0.5167, Std=0.1214, Min=-0.7720, Max=-0.3064, RMS=0.5308
  Col 28: Mean=0.5946, Std=0.0765, Min=0.4487, Max=0.7661, RMS=0.5995
  Col 29: Mean=-0.3126, Std=0.0804, Min=-0.5203, Max=-0.1890, RMS=0.3228
