--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Alessio_F/imu/stairs_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0040, Std=1.0506, Min=-5.5724, Max=3.0010, RMS=1.0506
  Col 1: Mean=-0.0101, Std=1.2257, Min=-4.4111, Max=4.7758, RMS=1.2258
  Col 2: Mean=0.0091, Std=2.8160, Min=-4.6751, Max=9.2111, RMS=2.8160
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0277, Std=1.3264, Min=-4.0703, Max=2.4063, RMS=1.3267
  Col 13: Mean=0.0064, Std=1.1248, Min=-3.3819, Max=3.4150, RMS=1.1248
  Col 14: Mean=-0.3120, Std=3.3581, Min=-9.3521, Max=8.5895, RMS=3.3725
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0086, Std=1.1416, Min=-4.0607, Max=2.0946, RMS=1.1416
  Col 19: Mean=-0.0136, Std=1.2234, Min=-2.6173, Max=2.6089, RMS=1.2235
  Col 20: Mean=0.0040, Std=2.7588, Min=-5.3567, Max=7.8034, RMS=2.7588
  Col 21: Mean=0.0070, Std=1.5391, Min=-4.6039, Max=3.3356, RMS=1.5391
  Col 22: Mean=-0.0117, Std=1.0952, Min=-2.8326, Max=3.1195, RMS=1.0952
  Col 23: Mean=0.0015, Std=2.8340, Min=-5.3305, Max=11.5996, RMS=2.8340
  Col 24: Mean=0.0066, Std=1.8705, Min=-6.0395, Max=4.9121, RMS=1.8706
  Col 25: Mean=-0.0235, Std=1.0204, Min=-3.2624, Max=3.0604, RMS=1.0207
  Col 26: Mean=0.0032, Std=3.1427, Min=-5.5623, Max=8.8205, RMS=3.1427
  Col 27: Mean=0.0232, Std=1.9491, Min=-5.9181, Max=3.6551, RMS=1.9493
  Col 28: Mean=-0.0055, Std=0.9433, Min=-3.3321, Max=2.7328, RMS=0.9433
  Col 29: Mean=0.0011, Std=3.1508, Min=-5.2130, Max=9.2286, RMS=3.1508
  Col 30: Mean=0.0419, Std=2.5675, Min=-7.1388, Max=5.4000, RMS=2.5678
  Col 31: Mean=0.0022, Std=1.5611, Min=-5.9896, Max=6.0309, RMS=1.5611
  Col 32: Mean=-0.0055, Std=3.2507, Min=-5.7914, Max=10.4767, RMS=3.2507
  Col 33: Mean=0.0063, Std=1.5863, Min=-5.1333, Max=3.1541, RMS=1.5863
  Col 34: Mean=-0.0149, Std=1.0732, Min=-2.9224, Max=2.1974, RMS=1.0733
  Col 35: Mean=0.0003, Std=2.8084, Min=-5.1260, Max=11.9773, RMS=2.8084
  Col 36: Mean=0.0014, Std=1.9873, Min=-7.0208, Max=5.2890, RMS=1.9873
  Col 37: Mean=0.0010, Std=1.0984, Min=-3.0340, Max=4.1074, RMS=1.0984
  Col 38: Mean=0.0005, Std=3.3557, Min=-6.4537, Max=9.3995, RMS=3.3557
  Col 39: Mean=0.0098, Std=2.4169, Min=-6.8281, Max=7.9642, RMS=2.4169
  Col 40: Mean=-0.0043, Std=1.2124, Min=-4.0786, Max=6.8338, RMS=1.2124
  Col 41: Mean=0.0058, Std=3.3547, Min=-6.3574, Max=10.2287, RMS=3.3547
  Col 42: Mean=-0.0240, Std=3.2033, Min=-8.7636, Max=9.5778, RMS=3.2034
  Col 43: Mean=0.0047, Std=1.5997, Min=-4.3509, Max=10.4516, RMS=1.5997
  Col 44: Mean=-0.2196, Std=3.4521, Min=-9.1705, Max=11.1617, RMS=3.4591
  Col 45: Mean=0.0107, Std=3.7537, Min=-14.3810, Max=9.9607, RMS=3.7537
  Col 46: Mean=-0.0278, Std=2.4724, Min=-9.4859, Max=11.6362, RMS=2.4725
  Col 47: Mean=0.0046, Std=4.7783, Min=-14.5372, Max=24.8802, RMS=4.7783
  Col 48: Mean=0.0699, Std=5.4748, Min=-25.7999, Max=19.2629, RMS=5.4753
  Col 49: Mean=-0.0402, Std=3.9432, Min=-29.0826, Max=23.4520, RMS=3.9435
  Col 50: Mean=-0.0723, Std=4.8842, Min=-13.8938, Max=39.4149, RMS=4.8848
  Col 51: Mean=0.1720, Std=7.5769, Min=-55.4954, Max=19.6850, RMS=7.5788
  Col 52: Mean=0.0019, Std=3.5042, Min=-28.9457, Max=25.4576, RMS=3.5042
  Col 53: Mean=-0.1316, Std=7.6635, Min=-27.0607, Max=47.7415, RMS=7.6647
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0232, Std=3.7912, Min=-11.5594, Max=14.2018, RMS=3.7913
  Col 58: Mean=0.0376, Std=2.2053, Min=-8.3415, Max=8.9657, RMS=2.2057
  Col 59: Mean=-0.3633, Std=5.2161, Min=-13.6446, Max=27.6981, RMS=5.2288
  Col 60: Mean=0.0624, Std=5.4581, Min=-32.1905, Max=30.2861, RMS=5.4584
  Col 61: Mean=0.1154, Std=5.4307, Min=-29.7226, Max=48.7921, RMS=5.4319
  Col 62: Mean=-0.1357, Std=5.7979, Min=-15.7935, Max=55.2156, RMS=5.7995
  Col 63: Mean=0.1428, Std=9.1097, Min=-94.7165, Max=23.5948, RMS=9.1108
  Col 64: Mean=-0.1322, Std=6.0607, Min=-45.8259, Max=66.5601, RMS=6.0622
  Col 65: Mean=-0.1094, Std=8.3699, Min=-19.2344, Max=56.0788, RMS=8.3707
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-0.3135, Std=5.3388, Min=-12.2354, Max=14.4581, RMS=5.3480
  Col 1: Mean=-69.3826, Std=2.4889, Min=-74.2175, Max=-63.5708, RMS=69.4272
  Col 2: Mean=7.3214, Std=4.8670, Min=-6.6316, Max=17.2007, RMS=8.7916
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-5.0244, Std=37.6173, Min=-179.9532, Max=179.9785, RMS=37.9514
  Col 13: Mean=-67.2390, Std=13.2531, Min=-74.9753, Max=-5.9670, RMS=68.5326
  Col 14: Mean=35.2699, Std=166.9386, Min=-179.9781, Max=179.9505, RMS=170.6237
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-96.4753, Std=3.2093, Min=-102.5279, Max=-89.6096, RMS=96.5286
  Col 19: Mean=-15.4722, Std=5.8502, Min=-25.8734, Max=-3.6106, RMS=16.5413
  Col 20: Mean=20.5789, Std=4.0317, Min=12.9086, Max=29.3001, RMS=20.9701
  Col 21: Mean=58.8833, Std=3.2388, Min=53.4721, Max=68.4489, RMS=58.9723
  Col 22: Mean=-0.5829, Std=2.7151, Min=-5.9251, Max=4.3950, RMS=2.7769
  Col 23: Mean=-84.4926, Std=5.5821, Min=-93.9961, Max=-73.8508, RMS=84.6768
