--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Alessio_F/imu/walk/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0088, Std=1.7195, Min=-7.2140, Max=4.0016, RMS=1.7195
  Col 1: Mean=-0.0024, Std=1.6794, Min=-4.4505, Max=5.8998, RMS=1.6794
  Col 2: Mean=-0.0049, Std=2.0856, Min=-4.0603, Max=9.5723, RMS=2.0857
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0114, Std=0.7699, Min=-2.9529, Max=2.3449, RMS=0.7700
  Col 13: Mean=-0.0143, Std=0.8127, Min=-2.4933, Max=2.6234, RMS=0.8129
  Col 14: Mean=-0.4646, Std=2.7609, Min=-8.9891, Max=7.4333, RMS=2.7997
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0044, Std=0.5121, Min=-2.3320, Max=2.0384, RMS=0.5121
  Col 19: Mean=-0.0024, Std=0.7619, Min=-1.5958, Max=2.1752, RMS=0.7619
  Col 20: Mean=0.0022, Std=1.7560, Min=-3.4070, Max=7.0006, RMS=1.7560
  Col 21: Mean=-0.0035, Std=0.8311, Min=-3.0732, Max=2.3110, RMS=0.8311
  Col 22: Mean=-0.0036, Std=0.8986, Min=-2.1706, Max=2.3365, RMS=0.8986
  Col 23: Mean=0.0023, Std=1.7609, Min=-3.0860, Max=6.3452, RMS=1.7609
  Col 24: Mean=-0.0038, Std=1.8223, Min=-6.1371, Max=4.0912, RMS=1.8223
  Col 25: Mean=-0.0144, Std=0.8982, Min=-3.3304, Max=2.5028, RMS=0.8983
  Col 26: Mean=-0.0071, Std=2.0376, Min=-3.5726, Max=7.1540, RMS=2.0376
  Col 27: Mean=0.0037, Std=2.0833, Min=-4.7917, Max=4.6952, RMS=2.0833
  Col 28: Mean=-0.0044, Std=0.7965, Min=-4.2149, Max=2.3580, RMS=0.7965
  Col 29: Mean=-0.0085, Std=2.0073, Min=-3.4306, Max=6.7700, RMS=2.0073
  Col 30: Mean=0.0105, Std=2.7547, Min=-7.4047, Max=6.7853, RMS=2.7547
  Col 31: Mean=0.0039, Std=0.9886, Min=-5.3705, Max=4.1687, RMS=0.9887
  Col 32: Mean=-0.0176, Std=2.2435, Min=-4.3702, Max=7.4900, RMS=2.2436
  Col 33: Mean=-0.0032, Std=0.8467, Min=-3.2995, Max=2.3589, RMS=0.8467
  Col 34: Mean=-0.0026, Std=0.9144, Min=-2.0097, Max=2.7526, RMS=0.9144
  Col 35: Mean=0.0013, Std=1.7637, Min=-3.1481, Max=8.3816, RMS=1.7637
  Col 36: Mean=-0.0063, Std=1.7707, Min=-5.5910, Max=4.1556, RMS=1.7707
  Col 37: Mean=0.0092, Std=1.0925, Min=-2.7720, Max=3.7572, RMS=1.0925
  Col 38: Mean=-0.0079, Std=2.1498, Min=-4.3292, Max=9.0337, RMS=2.1498
  Col 39: Mean=0.0003, Std=2.6570, Min=-8.3512, Max=9.2843, RMS=2.6570
  Col 40: Mean=-0.0027, Std=1.0023, Min=-3.1320, Max=4.3242, RMS=1.0023
  Col 41: Mean=-0.0062, Std=2.1705, Min=-4.0790, Max=7.8462, RMS=2.1705
  Col 42: Mean=-0.0264, Std=3.4412, Min=-12.1672, Max=9.8644, RMS=3.4413
  Col 43: Mean=-0.0051, Std=1.2827, Min=-3.4699, Max=9.9961, RMS=1.2827
  Col 44: Mean=-0.1017, Std=2.5168, Min=-8.9922, Max=8.0813, RMS=2.5189
  Col 45: Mean=0.0501, Std=5.1206, Min=-18.0273, Max=22.7248, RMS=5.1208
  Col 46: Mean=0.0307, Std=3.2421, Min=-16.1876, Max=14.1270, RMS=3.2422
  Col 47: Mean=-0.1304, Std=7.4212, Min=-19.1826, Max=38.9202, RMS=7.4223
  Col 48: Mean=0.0411, Std=6.7562, Min=-16.6329, Max=23.1025, RMS=6.7564
  Col 49: Mean=-0.0536, Std=3.1087, Min=-16.6628, Max=11.4535, RMS=3.1092
  Col 50: Mean=-0.1653, Std=3.2309, Min=-10.8619, Max=13.4830, RMS=3.2351
  Col 51: Mean=0.1404, Std=10.6794, Min=-45.5894, Max=37.0694, RMS=10.6803
  Col 52: Mean=-0.0084, Std=4.0322, Min=-23.5199, Max=23.5581, RMS=4.0322
  Col 53: Mean=-0.2708, Std=9.7053, Min=-53.6765, Max=28.6572, RMS=9.7091
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0325, Std=6.6223, Min=-26.8648, Max=37.3047, RMS=6.6224
  Col 58: Mean=-0.0081, Std=2.2568, Min=-11.0038, Max=7.7429, RMS=2.2568
  Col 59: Mean=-0.0020, Std=7.0727, Min=-19.9829, Max=34.4805, RMS=7.0727
  Col 60: Mean=0.0203, Std=7.4176, Min=-19.6161, Max=29.0491, RMS=7.4176
  Col 61: Mean=0.0683, Std=2.6710, Min=-9.8479, Max=22.1309, RMS=2.6719
  Col 62: Mean=-0.1685, Std=3.6809, Min=-11.6464, Max=15.3158, RMS=3.6848
  Col 63: Mean=0.1557, Std=11.3127, Min=-44.4494, Max=32.4730, RMS=11.3138
  Col 64: Mean=0.0092, Std=3.7609, Min=-27.1071, Max=18.8610, RMS=3.7609
  Col 65: Mean=-0.2724, Std=10.5377, Min=-60.7151, Max=43.9422, RMS=10.5412
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-4.8543, Std=10.4424, Min=-22.5636, Max=16.5272, RMS=11.5155
  Col 1: Mean=-72.1141, Std=2.0905, Min=-77.1937, Max=-66.1508, RMS=72.1444
  Col 2: Mean=14.9079, Std=10.5491, Min=-8.3327, Max=34.6263, RMS=18.2628
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.9721, Std=42.1324, Min=-179.9991, Max=179.9945, RMS=42.1436
  Col 13: Mean=-60.3287, Std=13.2294, Min=-69.2137, Max=-5.5288, RMS=61.7622
  Col 14: Mean=85.6890, Std=152.4664, Min=-179.9996, Max=179.9977, RMS=174.8960
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-88.1708, Std=1.7220, Min=-92.1143, Max=-82.0717, RMS=88.1876
  Col 19: Mean=-23.0765, Std=2.2648, Min=-27.7931, Max=-16.7930, RMS=23.1874
  Col 20: Mean=-5.8641, Std=2.3700, Min=-12.5042, Max=0.6219, RMS=6.3249
  Col 21: Mean=65.9236, Std=1.7902, Min=59.2546, Max=70.7083, RMS=65.9480
  Col 22: Mean=-1.2768, Std=1.7213, Min=-4.7353, Max=4.2791, RMS=2.1432
  Col 23: Mean=-81.0926, Std=3.2084, Min=-88.3591, Max=-71.8583, RMS=81.1560
  Col 24: Mean=-32.4297, Std=11.8010, Min=-63.2789, Max=0.7208, RMS=34.5101
  Col 25: Mean=-73.8200, Std=2.7941, Min=-79.9419, Max=-63.4437, RMS=73.8729
  Col 26: Mean=116.3011, Std=16.8783, Min=81.5143, Max=157.0768, RMS=117.5195
  Col 27: Mean=-68.1677, Std=7.1547, Min=-82.3068, Max=-44.1805, RMS=68.5421
  Col 28: Mean=-63.6193, Std=6.6491, Min=-75.0835, Max=-43.1081, RMS=63.9658
  Col 29: Mean=98.7071, Std=136.2726, Min=-179.9816, Max=179.9690, RMS=168.2656
  Col 30: Mean=79.1187, Std=2.9347, Min=70.4821, Max=85.5373, RMS=79.1732
  Col 31: Mean=-5.7781, Std=7.8060, Min=-28.7232, Max=11.3529, RMS=9.7118
  Col 32: Mean=15.9331, Std=9.0683, Min=-8.7227, Max=39.0491, RMS=18.3330
  Col 33: Mean=60.4872, Std=2.0134, Min=53.6840, Max=65.5882, RMS=60.5207
  Col 34: Mean=2.0175, Std=1.5759, Min=-1.0032, Max=8.1124, RMS=2.5601
  Col 35: Mean=-97.8882, Std=3.5690, Min=-105.1865, Max=-88.1778, RMS=97.9532
  Col 36: Mean=41.6260, Std=15.0410, Min=3.8623, Max=69.9506, RMS=44.2601
  Col 37: Mean=-71.8066, Std=4.0841, Min=-79.3399, Max=-59.2124, RMS=71.9227
  Col 38: Mean=-122.5357, Std=21.9713, Min=-159.1448, Max=-74.4237, RMS=124.4899
  Col 39: Mean=43.3323, Std=13.6584, Min=-7.5053, Max=63.1886, RMS=45.4339
  Col 40: Mean=-66.5844, Std=9.2894, Min=-82.1738, Max=-43.4811, RMS=67.2293
  Col 41: Mean=-65.0348, Std=150.8050, Min=-179.9984, Max=179.9804, RMS=164.2306
  Col 42: Mean=78.8828, Std=10.9126, Min=59.5964, Max=173.1491, RMS=79.6340
  Col 43: Mean=0.4592, Std=10.3297, Min=-20.8069, Max=25.9913, RMS=10.3399
  Col 44: Mean=148.6659, Std=9.6825, Min=130.1734, Max=179.0021, RMS=148.9809
  Col 45: Mean=-39.6740, Std=116.9091, Min=-179.9435, Max=179.9966, RMS=123.4575
  Col 46: Mean=-73.0704, Std=12.5760, Min=-88.3034, Max=-5.8978, RMS=74.1447
  Col 47: Mean=-91.9742, Std=66.1331, Min=-179.8908, Max=-9.2253, RMS=113.2822
  Col 48: Mean=39.1817, Std=127.1119, Min=-179.9758, Max=179.9240, RMS=133.0137
  Col 49: Mean=-69.1359, Std=15.2192, Min=-87.8759, Max=-32.7219, RMS=70.7913
  Col 50: Mean=-57.9094, Std=59.0533, Min=-170.4730, Max=4.4312, RMS=82.7091
  Col 51: Mean=-3.4245, Std=46.2676, Min=-178.7944, Max=177.7285, RMS=46.3942
  Col 52: Mean=-39.0510, Std=22.0602, Min=-88.7839, Max=0.9964, RMS=44.8513
  Col 53: Mean=131.9681, Std=96.8184, Min=-179.9276, Max=179.9612, RMS=163.6747
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=9.6086, Std=127.6975, Min=-179.4234, Max=179.8815, RMS=128.0585
  Col 58: Mean=-72.9933, Std=5.4058, Min=-85.6376, Max=-59.6590, RMS=73.1932
  Col 59: Mean=91.0696, Std=56.1794, Min=20.3398, Max=178.1888, RMS=107.0037
  Col 60: Mean=-57.5027, Std=123.0955, Min=-179.9220, Max=179.9254, RMS=135.8641
