--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Andrea/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0041, Std=1.2850, Min=-6.7659, Max=4.6339, RMS=1.2850
  Col 1: Mean=-0.0058, Std=1.4703, Min=-5.7208, Max=3.9056, RMS=1.4703
  Col 2: Mean=0.0241, Std=2.0707, Min=-4.6764, Max=7.6189, RMS=2.0708
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0006, Std=0.7471, Min=-2.3542, Max=1.8880, RMS=0.7471
  Col 13: Mean=-0.0018, Std=1.0672, Min=-2.6654, Max=2.7765, RMS=1.0672
  Col 14: Mean=0.0172, Std=1.9360, Min=-3.9292, Max=6.5038, RMS=1.9361
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0007, Std=0.8873, Min=-2.8417, Max=1.9767, RMS=0.8873
  Col 19: Mean=0.0030, Std=1.0525, Min=-3.2372, Max=2.5070, RMS=1.0525
  Col 20: Mean=0.0110, Std=2.1342, Min=-4.2340, Max=9.9611, RMS=2.1342
  Col 21: Mean=-0.0013, Std=0.8152, Min=-1.9887, Max=2.7187, RMS=0.8152
  Col 22: Mean=0.0039, Std=1.0969, Min=-3.2337, Max=2.7123, RMS=1.0969
  Col 23: Mean=0.0163, Std=2.0645, Min=-3.7979, Max=9.0734, RMS=2.0645
  Col 24: Mean=0.0066, Std=1.1766, Min=-2.9576, Max=4.3082, RMS=1.1766
  Col 25: Mean=-0.0131, Std=1.5988, Min=-7.0941, Max=3.6119, RMS=1.5989
  Col 26: Mean=0.0126, Std=2.2005, Min=-4.3251, Max=7.8680, RMS=2.2005
  Col 27: Mean=0.0177, Std=0.8964, Min=-3.2178, Max=2.0092, RMS=0.8966
  Col 28: Mean=0.0010, Std=1.8374, Min=-4.7428, Max=4.4091, RMS=1.8374
  Col 29: Mean=0.0120, Std=2.1169, Min=-4.0777, Max=7.4875, RMS=2.1169
  Col 30: Mean=0.0260, Std=1.2238, Min=-4.7786, Max=3.0591, RMS=1.2241
  Col 31: Mean=0.0143, Std=2.3048, Min=-6.0866, Max=6.5670, RMS=2.3049
  Col 32: Mean=0.0231, Std=2.2046, Min=-4.1365, Max=7.5723, RMS=2.2048
  Col 33: Mean=-0.0021, Std=0.6931, Min=-2.0015, Max=2.3754, RMS=0.6931
  Col 34: Mean=0.0100, Std=1.1961, Min=-3.5219, Max=2.7572, RMS=1.1962
  Col 35: Mean=0.0170, Std=2.0523, Min=-4.0929, Max=7.8397, RMS=2.0524
  Col 36: Mean=-0.0075, Std=0.8432, Min=-3.6762, Max=2.2710, RMS=0.8433
  Col 37: Mean=0.0111, Std=1.7668, Min=-8.2210, Max=4.2219, RMS=1.7669
  Col 38: Mean=0.0126, Std=2.2259, Min=-4.4006, Max=8.5984, RMS=2.2259
  Col 39: Mean=0.0232, Std=0.5922, Min=-1.8366, Max=1.8193, RMS=0.5927
  Col 40: Mean=0.0352, Std=1.9072, Min=-4.8492, Max=4.6789, RMS=1.9075
  Col 41: Mean=0.0160, Std=2.2057, Min=-3.7606, Max=7.6230, RMS=2.2058
  Col 42: Mean=0.0361, Std=0.9650, Min=-4.1207, Max=2.1866, RMS=0.9657
  Col 43: Mean=0.0452, Std=2.3331, Min=-6.0255, Max=6.4980, RMS=2.3335
  Col 44: Mean=0.0071, Std=2.3910, Min=-4.5514, Max=6.7546, RMS=2.3911
  Col 45: Mean=0.0059, Std=4.0100, Min=-22.6368, Max=16.2136, RMS=4.0100
  Col 46: Mean=-0.0157, Std=4.7303, Min=-20.2683, Max=15.7380, RMS=4.7303
  Col 47: Mean=0.0084, Std=4.5211, Min=-24.1276, Max=23.4528, RMS=4.5211
  Col 48: Mean=0.0284, Std=2.8708, Min=-10.2430, Max=13.7078, RMS=2.8709
  Col 49: Mean=0.0017, Std=4.7519, Min=-12.9679, Max=18.0327, RMS=4.7519
  Col 50: Mean=-0.0841, Std=2.8004, Min=-8.6810, Max=22.4204, RMS=2.8016
  Col 51: Mean=0.0470, Std=4.1159, Min=-17.8015, Max=24.6549, RMS=4.1162
  Col 52: Mean=0.0217, Std=8.4037, Min=-27.0071, Max=26.7411, RMS=8.4037
  Col 53: Mean=-0.1263, Std=5.9764, Min=-25.6000, Max=16.1749, RMS=5.9778
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0048, Std=3.7168, Min=-17.0642, Max=12.9138, RMS=3.7168
  Col 58: Mean=-0.0116, Std=4.5930, Min=-15.8534, Max=18.1607, RMS=4.5930
  Col 59: Mean=0.0213, Std=4.1916, Min=-17.3161, Max=23.8870, RMS=4.1917
  Col 60: Mean=-0.0120, Std=3.0036, Min=-23.1594, Max=11.5927, RMS=3.0036
  Col 61: Mean=0.0142, Std=4.9708, Min=-18.2267, Max=20.9480, RMS=4.9709
  Col 62: Mean=-0.0594, Std=3.1527, Min=-9.1312, Max=24.8991, RMS=3.1532
  Col 63: Mean=-0.0203, Std=3.5841, Min=-24.0226, Max=10.9135, RMS=3.5841
  Col 64: Mean=0.0460, Std=9.1575, Min=-30.4886, Max=30.6599, RMS=9.1576
  Col 65: Mean=-0.1018, Std=6.7568, Min=-28.0472, Max=21.8014, RMS=6.7576
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-15.5502, Std=10.3480, Min=-43.9812, Max=2.7458, RMS=18.6786
  Col 1: Mean=-75.8622, Std=3.5572, Min=-81.7931, Max=-69.3957, RMS=75.9456
  Col 2: Mean=90.3389, Std=8.9088, Min=75.2879, Max=111.1657, RMS=90.7771
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=15.1347, Std=7.5627, Min=1.7069, Max=38.5604, RMS=16.9191
  Col 13: Mean=-65.4703, Std=6.0571, Min=-80.0240, Max=-56.6138, RMS=65.7499
  Col 14: Mean=-117.0637, Std=7.8699, Min=-138.3059, Max=-105.2271, RMS=117.3279
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=104.2315, Std=8.9374, Min=86.9441, Max=120.9192, RMS=104.6140
  Col 19: Mean=5.1661, Std=3.1586, Min=-2.7395, Max=10.8615, RMS=6.0552
  Col 20: Mean=-32.3347, Std=5.4102, Min=-39.7948, Max=-18.0366, RMS=32.7842
  Col 21: Mean=55.6016, Std=6.3710, Min=39.3756, Max=66.4294, RMS=55.9654
  Col 22: Mean=-0.5716, Std=2.7119, Min=-7.1919, Max=4.8036, RMS=2.7715
  Col 23: Mean=-12.0905, Std=3.0619, Min=-17.9917, Max=-6.6264, RMS=12.4722
  Col 24: Mean=-17.7399, Std=22.3745, Min=-59.4127, Max=19.2344, RMS=28.5539
  Col 25: Mean=74.7120, Std=3.4643, Min=67.0382, Max=80.1255, RMS=74.7923
  Col 26: Mean=-39.1713, Std=23.6306, Min=-79.6877, Max=0.0512, RMS=45.7471
  Col 27: Mean=-38.0737, Std=7.0306, Min=-49.6068, Max=-18.6243, RMS=38.7174
  Col 28: Mean=-62.6922, Std=8.4248, Min=-77.2393, Max=-42.8186, RMS=63.2558
  Col 29: Mean=-120.8142, Std=10.0132, Min=-149.2796, Max=-105.6850, RMS=121.2284
  Col 30: Mean=-68.8650, Std=5.2582, Min=-79.2460, Max=-56.0704, RMS=69.0655
  Col 31: Mean=2.0526, Std=8.4575, Min=-13.7024, Max=23.3139, RMS=8.7030
  Col 32: Mean=-90.0897, Std=5.8240, Min=-108.7627, Max=-77.1701, RMS=90.2777
  Col 33: Mean=47.5793, Std=6.4183, Min=32.1063, Max=57.7359, RMS=48.0102
  Col 34: Mean=2.2262, Std=2.5823, Min=-3.2123, Max=6.3330, RMS=3.4094
  Col 35: Mean=-28.4371, Std=3.2850, Min=-35.4322, Max=-21.7326, RMS=28.6262
  Col 36: Mean=0.0033, Std=25.6220, Min=-71.3327, Max=37.9111, RMS=25.6220
  Col 37: Mean=-77.5050, Std=2.6776, Min=-83.2135, Max=-73.2237, RMS=77.5512
  Col 38: Mean=-26.0584, Std=25.4528, Min=-63.6894, Max=41.9601, RMS=36.4264
  Col 39: Mean=47.6598, Std=9.4888, Min=3.1455, Max=68.3009, RMS=48.5952
  Col 40: Mean=-63.0440, Std=7.6396, Min=-81.4183, Max=-43.3316, RMS=63.5052
  Col 41: Mean=-91.5523, Std=10.4188, Min=-111.0432, Max=-46.3917, RMS=92.1432
  Col 42: Mean=-68.2410, Std=4.8819, Min=-80.9571, Max=-56.1901, RMS=68.4154
  Col 43: Mean=-11.8587, Std=8.4409, Min=-35.4718, Max=8.8027, RMS=14.5560
  Col 44: Mean=45.7414, Std=4.8373, Min=34.3718, Max=60.8653, RMS=45.9964
  Col 45: Mean=-92.4912, Std=74.4659, Min=-174.2459, Max=179.7113, RMS=118.7425
  Col 46: Mean=-76.7809, Std=6.9788, Min=-89.9257, Max=-57.9302, RMS=77.0974
  Col 47: Mean=10.5094, Std=71.1168, Min=-135.1066, Max=102.4394, RMS=71.8892
  Col 48: Mean=-68.2583, Std=129.7666, Min=-179.6838, Max=178.5805, RMS=146.6238
  Col 49: Mean=-66.0770, Std=14.4828, Min=-82.5414, Max=-25.9954, RMS=67.6456
  Col 50: Mean=22.2366, Std=36.8924, Min=-81.7266, Max=66.5179, RMS=43.0757
  Col 51: Mean=-6.2888, Std=32.1278, Min=-178.9433, Max=170.7328, RMS=32.7375
  Col 52: Mean=-37.5000, Std=19.4898, Min=-87.7684, Max=-0.8439, RMS=42.2623
  Col 53: Mean=-105.1187, Std=51.6662, Min=-179.9950, Max=179.5287, RMS=117.1296
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=94.5693, Std=77.3220, Min=-178.5144, Max=179.8827, RMS=122.1558
  Col 58: Mean=-74.2119, Std=5.5238, Min=-85.4195, Max=-58.1476, RMS=74.4172
  Col 59: Mean=1.5984, Std=126.4737, Min=-179.6376, Max=179.6449, RMS=126.4838
  Col 60: Mean=55.0594, Std=119.5728, Min=-179.7157, Max=179.7700, RMS=131.6404
  Col 61: Mean=-69.5599, Std=13.1705, Min=-83.8970, Max=-30.2243, RMS=70.7958
  Col 62: Mean=69.9542, Std=112.1963, Min=-178.8693, Max=179.9776, RMS=132.2180
  Col 63: Mean=28.2114, Std=19.1151, Min=-13.0734, Max=136.4529, RMS=34.0774
  Col 64: Mean=-32.1020, Std=19.4971, Min=-89.0983, Max=6.1389, RMS=37.5589
  Col 65: Mean=-103.7129, Std=45.1101, Min=-174.5597, Max=172.0012, RMS=113.0986
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Magnetic_Field.csv] (Cols: 69)
  Col 0: Mean=-0.4385, Std=0.1306, Min=-0.5823, Max=-0.2461, RMS=0.4575
  Col 1: Mean=0.4804, Std=0.0853, Min=0.3496, Max=0.6580, RMS=0.4879
  Col 2: Mean=-0.3415, Std=0.1047, Min=-0.5183, Max=-0.1104, RMS=0.3572
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.5000, Std=0.1059, Min=-0.6165, Max=-0.2656, RMS=0.5111
  Col 13: Mean=-0.5257, Std=0.0437, Min=-0.6414, Max=-0.4561, RMS=0.5276
  Col 14: Mean=0.0749, Std=0.1156, Min=-0.0679, Max=0.3164, RMS=0.1378
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.4644, Std=0.0626, Min=-0.5977, Max=-0.3296, RMS=0.4686
  Col 19: Mean=-0.6206, Std=0.1115, Min=-0.7400, Max=-0.3250, RMS=0.6305
  Col 20: Mean=0.1491, Std=0.1934, Min=-0.2336, Max=0.3738, RMS=0.2442
  Col 21: Mean=-0.3321, Std=0.0591, Min=-0.4744, Max=-0.2371, RMS=0.3373
  Col 22: Mean=-0.3511, Std=0.1566, Min=-0.5579, Max=0.0129, RMS=0.3844
  Col 23: Mean=-0.4706, Std=0.1046, Min=-0.6084, Max=-0.1863, RMS=0.4821
  Col 24: Mean=0.4030, Std=0.1616, Min=0.0596, Max=0.6233, RMS=0.4342
  Col 25: Mean=0.2052, Std=0.1311, Min=-0.1360, Max=0.4529, RMS=0.2435
  Col 26: Mean=-0.5665, Std=0.0785, Min=-0.7993, Max=-0.3386, RMS=0.5719
  Col 27: Mean=-0.5428, Std=0.1280, Min=-0.6965, Max=-0.2236, RMS=0.5577
  Col 28: Mean=-0.2113, Std=0.1459, Min=-0.6572, Max=0.0662, RMS=0.2568
  Col 29: Mean=-0.4959, Std=0.1198, Min=-0.9937, Max=-0.3369, RMS=0.5101
  Col 30: Mean=-0.3144, Std=0.1479, Min=-0.7871, Max=-0.0181, RMS=0.3474
  Col 31: Mean=0.4314, Std=0.1176, Min=0.2175, Max=0.5742, RMS=0.4471
  Col 32: Mean=-0.5616, Std=0.1478, Min=-1.1567, Max=-0.2981, RMS=0.5807
  Col 33: Mean=-0.4541, Std=0.0694, Min=-0.5723, Max=-0.3450, RMS=0.4594
  Col 34: Mean=-0.3870, Std=0.1271, Min=-0.5422, Max=-0.0876, RMS=0.4073
  Col 35: Mean=-0.3767, Std=0.0900, Min=-0.4805, Max=-0.1411, RMS=0.3873
  Col 36: Mean=-0.5967, Std=0.0762, Min=-0.7012, Max=-0.4573, RMS=0.6016
  Col 37: Mean=0.1029, Std=0.1171, Min=-0.1360, Max=0.2874, RMS=0.1559
  Col 38: Mean=0.4031, Std=0.1084, Min=0.2583, Max=0.7112, RMS=0.4174
  Col 39: Mean=-0.6717, Std=0.0711, Min=-0.7483, Max=-0.4622, RMS=0.6755
  Col 40: Mean=-0.2007, Std=0.1273, Min=-0.4995, Max=0.0247, RMS=0.2376
  Col 41: Mean=0.4165, Std=0.1916, Min=0.2156, Max=0.9797, RMS=0.4584
  Col 42: Mean=-0.1036, Std=0.1420, Min=-0.4368, Max=0.1316, RMS=0.1758
  Col 43: Mean=0.6589, Std=0.0621, Min=0.4966, Max=0.7649, RMS=0.6618
  Col 44: Mean=0.3450, Std=0.2225, Min=0.0640, Max=0.8552, RMS=0.4105
  Col 45: Mean=-0.5412, Std=0.1670, Min=-0.7463, Max=-0.2156, RMS=0.5664
  Col 46: Mean=-0.2673, Std=0.1167, Min=-0.5369, Max=-0.0857, RMS=0.2917
  Col 47: Mean=0.4046, Std=0.1699, Min=0.1187, Max=0.6931, RMS=0.4388
  Col 48: Mean=-0.3599, Std=0.2179, Min=-0.6787, Max=0.1284, RMS=0.4207
  Col 49: Mean=-0.5471, Std=0.1422, Min=-0.8005, Max=-0.2456, RMS=0.5652
  Col 50: Mean=0.1503, Std=0.1434, Min=-0.2737, Max=0.4641, RMS=0.2077
  Col 51: Mean=-0.3262, Std=0.1992, Min=-0.7095, Max=-0.0085, RMS=0.3822
  Col 52: Mean=-0.4934, Std=0.1212, Min=-0.7654, Max=-0.1628, RMS=0.5080
  Col 53: Mean=-0.2798, Std=0.2866, Min=-0.7964, Max=0.2920, RMS=0.4005
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
