--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Andrea/imu/slope_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0038, Std=1.1478, Min=-4.7428, Max=5.6354, RMS=1.1478
  Col 1: Mean=-0.0098, Std=1.5178, Min=-4.9400, Max=4.8955, RMS=1.5179
  Col 2: Mean=0.0003, Std=2.3113, Min=-4.7112, Max=9.1341, RMS=2.3113
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0015, Std=0.8731, Min=-2.1803, Max=4.8445, RMS=0.8731
  Col 13: Mean=-0.0110, Std=1.3495, Min=-3.2724, Max=4.0650, RMS=1.3495
  Col 14: Mean=-0.0099, Std=2.2946, Min=-4.9090, Max=7.4246, RMS=2.2946
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0009, Std=1.1273, Min=-2.7853, Max=3.3332, RMS=1.1273
  Col 19: Mean=-0.0202, Std=1.2002, Min=-2.5350, Max=3.2618, RMS=1.2003
  Col 20: Mean=0.0009, Std=2.3224, Min=-5.3646, Max=7.6149, RMS=2.3224
  Col 21: Mean=0.0015, Std=0.8937, Min=-2.8143, Max=3.2201, RMS=0.8937
  Col 22: Mean=-0.0102, Std=1.3926, Min=-3.1925, Max=5.6816, RMS=1.3926
  Col 23: Mean=-0.0076, Std=2.1642, Min=-4.4989, Max=8.7644, RMS=2.1642
  Col 24: Mean=-0.0048, Std=1.2161, Min=-5.5724, Max=3.9102, RMS=1.2161
  Col 25: Mean=-0.0064, Std=1.5217, Min=-3.9803, Max=6.8420, RMS=1.5218
  Col 26: Mean=-0.0129, Std=2.3276, Min=-4.5511, Max=7.4852, RMS=2.3276
  Col 27: Mean=0.0011, Std=0.7607, Min=-1.8444, Max=2.3449, RMS=0.7607
  Col 28: Mean=-0.0237, Std=1.6015, Min=-3.8474, Max=4.9305, RMS=1.6016
  Col 29: Mean=-0.0110, Std=2.0897, Min=-4.4525, Max=7.2689, RMS=2.0897
  Col 30: Mean=-0.0010, Std=1.1453, Min=-3.7299, Max=4.7955, RMS=1.1453
  Col 31: Mean=-0.0336, Std=2.3003, Min=-6.1977, Max=7.2345, RMS=2.3006
  Col 32: Mean=-0.0136, Std=2.0558, Min=-4.4598, Max=6.9995, RMS=2.0558
  Col 33: Mean=0.0031, Std=0.8521, Min=-2.6965, Max=3.2690, RMS=0.8521
  Col 34: Mean=-0.0142, Std=1.5616, Min=-3.9235, Max=5.2934, RMS=1.5616
  Col 35: Mean=-0.0060, Std=2.1501, Min=-4.6674, Max=8.1089, RMS=2.1502
  Col 36: Mean=0.0106, Std=1.0064, Min=-2.6958, Max=5.2861, RMS=1.0065
  Col 37: Mean=-0.0174, Std=1.8346, Min=-5.0658, Max=7.2245, RMS=1.8347
  Col 38: Mean=-0.0121, Std=2.3850, Min=-5.0264, Max=8.4732, RMS=2.3851
