--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Andrea/imu/slope_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0095, Std=1.1686, Min=-3.9315, Max=5.0839, RMS=1.1686
  Col 1: Mean=-0.0431, Std=1.4790, Min=-4.3371, Max=4.5508, RMS=1.4796
  Col 2: Mean=-0.0017, Std=2.0945, Min=-4.2373, Max=8.7730, RMS=2.0945
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0145, Std=0.8514, Min=-1.8650, Max=4.1298, RMS=0.8516
  Col 13: Mean=-0.0313, Std=1.1483, Min=-2.9081, Max=3.4238, RMS=1.1487
  Col 14: Mean=-0.0102, Std=2.1532, Min=-4.7235, Max=6.8022, RMS=2.1532
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0008, Std=1.1571, Min=-2.4483, Max=3.4163, RMS=1.1571
  Col 19: Mean=-0.0322, Std=0.9892, Min=-1.8562, Max=2.8313, RMS=0.9898
  Col 20: Mean=-0.0077, Std=2.1996, Min=-4.9316, Max=7.6692, RMS=2.1996
  Col 21: Mean=0.0024, Std=0.9520, Min=-2.9036, Max=2.8569, RMS=0.9520
  Col 22: Mean=-0.0298, Std=1.1718, Min=-2.9571, Max=4.9342, RMS=1.1722
  Col 23: Mean=-0.0133, Std=1.9713, Min=-4.0668, Max=8.6167, RMS=1.9713
  Col 24: Mean=-0.0086, Std=1.3051, Min=-4.6959, Max=3.3127, RMS=1.3051
  Col 25: Mean=-0.0221, Std=1.4601, Min=-5.0731, Max=6.2604, RMS=1.4603
  Col 26: Mean=-0.0132, Std=2.1082, Min=-4.2307, Max=6.9973, RMS=2.1082
  Col 27: Mean=-0.0146, Std=0.9422, Min=-2.0099, Max=3.1987, RMS=0.9423
  Col 28: Mean=-0.0560, Std=1.7694, Min=-4.6324, Max=4.8201, RMS=1.7703
  Col 29: Mean=-0.0001, Std=1.8147, Min=-3.7132, Max=6.0532, RMS=1.8147
  Col 30: Mean=-0.0170, Std=1.4012, Min=-4.1397, Max=5.0771, RMS=1.4013
  Col 31: Mean=-0.0815, Std=2.5989, Min=-7.5259, Max=7.3367, RMS=2.6001
  Col 32: Mean=-0.0049, Std=1.8375, Min=-3.8900, Max=5.5323, RMS=1.8375
  Col 33: Mean=-0.0030, Std=0.8673, Min=-2.9554, Max=2.4656, RMS=0.8673
  Col 34: Mean=-0.0465, Std=1.3957, Min=-3.5546, Max=5.6995, RMS=1.3965
  Col 35: Mean=-0.0115, Std=1.9225, Min=-3.8458, Max=8.0617, RMS=1.9226
  Col 36: Mean=-0.0181, Std=0.9368, Min=-2.3662, Max=5.5147, RMS=0.9370
  Col 37: Mean=-0.0687, Std=1.6883, Min=-4.2928, Max=8.4505, RMS=1.6897
  Col 38: Mean=-0.0170, Std=2.2131, Min=-4.8359, Max=7.0898, RMS=2.2131
  Col 39: Mean=-0.0779, Std=0.7449, Min=-1.9003, Max=2.2588, RMS=0.7489
  Col 40: Mean=-0.0958, Std=1.9726, Min=-4.9189, Max=5.3059, RMS=1.9749
  Col 41: Mean=-0.0093, Std=2.1310, Min=-5.2442, Max=7.2873, RMS=2.1310
  Col 42: Mean=-0.0939, Std=1.1089, Min=-2.5331, Max=4.6094, RMS=1.1129
  Col 43: Mean=-0.1142, Std=2.4722, Min=-7.0290, Max=6.6471, RMS=2.4748
  Col 44: Mean=-0.0155, Std=2.3258, Min=-6.1576, Max=7.4137, RMS=2.3259
  Col 45: Mean=-0.0250, Std=3.0818, Min=-11.2977, Max=14.6644, RMS=3.0819
  Col 46: Mean=-0.0748, Std=4.5214, Min=-13.9096, Max=18.7522, RMS=4.5220
  Col 47: Mean=-0.0173, Std=4.2138, Min=-23.2327, Max=19.2447, RMS=4.2138
  Col 48: Mean=-0.0659, Std=2.8118, Min=-15.6132, Max=18.0082, RMS=2.8126
  Col 49: Mean=-0.0919, Std=4.7929, Min=-15.6936, Max=11.6617, RMS=4.7938
  Col 50: Mean=-0.1022, Std=2.7496, Min=-13.0185, Max=19.7237, RMS=2.7515
  Col 51: Mean=-0.0848, Std=3.6398, Min=-21.9818, Max=12.3701, RMS=3.6408
  Col 52: Mean=-0.1363, Std=8.4834, Min=-31.9689, Max=28.0280, RMS=8.4845
  Col 53: Mean=-0.1223, Std=5.3584, Min=-20.7233, Max=30.4593, RMS=5.3598
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0199, Std=3.0631, Min=-9.5706, Max=20.9581, RMS=3.0632
  Col 58: Mean=-0.0273, Std=4.2060, Min=-15.6736, Max=11.2575, RMS=4.2061
  Col 59: Mean=-0.0041, Std=3.8105, Min=-15.2497, Max=18.8292, RMS=3.8105
  Col 60: Mean=0.0112, Std=2.9471, Min=-15.3978, Max=17.5983, RMS=2.9471
  Col 61: Mean=-0.0342, Std=4.9505, Min=-16.4937, Max=15.0168, RMS=4.9507
  Col 62: Mean=-0.0906, Std=2.9368, Min=-14.8425, Max=24.8517, RMS=2.9382
