--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Andrea/imu/stairs_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0060, Std=1.4155, Min=-3.7940, Max=6.4564, RMS=1.4155
  Col 1: Mean=0.0003, Std=1.3330, Min=-5.6208, Max=3.8317, RMS=1.3330
  Col 2: Mean=-0.0514, Std=3.2003, Min=-9.2409, Max=9.7419, RMS=3.2007
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0048, Std=0.9016, Min=-2.5541, Max=2.2948, RMS=0.9016
  Col 13: Mean=-0.0077, Std=0.7596, Min=-2.3194, Max=2.5868, RMS=0.7596
  Col 14: Mean=0.0048, Std=2.9201, Min=-6.6622, Max=9.8126, RMS=2.9201
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0070, Std=1.0366, Min=-3.9590, Max=2.4303, RMS=1.0366
  Col 19: Mean=-0.0151, Std=0.9670, Min=-2.4930, Max=2.3308, RMS=0.9671
  Col 20: Mean=0.0020, Std=2.9792, Min=-6.8531, Max=12.7616, RMS=2.9792
  Col 21: Mean=-0.0097, Std=1.0976, Min=-2.7517, Max=3.6505, RMS=1.0977
  Col 22: Mean=-0.0030, Std=1.0994, Min=-3.4219, Max=3.8163, RMS=1.0994
  Col 23: Mean=0.0000, Std=3.1827, Min=-6.5485, Max=9.6695, RMS=3.1827
  Col 24: Mean=0.0002, Std=1.8390, Min=-4.5832, Max=8.1618, RMS=1.8390
  Col 25: Mean=0.0086, Std=1.6397, Min=-4.6853, Max=6.8652, RMS=1.6397
