--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Andrea/imu/stairs_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0033, Std=1.4788, Min=-3.5195, Max=4.6133, RMS=1.4788
  Col 1: Mean=0.0023, Std=0.8159, Min=-3.3763, Max=2.7971, RMS=0.8159
  Col 2: Mean=0.0101, Std=2.4815, Min=-5.5959, Max=8.3924, RMS=2.4815
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0040, Std=1.1362, Min=-3.5245, Max=1.8422, RMS=1.1362
  Col 13: Mean=-0.0066, Std=1.1372, Min=-2.9392, Max=3.6532, RMS=1.1372
  Col 14: Mean=-0.3211, Std=3.4488, Min=-9.2489, Max=7.7934, RMS=3.4637
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0163, Std=1.0105, Min=-3.0039, Max=2.0852, RMS=1.0106
  Col 19: Mean=0.0039, Std=1.4482, Min=-3.0090, Max=3.4884, RMS=1.4482
  Col 20: Mean=0.0046, Std=3.0421, Min=-6.4330, Max=8.4650, RMS=3.0421
  Col 21: Mean=0.0097, Std=1.2988, Min=-4.8072, Max=2.0650, RMS=1.2988
  Col 22: Mean=0.0004, Std=1.1413, Min=-2.5927, Max=3.2109, RMS=1.1413
  Col 23: Mean=0.0037, Std=2.4003, Min=-5.2867, Max=7.8244, RMS=2.4003
  Col 24: Mean=0.0079, Std=1.6554, Min=-5.6466, Max=4.0739, RMS=1.6554
  Col 25: Mean=-0.0033, Std=1.1899, Min=-3.4860, Max=3.5632, RMS=1.1899
  Col 26: Mean=0.0046, Std=2.5818, Min=-5.2170, Max=7.0916, RMS=2.5819
  Col 27: Mean=0.0269, Std=2.0153, Min=-6.0332, Max=3.5289, RMS=2.0155
  Col 28: Mean=0.0012, Std=0.7915, Min=-2.7121, Max=2.4367, RMS=0.7915
  Col 29: Mean=0.0074, Std=2.3095, Min=-5.0706, Max=7.4756, RMS=2.3095
  Col 30: Mean=-0.0246, Std=2.6311, Min=-8.9970, Max=6.1250, RMS=2.6312
  Col 31: Mean=0.0030, Std=0.9557, Min=-3.6358, Max=2.6549, RMS=0.9557
  Col 32: Mean=-0.3097, Std=2.5783, Min=-9.1746, Max=6.7804, RMS=2.5968
  Col 33: Mean=0.0092, Std=1.4970, Min=-5.4161, Max=2.6217, RMS=1.4970
  Col 34: Mean=0.0046, Std=1.1385, Min=-2.9769, Max=3.6130, RMS=1.1385
  Col 35: Mean=0.0040, Std=2.3726, Min=-5.0994, Max=7.7341, RMS=2.3726
  Col 36: Mean=0.0065, Std=1.8956, Min=-7.8773, Max=3.8336, RMS=1.8956
  Col 37: Mean=0.0085, Std=1.0680, Min=-2.3040, Max=4.0507, RMS=1.0681
  Col 38: Mean=-0.0017, Std=2.6728, Min=-5.9226, Max=7.6336, RMS=2.6728
  Col 39: Mean=0.0100, Std=1.9137, Min=-6.3329, Max=4.4917, RMS=1.9137
  Col 40: Mean=0.0048, Std=0.7841, Min=-1.9297, Max=2.4672, RMS=0.7841
  Col 41: Mean=-0.0079, Std=2.5897, Min=-5.6759, Max=8.5114, RMS=2.5897
  Col 42: Mean=0.0110, Std=2.3196, Min=-6.9638, Max=6.2205, RMS=2.3197
  Col 43: Mean=0.0042, Std=0.9300, Min=-2.3860, Max=3.4113, RMS=0.9300
  Col 44: Mean=-0.0144, Std=2.6529, Min=-6.4823, Max=9.0954, RMS=2.6530
  Col 45: Mean=0.0267, Std=4.8659, Min=-10.1902, Max=21.5130, RMS=4.8660
  Col 46: Mean=-0.0043, Std=2.5097, Min=-9.3253, Max=9.3031, RMS=2.5097
  Col 47: Mean=-0.0173, Std=5.1942, Min=-12.7363, Max=26.1115, RMS=5.1942
  Col 48: Mean=0.0814, Std=5.4280, Min=-24.9152, Max=16.4657, RMS=5.4286
  Col 49: Mean=-0.0389, Std=3.5015, Min=-21.1197, Max=16.3284, RMS=3.5017
  Col 50: Mean=-0.1224, Std=5.0669, Min=-11.3834, Max=25.7565, RMS=5.0684
  Col 51: Mean=0.3373, Std=7.7884, Min=-46.0079, Max=27.2306, RMS=7.7957
  Col 52: Mean=-0.0097, Std=4.9196, Min=-50.5393, Max=37.8369, RMS=4.9196
  Col 53: Mean=-0.1612, Std=9.5647, Min=-26.4559, Max=69.0255, RMS=9.5660
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0505, Std=5.1214, Min=-14.6641, Max=22.4580, RMS=5.1216
  Col 58: Mean=0.0107, Std=2.2864, Min=-7.9669, Max=12.3112, RMS=2.2865
  Col 59: Mean=-0.1829, Std=5.5860, Min=-14.5128, Max=25.1338, RMS=5.5890
  Col 60: Mean=0.0983, Std=5.5435, Min=-26.4140, Max=17.4562, RMS=5.5444
  Col 61: Mean=0.0385, Std=4.4650, Min=-16.5074, Max=40.6848, RMS=4.4651
  Col 62: Mean=-0.0862, Std=5.5446, Min=-13.5046, Max=36.6558, RMS=5.5453
  Col 63: Mean=0.2694, Std=8.9141, Min=-56.0872, Max=20.1075, RMS=8.9182
  Col 64: Mean=-0.0091, Std=3.7734, Min=-20.4975, Max=41.0750, RMS=3.7734
  Col 65: Mean=-0.1522, Std=8.8326, Min=-18.8264, Max=61.5791, RMS=8.8339
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
