--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Andrea/imu/walk/Run_5
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0120, Std=2.0377, Min=-5.5504, Max=5.5282, RMS=2.0378
  Col 1: Mean=0.0094, Std=1.6629, Min=-4.9588, Max=7.1441, RMS=1.6629
  Col 2: Mean=0.0072, Std=2.9358, Min=-4.7309, Max=8.8114, RMS=2.9359
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0009, Std=1.0859, Min=-2.4109, Max=2.6160, RMS=1.0859
  Col 13: Mean=0.0084, Std=0.8911, Min=-2.3716, Max=2.7065, RMS=0.8912
  Col 14: Mean=0.0032, Std=2.7649, Min=-4.8922, Max=7.1714, RMS=2.7649
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0057, Std=0.6843, Min=-2.3931, Max=1.9374, RMS=0.6843
  Col 19: Mean=0.0049, Std=1.0218, Min=-2.6796, Max=2.1665, RMS=1.0218
  Col 20: Mean=0.0038, Std=2.8223, Min=-5.2286, Max=8.7333, RMS=2.8223
  Col 21: Mean=-0.0022, Std=1.0475, Min=-2.7507, Max=3.8170, RMS=1.0475
  Col 22: Mean=0.0079, Std=0.8413, Min=-2.1466, Max=2.6187, RMS=0.8413
  Col 23: Mean=0.0031, Std=2.6352, Min=-4.7902, Max=8.4179, RMS=2.6352
  Col 24: Mean=0.0007, Std=2.0656, Min=-4.2875, Max=7.9827, RMS=2.0656
  Col 25: Mean=0.0254, Std=1.1919, Min=-3.2073, Max=4.5012, RMS=1.1921
  Col 26: Mean=-0.0027, Std=2.7377, Min=-4.7696, Max=6.9237, RMS=2.7377
  Col 27: Mean=-0.0245, Std=2.5401, Min=-4.9946, Max=5.6850, RMS=2.5402
  Col 28: Mean=0.0032, Std=0.9639, Min=-2.6710, Max=3.3214, RMS=0.9639
  Col 29: Mean=0.0029, Std=2.5076, Min=-3.9647, Max=6.9728, RMS=2.5076
  Col 30: Mean=-0.0561, Std=3.5713, Min=-8.2146, Max=8.4671, RMS=3.5717
  Col 31: Mean=-0.0014, Std=1.1532, Min=-2.9127, Max=3.1375, RMS=1.1532
  Col 32: Mean=-0.0080, Std=2.8688, Min=-4.5089, Max=6.9502, RMS=2.8688
  Col 33: Mean=-0.0030, Std=1.1108, Min=-2.7926, Max=4.7120, RMS=1.1108
  Col 34: Mean=0.0043, Std=0.8812, Min=-2.7767, Max=2.2091, RMS=0.8812
  Col 35: Mean=0.0024, Std=2.6343, Min=-4.4710, Max=7.8472, RMS=2.6343
  Col 36: Mean=0.0042, Std=1.8508, Min=-3.9244, Max=8.4929, RMS=1.8508
  Col 37: Mean=-0.0045, Std=1.0893, Min=-4.5950, Max=2.6464, RMS=1.0893
  Col 38: Mean=-0.0025, Std=2.7774, Min=-4.7716, Max=6.8849, RMS=2.7774
  Col 39: Mean=-0.0123, Std=2.6135, Min=-5.8500, Max=5.9866, RMS=2.6135
  Col 40: Mean=0.0099, Std=0.9754, Min=-2.6234, Max=3.3988, RMS=0.9755
  Col 41: Mean=-0.0019, Std=2.4515, Min=-4.2361, Max=7.3512, RMS=2.4515
  Col 42: Mean=0.0483, Std=3.3118, Min=-8.1683, Max=8.2229, RMS=3.3121
  Col 43: Mean=0.0077, Std=1.2769, Min=-3.1339, Max=3.9734, RMS=1.2770
  Col 44: Mean=-0.2800, Std=3.0015, Min=-8.5489, Max=7.2876, RMS=3.0145
  Col 45: Mean=-0.0180, Std=7.0794, Min=-19.9633, Max=17.2418, RMS=7.0794
  Col 46: Mean=0.0152, Std=3.7120, Min=-16.6358, Max=10.2370, RMS=3.7120
  Col 47: Mean=-0.0084, Std=6.2284, Min=-30.2736, Max=20.4759, RMS=6.2284
  Col 48: Mean=-0.0483, Std=6.4862, Min=-17.3611, Max=14.0462, RMS=6.4864
  Col 49: Mean=0.0309, Std=4.2765, Min=-17.1100, Max=23.7178, RMS=4.2766
  Col 50: Mean=-0.1740, Std=4.0380, Min=-11.9096, Max=28.3998, RMS=4.0418
  Col 51: Mean=-0.0704, Std=12.8166, Min=-41.0021, Max=35.0076, RMS=12.8168
  Col 52: Mean=0.0015, Std=4.0014, Min=-15.1311, Max=17.6954, RMS=4.0014
  Col 53: Mean=-0.2594, Std=8.6586, Min=-36.2610, Max=24.8658, RMS=8.6625
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0252, Std=7.0258, Min=-17.7167, Max=27.4997, RMS=7.0258
  Col 58: Mean=0.0096, Std=3.9260, Min=-19.5663, Max=17.9001, RMS=3.9260
  Col 59: Mean=0.0014, Std=5.8314, Min=-18.1799, Max=31.7030, RMS=5.8314
  Col 60: Mean=-0.0384, Std=7.4379, Min=-27.2078, Max=27.7904, RMS=7.4380
  Col 61: Mean=-0.0418, Std=3.2537, Min=-20.3915, Max=10.3295, RMS=3.2540
  Col 62: Mean=-0.1631, Std=4.4651, Min=-12.8613, Max=33.4106, RMS=4.4681
  Col 63: Mean=-0.0900, Std=13.3654, Min=-44.6148, Max=36.5518, RMS=13.3657
