--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Artur/imu/slope_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0143, Std=1.7198, Min=-7.9542, Max=11.8733, RMS=1.7199
  Col 1: Mean=-0.0027, Std=1.9671, Min=-14.4622, Max=7.9189, RMS=1.9671
  Col 2: Mean=0.0157, Std=2.8921, Min=-6.3397, Max=15.5517, RMS=2.8921
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0067, Std=1.0028, Min=-3.0266, Max=3.5634, RMS=1.0028
  Col 13: Mean=-0.0036, Std=0.9610, Min=-3.8948, Max=2.4691, RMS=0.9610
  Col 14: Mean=0.0125, Std=2.5393, Min=-4.6950, Max=10.0221, RMS=2.5393
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0052, Std=1.2557, Min=-3.7007, Max=4.2361, RMS=1.2557
  Col 19: Mean=0.0000, Std=1.3371, Min=-5.9740, Max=3.6091, RMS=1.3371
  Col 20: Mean=0.0091, Std=2.3895, Min=-5.1705, Max=7.1778, RMS=2.3896
  Col 21: Mean=0.0052, Std=1.0280, Min=-3.5556, Max=3.6512, RMS=1.0280
  Col 22: Mean=-0.0024, Std=1.1860, Min=-4.4591, Max=3.9665, RMS=1.1861
  Col 23: Mean=0.0083, Std=2.6874, Min=-4.9155, Max=11.8895, RMS=2.6875
  Col 24: Mean=0.0106, Std=1.3186, Min=-3.8484, Max=6.7287, RMS=1.3187
  Col 25: Mean=0.0013, Std=1.4129, Min=-5.8579, Max=4.4163, RMS=1.4129
  Col 26: Mean=0.0058, Std=2.7455, Min=-5.4429, Max=13.4180, RMS=2.7455
  Col 27: Mean=-0.0117, Std=1.0539, Min=-3.4652, Max=2.7037, RMS=1.0540
  Col 28: Mean=0.0071, Std=1.1086, Min=-3.4139, Max=3.1337, RMS=1.1086
  Col 29: Mean=0.0070, Std=2.7881, Min=-5.4327, Max=12.3338, RMS=2.7881
  Col 30: Mean=-0.0262, Std=1.1016, Min=-3.8594, Max=2.9764, RMS=1.1019
  Col 31: Mean=0.0156, Std=1.4053, Min=-5.0474, Max=4.8860, RMS=1.4054
  Col 32: Mean=0.0049, Std=2.6970, Min=-5.8146, Max=12.3046, RMS=2.6970
  Col 33: Mean=0.0073, Std=1.2126, Min=-4.7867, Max=3.5930, RMS=1.2126
  Col 34: Mean=-0.0043, Std=0.9432, Min=-3.4649, Max=2.7924, RMS=0.9432
  Col 35: Mean=0.0053, Std=2.7886, Min=-5.0761, Max=15.0352, RMS=2.7886
  Col 36: Mean=-0.0019, Std=1.3902, Min=-4.3773, Max=4.0509, RMS=1.3902
  Col 37: Mean=-0.0054, Std=1.5347, Min=-10.2290, Max=3.9460, RMS=1.5347
  Col 38: Mean=0.0054, Std=2.9284, Min=-5.6442, Max=12.0202, RMS=2.9284
  Col 39: Mean=-0.0226, Std=1.8374, Min=-4.5287, Max=4.6987, RMS=1.8375
  Col 40: Mean=0.0704, Std=2.1838, Min=-4.4577, Max=5.5010, RMS=2.1850
  Col 41: Mean=0.0270, Std=3.5154, Min=-7.9725, Max=14.8849, RMS=3.5155
  Col 42: Mean=-0.0370, Std=2.1637, Min=-5.3135, Max=4.8756, RMS=2.1640
  Col 43: Mean=0.1001, Std=2.8380, Min=-6.8374, Max=5.9852, RMS=2.8398
  Col 44: Mean=0.0203, Std=3.7599, Min=-8.6398, Max=18.5014, RMS=3.7600
  Col 45: Mean=0.0316, Std=3.2857, Min=-8.5207, Max=19.4904, RMS=3.2859
  Col 46: Mean=-0.0045, Std=3.5812, Min=-17.3844, Max=12.8826, RMS=3.5812
  Col 47: Mean=-0.0057, Std=4.0467, Min=-9.1709, Max=29.9586, RMS=4.0467
  Col 48: Mean=0.0256, Std=3.9257, Min=-16.0798, Max=15.4182, RMS=3.9258
  Col 49: Mean=0.0565, Std=5.0024, Min=-24.5159, Max=20.4835, RMS=5.0028
  Col 50: Mean=-0.0895, Std=3.7345, Min=-12.1465, Max=26.4043, RMS=3.7356
  Col 51: Mean=-0.0040, Std=6.3490, Min=-26.3123, Max=31.6993, RMS=6.3490
  Col 52: Mean=0.0796, Std=7.3742, Min=-24.5944, Max=33.4633, RMS=7.3746
  Col 53: Mean=-0.1637, Std=5.3174, Min=-28.6057, Max=21.4664, RMS=5.3199
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0067, Std=2.8354, Min=-12.8341, Max=17.9075, RMS=2.8354
  Col 58: Mean=-0.0158, Std=3.5102, Min=-12.5688, Max=12.0424, RMS=3.5103
  Col 59: Mean=0.0036, Std=3.9924, Min=-16.3277, Max=28.7130, RMS=3.9924
  Col 60: Mean=-0.0444, Std=4.8246, Min=-22.5159, Max=25.6587, RMS=4.8248
