--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Artur/imu/slope_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0052, Std=1.3675, Min=-6.8107, Max=4.9045, RMS=1.3675
  Col 1: Mean=-0.0049, Std=1.5651, Min=-4.6844, Max=7.6660, RMS=1.5651
  Col 2: Mean=0.0010, Std=2.2112, Min=-5.1435, Max=10.5184, RMS=2.2112
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0059, Std=0.8135, Min=-3.3023, Max=2.1825, RMS=0.8135
  Col 13: Mean=-0.0016, Std=1.0913, Min=-2.6542, Max=3.5483, RMS=1.0913
  Col 14: Mean=-0.0118, Std=1.8004, Min=-3.0619, Max=7.1200, RMS=1.8004
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0135, Std=1.0850, Min=-4.5483, Max=3.4454, RMS=1.0851
  Col 19: Mean=-0.0108, Std=1.3999, Min=-3.0710, Max=5.6355, RMS=1.4000
  Col 20: Mean=-0.0035, Std=1.7403, Min=-3.2557, Max=7.2651, RMS=1.7403
  Col 21: Mean=-0.0033, Std=0.9069, Min=-4.0560, Max=2.9881, RMS=0.9069
  Col 22: Mean=-0.0031, Std=1.2197, Min=-3.4241, Max=3.7928, RMS=1.2197
  Col 23: Mean=-0.0111, Std=1.8376, Min=-3.9348, Max=6.8515, RMS=1.8376
  Col 24: Mean=-0.0179, Std=0.9464, Min=-3.8339, Max=2.1950, RMS=0.9465
  Col 25: Mean=-0.0020, Std=1.4653, Min=-4.0159, Max=4.3713, RMS=1.4653
  Col 26: Mean=-0.0109, Std=1.8020, Min=-4.3021, Max=6.8655, RMS=1.8020
  Col 27: Mean=0.0323, Std=1.4181, Min=-2.9346, Max=4.3119, RMS=1.4185
  Col 28: Mean=-0.0269, Std=1.8590, Min=-5.1157, Max=5.1858, RMS=1.8592
