--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Artur/imu/slope_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0116, Std=1.6193, Min=-6.4822, Max=4.5667, RMS=1.6193
  Col 1: Mean=-0.0186, Std=1.9420, Min=-5.3857, Max=8.9894, RMS=1.9420
  Col 2: Mean=0.0013, Std=2.4823, Min=-5.8930, Max=10.4653, RMS=2.4823
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0186, Std=1.0629, Min=-3.6958, Max=2.7504, RMS=1.0631
  Col 13: Mean=0.0010, Std=1.0578, Min=-2.7499, Max=3.3883, RMS=1.0578
  Col 14: Mean=-0.0096, Std=2.1526, Min=-5.0464, Max=7.5718, RMS=2.1527
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0224, Std=1.3093, Min=-4.5309, Max=2.9798, RMS=1.3095
  Col 19: Mean=0.0080, Std=1.2883, Min=-3.7897, Max=5.2404, RMS=1.2883
  Col 20: Mean=-0.0142, Std=1.9400, Min=-4.4650, Max=5.9122, RMS=1.9401
  Col 21: Mean=0.0235, Std=1.0661, Min=-3.8392, Max=2.8415, RMS=1.0664
  Col 22: Mean=0.0056, Std=1.3113, Min=-3.5263, Max=5.7226, RMS=1.3113
  Col 23: Mean=-0.0120, Std=2.0065, Min=-5.0751, Max=7.0061, RMS=2.0065
  Col 24: Mean=0.0139, Std=1.0595, Min=-3.6790, Max=3.2883, RMS=1.0596
  Col 25: Mean=-0.0023, Std=1.4709, Min=-3.6240, Max=5.4047, RMS=1.4709
  Col 26: Mean=-0.0127, Std=2.2088, Min=-5.6000, Max=7.5839, RMS=2.2089
  Col 27: Mean=0.0281, Std=1.0029, Min=-2.7004, Max=3.3336, RMS=1.0033
  Col 28: Mean=-0.0090, Std=1.2931, Min=-3.3726, Max=2.9258, RMS=1.2931
  Col 29: Mean=-0.0108, Std=2.1868, Min=-5.0051, Max=6.9401, RMS=2.1868
  Col 30: Mean=0.0367, Std=1.0753, Min=-2.9967, Max=3.3467, RMS=1.0759
  Col 31: Mean=-0.0157, Std=1.5992, Min=-4.4128, Max=4.3947, RMS=1.5992
  Col 32: Mean=-0.0170, Std=2.1823, Min=-4.9306, Max=7.3126, RMS=2.1824
  Col 33: Mean=0.0233, Std=1.1995, Min=-4.0873, Max=3.3155, RMS=1.1998
  Col 34: Mean=0.0008, Std=1.0783, Min=-3.3649, Max=3.6034, RMS=1.0783
  Col 35: Mean=-0.0126, Std=2.1032, Min=-5.3681, Max=7.9010, RMS=2.1033
  Col 36: Mean=0.0320, Std=1.2956, Min=-3.4002, Max=3.3843, RMS=1.2960
  Col 37: Mean=0.0083, Std=1.4329, Min=-2.9071, Max=5.0138, RMS=1.4329
  Col 38: Mean=-0.1327, Std=2.3655, Min=-8.8236, Max=7.7131, RMS=2.3692
  Col 39: Mean=-0.0030, Std=1.7854, Min=-8.7374, Max=4.2543, RMS=1.7854
  Col 40: Mean=0.0315, Std=3.2024, Min=-13.3755, Max=30.2679, RMS=3.2025
  Col 41: Mean=-0.1282, Std=2.4134, Min=-8.8043, Max=7.2056, RMS=2.4168
  Col 42: Mean=0.0240, Std=2.2547, Min=-8.1128, Max=8.2003, RMS=2.2548
  Col 43: Mean=-0.0081, Std=3.6733, Min=-10.7447, Max=18.5055, RMS=3.6733
  Col 44: Mean=-0.0318, Std=2.3443, Min=-6.9044, Max=7.5754, RMS=2.3445
  Col 45: Mean=-0.0017, Std=3.9785, Min=-26.4717, Max=24.7661, RMS=3.9785
  Col 46: Mean=-0.0246, Std=3.3700, Min=-12.5575, Max=14.7261, RMS=3.3701
  Col 47: Mean=-0.0100, Std=3.2246, Min=-8.8177, Max=13.9659, RMS=3.2246
  Col 48: Mean=0.0015, Std=3.8068, Min=-13.3111, Max=13.9224, RMS=3.8068
  Col 49: Mean=-0.0609, Std=4.9385, Min=-18.9343, Max=16.2545, RMS=4.9389
  Col 50: Mean=-0.1254, Std=3.0425, Min=-9.5368, Max=20.9118, RMS=3.0451
  Col 51: Mean=-0.0077, Std=7.4307, Min=-33.1521, Max=41.7215, RMS=7.4307
  Col 52: Mean=-0.0931, Std=8.3616, Min=-33.3080, Max=30.5637, RMS=8.3621
  Col 53: Mean=-0.2039, Std=6.3780, Min=-31.0068, Max=46.5255, RMS=6.3812
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0043, Std=3.9023, Min=-55.2908, Max=21.9642, RMS=3.9023
