--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Artur/imu/stairs_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0090, Std=2.2772, Min=-7.2744, Max=15.2492, RMS=2.2772
  Col 1: Mean=0.0048, Std=1.8575, Min=-15.4704, Max=10.4543, RMS=1.8575
  Col 2: Mean=0.0007, Std=5.5376, Min=-11.2258, Max=21.5906, RMS=5.5376
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0287, Std=1.2536, Min=-3.8640, Max=4.4614, RMS=1.2540
  Col 13: Mean=0.0014, Std=0.8391, Min=-2.6306, Max=3.1081, RMS=0.8391
  Col 14: Mean=0.0064, Std=4.7959, Min=-8.2242, Max=18.2669, RMS=4.7959
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0331, Std=1.7270, Min=-5.8516, Max=5.2927, RMS=1.7274
  Col 19: Mean=-0.0072, Std=0.8956, Min=-2.4485, Max=4.1564, RMS=0.8956
  Col 20: Mean=-0.0077, Std=4.5416, Min=-8.9205, Max=12.0266, RMS=4.5416
  Col 21: Mean=-0.0343, Std=1.4322, Min=-3.5831, Max=4.3862, RMS=1.4326
  Col 22: Mean=-0.0002, Std=1.1601, Min=-4.9527, Max=3.6613, RMS=1.1601
  Col 23: Mean=0.0063, Std=5.0763, Min=-9.1925, Max=21.7552, RMS=5.0763
  Col 24: Mean=-0.0187, Std=1.9907, Min=-4.7257, Max=6.0708, RMS=1.9908
  Col 25: Mean=0.0221, Std=1.1447, Min=-8.8083, Max=5.3887, RMS=1.1449
  Col 26: Mean=-0.0020, Std=5.0789, Min=-8.1158, Max=22.9612, RMS=5.0789
  Col 27: Mean=-0.0428, Std=2.2592, Min=-5.6797, Max=8.2016, RMS=2.2596
  Col 28: Mean=-0.0161, Std=1.0149, Min=-3.7994, Max=3.1621, RMS=1.0150
  Col 29: Mean=0.0036, Std=4.7652, Min=-7.3507, Max=16.5645, RMS=4.7653
  Col 30: Mean=-0.0555, Std=2.7566, Min=-6.7127, Max=9.9221, RMS=2.7571
  Col 31: Mean=-0.0401, Std=1.3554, Min=-6.0830, Max=3.1217, RMS=1.3560
  Col 32: Mean=-0.0093, Std=4.5138, Min=-7.5829, Max=16.4385, RMS=4.5138
