--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Artur/imu/stairs_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0047, Std=1.8046, Min=-7.9617, Max=5.5050, RMS=1.8046
  Col 1: Mean=-0.0112, Std=1.5411, Min=-6.0170, Max=5.4971, RMS=1.5411
  Col 2: Mean=0.0023, Std=2.0444, Min=-4.6447, Max=7.8569, RMS=2.0444
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0210, Std=1.2104, Min=-4.4338, Max=3.9897, RMS=1.2106
  Col 13: Mean=-0.0340, Std=1.0444, Min=-3.6370, Max=2.2295, RMS=1.0449
  Col 14: Mean=0.0126, Std=2.1252, Min=-4.7599, Max=4.4231, RMS=2.1252
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0294, Std=1.1931, Min=-5.6731, Max=2.5393, RMS=1.1935
  Col 19: Mean=-0.0387, Std=1.3376, Min=-4.0063, Max=3.5123, RMS=1.3381
  Col 20: Mean=0.0075, Std=1.9542, Min=-4.1326, Max=5.4059, RMS=1.9542
  Col 21: Mean=-0.0217, Std=1.3199, Min=-4.3229, Max=3.9595, RMS=1.3201
  Col 22: Mean=-0.0271, Std=1.2248, Min=-3.0963, Max=3.3839, RMS=1.2251
