--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Artur/imu/stairs_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0068, Std=2.0643, Min=-7.0947, Max=5.9772, RMS=2.0643
  Col 1: Mean=0.0124, Std=1.7466, Min=-8.1408, Max=6.6072, RMS=1.7466
  Col 2: Mean=0.0033, Std=2.4143, Min=-10.2168, Max=13.4907, RMS=2.4143
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0125, Std=1.7494, Min=-10.9096, Max=8.2347, RMS=1.7494
  Col 13: Mean=0.0093, Std=1.1523, Min=-3.2809, Max=2.7865, RMS=1.1523
  Col 14: Mean=0.0040, Std=2.2317, Min=-5.3420, Max=10.2743, RMS=2.2317
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0259, Std=1.6701, Min=-10.0587, Max=5.4362, RMS=1.6703
  Col 19: Mean=0.0094, Std=1.6303, Min=-5.7931, Max=4.8003, RMS=1.6303
  Col 20: Mean=-0.0333, Std=2.1180, Min=-8.8399, Max=10.8733, RMS=2.1183
  Col 21: Mean=0.0196, Std=1.8171, Min=-8.5411, Max=8.1275, RMS=1.8172
  Col 22: Mean=0.0093, Std=1.3304, Min=-3.3134, Max=3.4757, RMS=1.3304
  Col 23: Mean=0.0055, Std=2.1361, Min=-4.3493, Max=10.9950, RMS=2.1361
  Col 24: Mean=0.0124, Std=2.2225, Min=-6.6326, Max=6.7044, RMS=2.2225
  Col 25: Mean=0.0006, Std=1.0419, Min=-4.0494, Max=3.8826, RMS=1.0419
  Col 26: Mean=0.0014, Std=2.0735, Min=-4.7823, Max=9.9062, RMS=2.0735
