--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Artur/imu/walk/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0067, Std=2.3242, Min=-6.4405, Max=7.8377, RMS=2.3242
  Col 1: Mean=-0.0009, Std=1.7485, Min=-6.6079, Max=6.9181, RMS=1.7485
  Col 2: Mean=-0.6294, Std=3.9513, Min=-9.2799, Max=10.4116, RMS=4.0011
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0030, Std=1.2797, Min=-2.6174, Max=3.3262, RMS=1.2797
  Col 13: Mean=0.0005, Std=1.0217, Min=-3.3593, Max=3.2286, RMS=1.0217
  Col 14: Mean=0.0018, Std=3.3990, Min=-8.0176, Max=6.4007, RMS=3.3990
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0093, Std=0.7769, Min=-3.3698, Max=2.6226, RMS=0.7769
  Col 19: Mean=0.0004, Std=1.8987, Min=-6.7764, Max=6.3908, RMS=1.8987
  Col 20: Mean=-0.0015, Std=2.9779, Min=-6.7055, Max=7.2364, RMS=2.9779
  Col 21: Mean=0.0060, Std=1.2959, Min=-3.1605, Max=4.4646, RMS=1.2959
  Col 22: Mean=-0.0008, Std=1.1646, Min=-3.8779, Max=3.4247, RMS=1.1646
  Col 23: Mean=-0.0014, Std=3.3026, Min=-7.7444, Max=7.9718, RMS=3.3026
  Col 24: Mean=0.0204, Std=2.1267, Min=-6.2511, Max=7.7967, RMS=2.1268
  Col 25: Mean=0.0075, Std=1.1386, Min=-3.3647, Max=2.4283, RMS=1.1386
  Col 26: Mean=-0.0165, Std=2.9799, Min=-7.7144, Max=8.0432, RMS=2.9800
  Col 27: Mean=0.0068, Std=5.3525, Min=-13.8717, Max=10.1363, RMS=5.3525
  Col 28: Mean=0.0099, Std=0.9598, Min=-2.4904, Max=3.4402, RMS=0.9598
  Col 29: Mean=-0.0243, Std=3.3103, Min=-7.8658, Max=10.0885, RMS=3.3104
  Col 30: Mean=-0.0124, Std=7.2686, Min=-17.3374, Max=13.4983, RMS=7.2686
  Col 31: Mean=0.0007, Std=1.3389, Min=-4.0124, Max=5.0312, RMS=1.3389
  Col 32: Mean=-0.0354, Std=4.5052, Min=-12.8531, Max=12.2370, RMS=4.5054
  Col 33: Mean=0.0051, Std=1.3231, Min=-2.7260, Max=4.1738, RMS=1.3231
  Col 34: Mean=-0.0031, Std=1.1673, Min=-3.6554, Max=4.7633, RMS=1.1673
  Col 35: Mean=0.0034, Std=3.3827, Min=-8.5038, Max=7.5704, RMS=3.3827
  Col 36: Mean=0.0142, Std=2.7221, Min=-8.5573, Max=6.8491, RMS=2.7221
