--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Artur/imu/walk/Run_6
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0803, Std=2.3217, Min=-6.3379, Max=6.6724, RMS=2.3231
  Col 1: Mean=0.0537, Std=1.6588, Min=-5.7608, Max=7.6842, RMS=1.6596
  Col 2: Mean=-0.6293, Std=3.8634, Min=-9.3023, Max=7.7404, RMS=3.9143
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0071, Std=1.2418, Min=-2.8211, Max=3.4291, RMS=1.2418
  Col 13: Mean=0.0060, Std=0.9249, Min=-2.4115, Max=2.9020, RMS=0.9249
  Col 14: Mean=-0.0003, Std=3.3017, Min=-7.9480, Max=6.4293, RMS=3.3017
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0043, Std=0.7494, Min=-2.3039, Max=2.2499, RMS=0.7495
  Col 19: Mean=0.0066, Std=1.5225, Min=-5.6060, Max=6.8770, RMS=1.5225
  Col 20: Mean=-0.0040, Std=2.9186, Min=-7.3351, Max=6.2250, RMS=2.9186
