--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Camilla/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0351, Std=1.6875, Min=-4.9206, Max=7.6859, RMS=1.6878
  Col 1: Mean=-0.0061, Std=1.3825, Min=-7.6418, Max=4.2666, RMS=1.3825
  Col 2: Mean=-0.3067, Std=2.3551, Min=-9.1053, Max=4.7627, RMS=2.3750
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0018, Std=1.0217, Min=-1.9387, Max=3.7533, RMS=1.0217
  Col 13: Mean=0.0021, Std=0.6809, Min=-1.8189, Max=2.0095, RMS=0.6809
  Col 14: Mean=0.0129, Std=1.6519, Min=-4.5698, Max=4.9849, RMS=1.6520
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0003, Std=0.6812, Min=-1.2841, Max=2.3890, RMS=0.6812
  Col 19: Mean=-0.0005, Std=0.4483, Min=-1.3589, Max=1.7995, RMS=0.4483
  Col 20: Mean=0.0065, Std=1.4595, Min=-3.7235, Max=6.5416, RMS=1.4595
  Col 21: Mean=0.0029, Std=1.0590, Min=-2.2909, Max=3.5409, RMS=1.0590
  Col 22: Mean=0.0013, Std=0.7925, Min=-2.6948, Max=2.8330, RMS=0.7925
  Col 23: Mean=0.0137, Std=1.8556, Min=-4.3014, Max=10.2951, RMS=1.8556
  Col 24: Mean=-0.0011, Std=1.8338, Min=-4.1938, Max=8.6871, RMS=1.8338
  Col 25: Mean=0.0118, Std=0.6845, Min=-2.0185, Max=2.1255, RMS=0.6846
  Col 26: Mean=0.0023, Std=1.6625, Min=-4.4964, Max=6.1801, RMS=1.6625
  Col 27: Mean=-0.0170, Std=2.0676, Min=-5.6464, Max=4.4350, RMS=2.0676
  Col 28: Mean=-0.0032, Std=0.7303, Min=-1.8611, Max=2.3085, RMS=0.7303
  Col 29: Mean=-0.0001, Std=1.4972, Min=-3.9199, Max=5.3964, RMS=1.4972
  Col 30: Mean=-0.0323, Std=2.6958, Min=-8.2506, Max=5.8285, RMS=2.6960
  Col 31: Mean=-0.0080, Std=0.9543, Min=-3.0140, Max=2.7929, RMS=0.9543
  Col 32: Mean=-0.0072, Std=1.5967, Min=-4.4878, Max=5.7102, RMS=1.5967
  Col 33: Mean=0.0014, Std=1.0098, Min=-2.0140, Max=3.8963, RMS=1.0098
  Col 34: Mean=0.0006, Std=0.7942, Min=-4.2580, Max=3.2492, RMS=0.7942
  Col 35: Mean=0.0149, Std=1.8506, Min=-4.2280, Max=10.3300, RMS=1.8507
  Col 36: Mean=0.0028, Std=1.9820, Min=-4.9736, Max=9.3477, RMS=1.9820
  Col 37: Mean=-0.0094, Std=0.8209, Min=-4.1557, Max=2.4731, RMS=0.8210
  Col 38: Mean=-0.0009, Std=1.7521, Min=-4.5725, Max=6.8857, RMS=1.7521
  Col 39: Mean=0.0030, Std=2.6980, Min=-6.1310, Max=5.8725, RMS=2.6980
  Col 40: Mean=-0.0018, Std=0.8431, Min=-3.9283, Max=1.9405, RMS=0.8431
  Col 41: Mean=-0.0016, Std=1.8524, Min=-5.0440, Max=5.6265, RMS=1.8524
  Col 42: Mean=0.1094, Std=3.5305, Min=-9.0273, Max=9.0357, RMS=3.5322
  Col 43: Mean=-0.0090, Std=0.9175, Min=-3.8246, Max=2.0203, RMS=0.9175
  Col 44: Mean=-0.3734, Std=2.7036, Min=-8.8622, Max=6.3221, RMS=2.7292
  Col 45: Mean=0.0054, Std=3.3080, Min=-11.1205, Max=11.6509, RMS=3.3080
  Col 46: Mean=-0.0068, Std=2.5729, Min=-7.8450, Max=11.1095, RMS=2.5729
  Col 47: Mean=-0.0074, Std=5.1276, Min=-15.5068, Max=41.0213, RMS=5.1276
  Col 48: Mean=-0.0378, Std=5.1060, Min=-15.4829, Max=13.8889, RMS=5.1061
  Col 49: Mean=0.0097, Std=2.9694, Min=-12.5390, Max=13.5218, RMS=2.9694
  Col 50: Mean=-0.1010, Std=3.0106, Min=-9.4493, Max=19.4655, RMS=3.0123
  Col 51: Mean=-0.0466, Std=8.6882, Min=-30.9482, Max=34.6900, RMS=8.6883
  Col 52: Mean=0.0367, Std=4.7002, Min=-23.9032, Max=41.1297, RMS=4.7003
  Col 53: Mean=-0.1971, Std=5.2599, Min=-24.8434, Max=15.4935, RMS=5.2636
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0137, Std=3.3024, Min=-10.3447, Max=15.0627, RMS=3.3025
  Col 58: Mean=0.0054, Std=2.8152, Min=-12.4493, Max=12.4401, RMS=2.8152
  Col 59: Mean=0.0058, Std=5.0037, Min=-13.6448, Max=28.3559, RMS=5.0037
  Col 60: Mean=-0.0393, Std=4.8470, Min=-16.8231, Max=11.7995, RMS=4.8472
  Col 61: Mean=-0.0131, Std=2.9577, Min=-13.0388, Max=14.4133, RMS=2.9577
  Col 62: Mean=-0.0896, Std=2.9974, Min=-8.7248, Max=14.9847, RMS=2.9987
  Col 63: Mean=-0.0465, Std=7.9869, Min=-30.7263, Max=34.3097, RMS=7.9870
  Col 64: Mean=-0.0301, Std=3.7721, Min=-23.3664, Max=17.9512, RMS=3.7722
  Col 65: Mean=-0.1578, Std=5.4580, Min=-26.1510, Max=18.3077, RMS=5.4602
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-12.5145, Std=35.9470, Min=-179.8208, Max=1.1695, RMS=38.0632
  Col 1: Mean=-55.6220, Std=11.1577, Min=-64.6501, Max=-5.1361, RMS=56.7300
  Col 2: Mean=-83.8107, Std=153.1263, Min=-179.9846, Max=179.8905, RMS=174.5621
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=12.0320, Std=3.4836, Min=7.7510, Max=22.8247, RMS=12.5262
  Col 13: Mean=-56.6941, Std=3.4160, Min=-65.6575, Max=-51.1687, RMS=56.7969
  Col 14: Mean=-20.1806, Std=3.8570, Min=-28.0521, Max=-12.2437, RMS=20.5459
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-59.4840, Std=2.9394, Min=-66.7351, Max=-53.9358, RMS=59.5566
  Col 19: Mean=-1.1542, Std=1.8559, Min=-5.4937, Max=3.2222, RMS=2.1855
  Col 20: Mean=75.1622, Std=2.3111, Min=70.2496, Max=79.9090, RMS=75.1977
  Col 21: Mean=68.9883, Std=3.9156, Min=58.4400, Max=75.9405, RMS=69.0993
  Col 22: Mean=3.5097, Std=0.9553, Min=0.7387, Max=5.6101, RMS=3.6374
