--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Camilla/imu/slope_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0035, Std=1.6888, Min=-6.3775, Max=5.3283, RMS=1.6888
  Col 1: Mean=-0.0019, Std=0.9578, Min=-4.7971, Max=4.0342, RMS=0.9578
  Col 2: Mean=-0.0037, Std=1.6630, Min=-3.2780, Max=6.3718, RMS=1.6630
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0034, Std=1.1947, Min=-3.9470, Max=2.3790, RMS=1.1947
  Col 13: Mean=-0.0021, Std=0.7153, Min=-2.1739, Max=3.3194, RMS=0.7153
  Col 14: Mean=-0.0114, Std=1.7757, Min=-3.7321, Max=6.1498, RMS=1.7757
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0018, Std=0.7925, Min=-2.4894, Max=1.6835, RMS=0.7925
  Col 19: Mean=0.0069, Std=0.5211, Min=-2.1073, Max=1.6770, RMS=0.5211
  Col 20: Mean=-0.0059, Std=1.6052, Min=-3.2325, Max=5.7627, RMS=1.6052
  Col 21: Mean=0.0030, Std=1.2734, Min=-4.8030, Max=2.5410, RMS=1.2734
  Col 22: Mean=-0.0022, Std=0.7955, Min=-2.7383, Max=2.7059, RMS=0.7955
  Col 23: Mean=-0.0101, Std=1.7134, Min=-3.7741, Max=7.7390, RMS=1.7134
  Col 24: Mean=0.0041, Std=1.7102, Min=-6.9572, Max=6.8664, RMS=1.7102
  Col 25: Mean=-0.0159, Std=0.6931, Min=-2.4199, Max=2.0535, RMS=0.6932
  Col 26: Mean=-0.0180, Std=1.6618, Min=-3.2110, Max=5.2692, RMS=1.6619
  Col 27: Mean=0.0121, Std=1.8407, Min=-4.8002, Max=5.8992, RMS=1.8408
  Col 28: Mean=-0.0120, Std=0.7613, Min=-2.8914, Max=2.0661, RMS=0.7614
  Col 29: Mean=-0.0224, Std=1.5255, Min=-3.1000, Max=5.2363, RMS=1.5257
  Col 30: Mean=0.0113, Std=2.3550, Min=-5.5197, Max=9.4688, RMS=2.3550
  Col 31: Mean=-0.0239, Std=1.0813, Min=-3.8318, Max=2.8684, RMS=1.0816
  Col 32: Mean=-0.2189, Std=1.8392, Min=-8.7550, Max=5.0271, RMS=1.8521
  Col 33: Mean=0.0025, Std=1.3037, Min=-5.9325, Max=3.0544, RMS=1.3037
  Col 34: Mean=-0.0015, Std=0.7480, Min=-2.9409, Max=2.5740, RMS=0.7480
  Col 35: Mean=-0.0093, Std=1.6842, Min=-4.8322, Max=5.8173, RMS=1.6842
  Col 36: Mean=0.0054, Std=1.8791, Min=-8.9720, Max=4.6027, RMS=1.8791
  Col 37: Mean=0.0074, Std=0.7240, Min=-2.4730, Max=2.3415, RMS=0.7241
  Col 38: Mean=-0.0228, Std=1.7293, Min=-4.3182, Max=5.0951, RMS=1.7294
  Col 39: Mean=0.0207, Std=2.2450, Min=-5.8715, Max=5.7359, RMS=2.2451
  Col 40: Mean=-0.0090, Std=0.8268, Min=-2.0299, Max=2.3370, RMS=0.8268
  Col 41: Mean=-0.0250, Std=1.6053, Min=-3.6947, Max=5.0425, RMS=1.6055
  Col 42: Mean=0.0327, Std=3.0545, Min=-7.6966, Max=7.4526, RMS=3.0547
  Col 43: Mean=-0.0106, Std=1.0076, Min=-2.3093, Max=2.8691, RMS=1.0077
  Col 44: Mean=-0.0405, Std=1.7112, Min=-3.9529, Max=4.9781, RMS=1.7117
  Col 45: Mean=-0.0283, Std=3.0353, Min=-12.1129, Max=9.7953, RMS=3.0354
  Col 46: Mean=-0.0240, Std=1.7619, Min=-5.8968, Max=5.5094, RMS=1.7621
  Col 47: Mean=-0.3612, Std=3.9994, Min=-10.7833, Max=27.6225, RMS=4.0156
  Col 48: Mean=-0.0240, Std=4.6573, Min=-12.6057, Max=16.1067, RMS=4.6574
  Col 49: Mean=0.0107, Std=2.0770, Min=-6.9923, Max=7.8776, RMS=2.0770
  Col 50: Mean=-0.5420, Std=3.6333, Min=-10.5417, Max=23.9168, RMS=3.6735
  Col 51: Mean=0.0544, Std=8.3412, Min=-25.1780, Max=34.3159, RMS=8.3413
  Col 52: Mean=-0.0258, Std=2.8266, Min=-16.0751, Max=17.2823, RMS=2.8268
  Col 53: Mean=-0.1769, Std=4.3594, Min=-22.9454, Max=14.8804, RMS=4.3630
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
