--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Camilla/imu/stairs_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0023, Std=1.2248, Min=-3.4516, Max=5.7235, RMS=1.2248
  Col 1: Mean=-0.0023, Std=1.1559, Min=-3.1104, Max=6.9151, RMS=1.1559
  Col 2: Mean=0.0117, Std=1.8810, Min=-3.8110, Max=9.9231, RMS=1.8811
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0067, Std=0.6638, Min=-1.9281, Max=1.8607, RMS=0.6638
  Col 13: Mean=-0.0115, Std=0.8215, Min=-1.7153, Max=4.9758, RMS=0.8215
  Col 14: Mean=0.0117, Std=1.9546, Min=-3.3340, Max=11.0844, RMS=1.9546
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0031, Std=0.5659, Min=-1.4598, Max=1.7782, RMS=0.5660
  Col 19: Mean=-0.0083, Std=0.7308, Min=-1.7103, Max=2.9143, RMS=0.7309
  Col 20: Mean=0.0030, Std=1.6350, Min=-3.9439, Max=8.6561, RMS=1.6350
  Col 21: Mean=-0.0155, Std=0.8873, Min=-2.3048, Max=3.1187, RMS=0.8874
  Col 22: Mean=-0.0090, Std=0.7833, Min=-1.5749, Max=4.1314, RMS=0.7833
  Col 23: Mean=-0.3898, Std=2.8109, Min=-9.1505, Max=14.5436, RMS=2.8378
  Col 24: Mean=-0.0084, Std=0.9066, Min=-2.4579, Max=3.7771, RMS=0.9067
  Col 25: Mean=-0.0063, Std=1.5155, Min=-3.4942, Max=4.9271, RMS=1.5155
  Col 26: Mean=0.0028, Std=2.0660, Min=-4.2633, Max=11.2452, RMS=2.0660
  Col 27: Mean=0.0037, Std=0.9723, Min=-2.7700, Max=4.5096, RMS=0.9723
  Col 28: Mean=-0.0123, Std=1.1020, Min=-3.1857, Max=3.7070, RMS=1.1020
  Col 29: Mean=-0.0022, Std=2.1137, Min=-3.8567, Max=11.7757, RMS=2.1137
  Col 30: Mean=0.0162, Std=1.3033, Min=-3.9152, Max=5.3304, RMS=1.3034
  Col 31: Mean=-0.0153, Std=1.3347, Min=-3.9216, Max=3.5570, RMS=1.3348
  Col 32: Mean=-0.0148, Std=2.1113, Min=-4.1665, Max=11.6236, RMS=2.1113
  Col 33: Mean=-0.0069, Std=0.8984, Min=-2.9842, Max=3.7746, RMS=0.8985
  Col 34: Mean=-0.0111, Std=0.9121, Min=-1.9026, Max=4.4158, RMS=0.9122
  Col 35: Mean=0.0114, Std=2.0843, Min=-3.8967, Max=14.6074, RMS=2.0844
  Col 36: Mean=-0.0043, Std=1.0327, Min=-2.6802, Max=3.7569, RMS=1.0327
  Col 37: Mean=0.0028, Std=1.6575, Min=-4.3402, Max=5.4336, RMS=1.6575
  Col 38: Mean=-0.0006, Std=2.0987, Min=-3.7137, Max=11.1707, RMS=2.0987
  Col 39: Mean=-0.0131, Std=1.1468, Min=-2.7583, Max=6.3402, RMS=1.1469
  Col 40: Mean=0.0192, Std=1.1726, Min=-3.1883, Max=3.2320, RMS=1.1727
  Col 41: Mean=-0.0058, Std=2.2747, Min=-3.7440, Max=13.1452, RMS=2.2747
  Col 42: Mean=-0.0107, Std=1.4678, Min=-3.3608, Max=5.3689, RMS=1.4678
  Col 43: Mean=0.0359, Std=1.4756, Min=-4.1437, Max=4.4724, RMS=1.4760
  Col 44: Mean=-0.0147, Std=2.1864, Min=-4.0370, Max=11.7370, RMS=2.1865
  Col 45: Mean=-0.0048, Std=2.8327, Min=-12.3499, Max=13.5583, RMS=2.8327
  Col 46: Mean=0.0121, Std=2.3902, Min=-7.3597, Max=11.6931, RMS=2.3902
  Col 47: Mean=-0.0072, Std=4.0109, Min=-8.9870, Max=18.5273, RMS=4.0109
  Col 48: Mean=0.0047, Std=3.0236, Min=-15.6486, Max=15.0698, RMS=3.0236
  Col 49: Mean=-0.0672, Std=4.1056, Min=-15.0812, Max=12.6272, RMS=4.1061
  Col 50: Mean=-0.0857, Std=3.1205, Min=-6.9082, Max=17.6779, RMS=3.1217
  Col 51: Mean=-0.0497, Std=4.1189, Min=-18.3380, Max=21.3268, RMS=4.1192
  Col 52: Mean=-0.0464, Std=6.6628, Min=-29.3501, Max=21.4869, RMS=6.6629
  Col 53: Mean=-0.0409, Std=6.6970, Min=-27.1659, Max=42.1291, RMS=6.6971
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0075, Std=2.7126, Min=-10.9198, Max=10.2213, RMS=2.7126
  Col 58: Mean=0.0115, Std=2.6343, Min=-7.1234, Max=9.5229, RMS=2.6344
  Col 59: Mean=-0.0067, Std=4.0932, Min=-9.6953, Max=17.1724, RMS=4.0932
  Col 60: Mean=-0.0194, Std=2.9152, Min=-15.1654, Max=10.8775, RMS=2.9152
  Col 61: Mean=-0.0690, Std=3.8506, Min=-14.6167, Max=9.2069, RMS=3.8512
  Col 62: Mean=-0.1008, Std=3.3057, Min=-9.2579, Max=12.4898, RMS=3.3072
  Col 63: Mean=0.0547, Std=5.0113, Min=-32.3251, Max=35.9687, RMS=5.0116
  Col 64: Mean=-0.0930, Std=6.7405, Min=-25.4947, Max=26.1620, RMS=6.7412
  Col 65: Mean=-0.0562, Std=7.1451, Min=-23.3069, Max=39.1144, RMS=7.1453
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-9.5967, Std=4.6717, Min=-20.5447, Max=0.1116, RMS=10.6734
  Col 1: Mean=-67.3624, Std=1.7566, Min=-70.7973, Max=-61.9537, RMS=67.3853
  Col 2: Mean=-85.9174, Std=4.9674, Min=-94.7004, Max=-74.5934, RMS=86.0609
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=12.9521, Std=2.0629, Min=7.7255, Max=17.5759, RMS=13.1153
  Col 13: Mean=-53.8586, Std=2.1682, Min=-61.2803, Max=-50.6939, RMS=53.9022
  Col 14: Mean=68.0539, Std=2.7243, Min=62.8925, Max=77.4854, RMS=68.1085
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-81.0032, Std=4.8057, Min=-87.4655, Max=-67.7755, RMS=81.1456
  Col 19: Mean=-5.8098, Std=1.1749, Min=-8.0357, Max=-2.0800, RMS=5.9274
  Col 20: Mean=165.7053, Std=3.2210, Min=160.4866, Max=175.6708, RMS=165.7366
  Col 21: Mean=75.3036, Std=22.5917, Min=61.6526, Max=173.1543, RMS=78.6194
  Col 22: Mean=1.6490, Std=1.2125, Min=-1.3267, Max=4.3066, RMS=2.0468
  Col 23: Mean=32.9599, Std=174.2130, Min=-179.9989, Max=179.9945, RMS=177.3035
  Col 24: Mean=-43.6954, Std=6.4944, Min=-57.8115, Max=-30.9413, RMS=44.1754
  Col 25: Mean=-76.6417, Std=1.5810, Min=-81.9284, Max=-73.3450, RMS=76.6580
  Col 26: Mean=45.5714, Std=6.8688, Min=33.4171, Max=66.1752, RMS=46.0862
  Col 27: Mean=-55.5252, Std=6.8634, Min=-75.0619, Max=-32.0674, RMS=55.9478
  Col 28: Mean=-64.8147, Std=2.8458, Min=-74.4240, Max=-55.0357, RMS=64.8772
  Col 29: Mean=47.0966, Std=7.6724, Min=19.3931, Max=69.3527, RMS=47.7175
  Col 30: Mean=-73.5753, Std=2.5694, Min=-79.8429, Max=-65.1343, RMS=73.6202
