--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Camilla/imu/stairs_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0048, Std=0.9200, Min=-4.6024, Max=3.0341, RMS=0.9200
  Col 1: Mean=-0.0063, Std=1.5071, Min=-5.2114, Max=4.2475, RMS=1.5071
  Col 2: Mean=0.0066, Std=2.9477, Min=-4.2219, Max=9.2074, RMS=2.9477
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0058, Std=1.1535, Min=-3.3637, Max=4.0868, RMS=1.1535
  Col 13: Mean=-0.0045, Std=1.2337, Min=-4.3506, Max=3.0720, RMS=1.2337
  Col 14: Mean=0.0038, Std=2.9513, Min=-4.6136, Max=9.1782, RMS=2.9513
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0057, Std=0.6450, Min=-1.6135, Max=1.8796, RMS=0.6450
  Col 19: Mean=-0.0056, Std=0.8578, Min=-2.8619, Max=2.3132, RMS=0.8578
  Col 20: Mean=-0.0017, Std=2.6998, Min=-4.2456, Max=7.7290, RMS=2.6998
  Col 21: Mean=0.0052, Std=0.9850, Min=-2.8164, Max=2.7302, RMS=0.9850
  Col 22: Mean=-0.0054, Std=1.3953, Min=-4.9105, Max=3.0331, RMS=1.3953
  Col 23: Mean=0.0035, Std=2.8902, Min=-4.8423, Max=8.3121, RMS=2.8902
  Col 24: Mean=0.0119, Std=0.9215, Min=-3.8421, Max=2.9327, RMS=0.9216
  Col 25: Mean=-0.0557, Std=1.6624, Min=-8.5065, Max=4.4113, RMS=1.6634
  Col 26: Mean=-0.4125, Std=3.2026, Min=-8.9332, Max=8.8245, RMS=3.2291
  Col 27: Mean=0.0099, Std=1.0396, Min=-2.6378, Max=3.2837, RMS=1.0397
  Col 28: Mean=-0.0580, Std=2.3782, Min=-7.7207, Max=4.6421, RMS=2.3789
  Col 29: Mean=-0.2633, Std=2.9998, Min=-9.0960, Max=7.9704, RMS=3.0114
  Col 30: Mean=0.0105, Std=1.4701, Min=-3.6589, Max=3.9170, RMS=1.4701
  Col 31: Mean=0.0266, Std=2.9729, Min=-9.9696, Max=5.5031, RMS=2.9730
  Col 32: Mean=-0.0190, Std=2.4548, Min=-4.6153, Max=7.7383, RMS=2.4549
  Col 33: Mean=0.0066, Std=0.9923, Min=-2.8348, Max=2.9533, RMS=0.9923
  Col 34: Mean=-0.0040, Std=1.3549, Min=-4.9735, Max=4.1440, RMS=1.3549
  Col 35: Mean=0.0017, Std=2.8313, Min=-4.2411, Max=8.0834, RMS=2.8313
  Col 36: Mean=-0.0009, Std=1.0714, Min=-2.8428, Max=2.8148, RMS=1.0714
  Col 37: Mean=-0.0067, Std=1.8084, Min=-9.2104, Max=5.8304, RMS=1.8085
  Col 38: Mean=-0.0065, Std=2.8732, Min=-4.4641, Max=9.1091, RMS=2.8733
  Col 39: Mean=0.0052, Std=1.0450, Min=-3.9886, Max=2.7459, RMS=1.0450
  Col 40: Mean=-0.0025, Std=1.9193, Min=-5.6122, Max=4.6830, RMS=1.9193
  Col 41: Mean=-0.0059, Std=2.7222, Min=-4.6423, Max=9.1839, RMS=2.7222
  Col 42: Mean=-0.0024, Std=1.2975, Min=-3.5265, Max=3.5044, RMS=1.2975
  Col 43: Mean=-0.0008, Std=2.4041, Min=-8.2850, Max=5.1366, RMS=2.4041
  Col 44: Mean=-0.0203, Std=2.5133, Min=-4.2474, Max=9.0149, RMS=2.5134
  Col 45: Mean=0.0092, Std=2.1853, Min=-6.6689, Max=6.5868, RMS=2.1854
  Col 46: Mean=0.0059, Std=3.5871, Min=-12.8580, Max=9.4677, RMS=3.5871
  Col 47: Mean=-0.0089, Std=4.3685, Min=-11.3860, Max=18.9316, RMS=4.3685
  Col 48: Mean=0.0031, Std=2.5050, Min=-9.1338, Max=9.4644, RMS=2.5050
  Col 49: Mean=0.0963, Std=4.8834, Min=-13.1390, Max=17.8959, RMS=4.8843
  Col 50: Mean=-0.0559, Std=5.1393, Min=-13.2668, Max=34.5940, RMS=5.1396
  Col 51: Mean=-0.0077, Std=3.8556, Min=-20.4980, Max=31.6929, RMS=3.8556
  Col 52: Mean=0.2035, Std=7.0910, Min=-33.3136, Max=20.0211, RMS=7.0939
  Col 53: Mean=-0.0509, Std=7.8161, Min=-23.0723, Max=35.6113, RMS=7.8163
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0110, Std=2.2880, Min=-7.1936, Max=6.3835, RMS=2.2880
  Col 58: Mean=0.0039, Std=3.2086, Min=-12.8085, Max=9.5615, RMS=3.2086
  Col 59: Mean=-0.0210, Std=4.2632, Min=-11.7867, Max=15.0189, RMS=4.2632
  Col 60: Mean=-0.0111, Std=3.3705, Min=-12.9785, Max=12.5763, RMS=3.3705
  Col 61: Mean=0.1029, Std=4.3477, Min=-9.2971, Max=14.8165, RMS=4.3489
  Col 62: Mean=-0.0672, Std=4.5940, Min=-12.8601, Max=21.4102, RMS=4.5945
  Col 63: Mean=0.0340, Std=4.1354, Min=-36.9387, Max=21.5064, RMS=4.1356
  Col 64: Mean=0.2162, Std=6.6700, Min=-30.4030, Max=16.8742, RMS=6.6735
  Col 65: Mean=-0.0595, Std=7.1344, Min=-19.8826, Max=32.3834, RMS=7.1347
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-7.4654, Std=6.2090, Min=-20.1397, Max=3.5210, RMS=9.7100
  Col 1: Mean=-64.2737, Std=1.5017, Min=-68.3716, Max=-61.5165, RMS=64.2913
  Col 2: Mean=98.2886, Std=5.0959, Min=85.8041, Max=107.6051, RMS=98.4206
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=15.8115, Std=2.5417, Min=10.4494, Max=21.1124, RMS=16.0145
  Col 13: Mean=-61.8973, Std=4.1351, Min=-70.2506, Max=-51.8944, RMS=62.0353
  Col 14: Mean=-107.4222, Std=3.7381, Min=-116.3953, Max=-97.6027, RMS=107.4872
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-64.8851, Std=5.4538, Min=-76.6807, Max=-53.2632, RMS=65.1139
  Col 19: Mean=-2.4396, Std=1.7123, Min=-7.1251, Max=0.9066, RMS=2.9805
