--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Camilla/imu/walk/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0299, Std=1.8762, Min=-5.2468, Max=6.0648, RMS=1.8764
  Col 1: Mean=-0.0413, Std=1.2707, Min=-4.0377, Max=4.9617, RMS=1.2713
  Col 2: Mean=-0.4428, Std=2.5566, Min=-9.0353, Max=5.3690, RMS=2.5946
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0050, Std=1.0361, Min=-2.3019, Max=2.7798, RMS=1.0361
  Col 13: Mean=0.0009, Std=0.8333, Min=-1.9300, Max=2.3445, RMS=0.8333
  Col 14: Mean=-0.0004, Std=2.0353, Min=-3.6800, Max=6.5103, RMS=2.0353
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0021, Std=0.5235, Min=-1.3306, Max=2.4792, RMS=0.5235
  Col 19: Mean=-0.0014, Std=0.5280, Min=-1.8789, Max=1.7368, RMS=0.5280
  Col 20: Mean=-0.0027, Std=1.5670, Min=-2.8870, Max=4.8098, RMS=1.5670
  Col 21: Mean=0.0049, Std=1.1496, Min=-2.5323, Max=3.6257, RMS=1.1496
  Col 22: Mean=0.0024, Std=0.7958, Min=-3.1230, Max=3.3709, RMS=0.7958
  Col 23: Mean=0.0014, Std=1.7149, Min=-3.9580, Max=5.7412, RMS=1.7149
  Col 24: Mean=-0.0019, Std=1.6348, Min=-3.8344, Max=6.0751, RMS=1.6348
  Col 25: Mean=0.0187, Std=0.7889, Min=-2.5361, Max=3.0349, RMS=0.7891
  Col 26: Mean=-0.0079, Std=1.8832, Min=-4.5929, Max=5.5178, RMS=1.8832
  Col 27: Mean=-0.0129, Std=2.0760, Min=-4.2382, Max=4.2593, RMS=2.0761
  Col 28: Mean=0.0052, Std=0.8231, Min=-2.1475, Max=3.2526, RMS=0.8231
  Col 29: Mean=-0.0110, Std=1.6624, Min=-3.7882, Max=5.9205, RMS=1.6624
  Col 30: Mean=-0.0194, Std=2.9405, Min=-6.5622, Max=6.5666, RMS=2.9405
  Col 31: Mean=0.0027, Std=0.9537, Min=-2.4649, Max=3.3164, RMS=0.9537
  Col 32: Mean=-0.0234, Std=1.7999, Min=-3.9044, Max=5.4997, RMS=1.8000
  Col 33: Mean=0.0047, Std=1.0594, Min=-2.5051, Max=3.4340, RMS=1.0594
  Col 34: Mean=-0.0012, Std=0.8308, Min=-2.8963, Max=2.8123, RMS=0.8308
  Col 35: Mean=0.0016, Std=1.6638, Min=-3.6493, Max=5.6331, RMS=1.6638
  Col 36: Mean=0.0034, Std=2.5491, Min=-6.8207, Max=9.4322, RMS=2.5491
  Col 37: Mean=-0.0258, Std=1.0703, Min=-3.5699, Max=2.7379, RMS=1.0706
  Col 38: Mean=-0.0142, Std=1.9197, Min=-4.6321, Max=6.1154, RMS=1.9198
  Col 39: Mean=-0.0112, Std=3.7775, Min=-9.5488, Max=6.8691, RMS=3.7775
  Col 40: Mean=-0.0150, Std=1.2064, Min=-4.6341, Max=2.7727, RMS=1.2065
  Col 41: Mean=-0.0238, Std=2.1067, Min=-5.3400, Max=8.5925, RMS=2.1068
  Col 42: Mean=0.0255, Std=4.9394, Min=-14.6139, Max=8.5668, RMS=4.9394
  Col 43: Mean=-0.0096, Std=1.6568, Min=-5.9066, Max=4.0345, RMS=1.6569
  Col 44: Mean=-0.2676, Std=3.2719, Min=-8.7382, Max=11.2208, RMS=3.2828
  Col 45: Mean=-0.0002, Std=3.4900, Min=-10.9649, Max=6.9827, RMS=3.4900
  Col 46: Mean=-0.0100, Std=1.9198, Min=-5.5366, Max=7.7649, RMS=1.9199
  Col 47: Mean=-0.0128, Std=4.8807, Min=-11.9826, Max=21.7213, RMS=4.8807
  Col 48: Mean=-0.0460, Std=5.9702, Min=-18.6867, Max=15.1388, RMS=5.9703
  Col 49: Mean=0.0131, Std=2.9820, Min=-11.6735, Max=9.9307, RMS=2.9820
  Col 50: Mean=-0.1249, Std=3.4027, Min=-11.8003, Max=10.4188, RMS=3.4050
  Col 51: Mean=-0.0897, Std=10.1986, Min=-36.0491, Max=36.2346, RMS=10.1990
  Col 52: Mean=0.0588, Std=4.3406, Min=-23.8123, Max=19.9651, RMS=4.3410
  Col 53: Mean=-0.2488, Std=6.5380, Min=-31.0606, Max=17.7348, RMS=6.5427
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0007, Std=3.7498, Min=-12.9302, Max=20.4041, RMS=3.7498
  Col 58: Mean=-0.0054, Std=2.5981, Min=-10.7986, Max=8.8582, RMS=2.5982
  Col 59: Mean=-0.0000, Std=5.5701, Min=-17.0810, Max=34.4944, RMS=5.5701
  Col 60: Mean=-0.0440, Std=5.8218, Min=-16.9484, Max=11.2998, RMS=5.8220
  Col 61: Mean=-0.0499, Std=3.0999, Min=-11.9483, Max=8.5583, RMS=3.1003
  Col 62: Mean=-0.1425, Std=3.2091, Min=-8.4690, Max=19.1666, RMS=3.2123
  Col 63: Mean=-0.0737, Std=10.6697, Min=-34.9243, Max=40.1825, RMS=10.6700
  Col 64: Mean=-0.0643, Std=3.8514, Min=-15.4239, Max=17.5174, RMS=3.8520
  Col 65: Mean=-0.2719, Std=7.4526, Min=-35.8742, Max=18.9920, RMS=7.4575
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=2.2337, Std=42.1014, Min=-179.9664, Max=179.9725, RMS=42.1606
  Col 1: Mean=-68.2965, Std=14.8227, Min=-75.8095, Max=-5.8759, RMS=69.8865
  Col 2: Mean=-74.1131, Std=152.6873, Min=-179.9875, Max=179.9976, RMS=169.7238
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-13.7625, Std=2.5129, Min=-20.0715, Max=-7.3972, RMS=13.9900
