--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Carlotta/imu/slope_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0020, Std=1.6240, Min=-5.8863, Max=9.2528, RMS=1.6240
  Col 1: Mean=0.0046, Std=1.6206, Min=-5.1519, Max=5.6846, RMS=1.6206
  Col 2: Mean=0.0204, Std=2.6173, Min=-6.0826, Max=10.5755, RMS=2.6174
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0060, Std=0.8608, Min=-1.9671, Max=2.7780, RMS=0.8608
  Col 13: Mean=0.0058, Std=1.3042, Min=-5.1852, Max=2.9237, RMS=1.3043
  Col 14: Mean=0.0142, Std=2.7480, Min=-7.3479, Max=10.9724, RMS=2.7480
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0161, Std=0.6136, Min=-1.5970, Max=1.9617, RMS=0.6138
  Col 19: Mean=0.0297, Std=0.9370, Min=-2.9524, Max=2.3086, RMS=0.9375
  Col 20: Mean=0.0201, Std=2.8079, Min=-6.2590, Max=16.6616, RMS=2.8080
  Col 21: Mean=-0.0031, Std=0.8876, Min=-2.7190, Max=2.6535, RMS=0.8876
  Col 22: Mean=0.0113, Std=1.2072, Min=-4.6616, Max=2.7808, RMS=1.2073
  Col 23: Mean=0.0210, Std=2.6215, Min=-6.4635, Max=16.0328, RMS=2.6215
  Col 24: Mean=0.0023, Std=1.0522, Min=-2.3783, Max=7.5916, RMS=1.0522
  Col 25: Mean=0.0071, Std=1.5216, Min=-7.1389, Max=3.3778, RMS=1.5216
  Col 26: Mean=0.0101, Std=2.6307, Min=-7.0937, Max=11.9099, RMS=2.6307
  Col 27: Mean=-0.0049, Std=0.8422, Min=-2.2032, Max=2.3717, RMS=0.8422
  Col 28: Mean=0.0022, Std=1.8747, Min=-6.8496, Max=4.5647, RMS=1.8747
  Col 29: Mean=0.0122, Std=2.4181, Min=-6.3761, Max=9.8525, RMS=2.4182
  Col 30: Mean=-0.0051, Std=1.1959, Min=-3.3967, Max=2.9994, RMS=1.1959
  Col 31: Mean=0.0113, Std=2.1927, Min=-9.3579, Max=5.2298, RMS=2.1927
  Col 32: Mean=0.0120, Std=2.3601, Min=-5.8232, Max=8.3191, RMS=2.3601
  Col 33: Mean=-0.0012, Std=1.0392, Min=-2.7848, Max=5.5557, RMS=1.0392
  Col 34: Mean=0.0078, Std=1.2807, Min=-5.7961, Max=3.2132, RMS=1.2807
  Col 35: Mean=0.0206, Std=2.5248, Min=-6.0740, Max=12.9331, RMS=2.5249
  Col 36: Mean=-0.0167, Std=1.0256, Min=-2.8955, Max=3.3829, RMS=1.0257
  Col 37: Mean=-0.0286, Std=1.8152, Min=-8.1378, Max=3.9828, RMS=1.8154
  Col 38: Mean=0.0066, Std=2.6527, Min=-6.1286, Max=9.1293, RMS=2.6527
  Col 39: Mean=-0.0216, Std=1.2853, Min=-4.2456, Max=3.6116, RMS=1.2855
  Col 40: Mean=-0.0291, Std=2.7813, Min=-7.2786, Max=9.7873, RMS=2.7815
  Col 41: Mean=0.0113, Std=2.7722, Min=-8.1226, Max=8.2985, RMS=2.7722
  Col 42: Mean=-0.0571, Std=1.7402, Min=-4.7958, Max=5.9996, RMS=1.7412
  Col 43: Mean=-0.0299, Std=3.7175, Min=-9.1065, Max=12.5287, RMS=3.7176
  Col 44: Mean=0.0056, Std=3.2035, Min=-8.5597, Max=9.5261, RMS=3.2035
  Col 45: Mean=0.0085, Std=2.4907, Min=-14.2320, Max=7.8319, RMS=2.4907
  Col 46: Mean=-0.0348, Std=4.3102, Min=-21.1076, Max=13.4430, RMS=4.3104
  Col 47: Mean=0.0018, Std=5.9074, Min=-17.0785, Max=42.5943, RMS=5.9074
  Col 48: Mean=-0.0005, Std=4.1177, Min=-15.0123, Max=16.9821, RMS=4.1177
  Col 49: Mean=0.0811, Std=5.6889, Min=-18.5670, Max=24.1057, RMS=5.6895
  Col 50: Mean=-0.1163, Std=4.4966, Min=-10.5993, Max=33.6678, RMS=4.4981
  Col 51: Mean=-0.0474, Std=5.3738, Min=-23.5695, Max=23.0905, RMS=5.3740
  Col 52: Mean=0.0557, Std=8.9602, Min=-44.2130, Max=35.5704, RMS=8.9604
  Col 53: Mean=-0.2229, Std=7.2841, Min=-36.9204, Max=23.6020, RMS=7.2875
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0181, Std=2.7742, Min=-10.8837, Max=12.2697, RMS=2.7743
  Col 58: Mean=-0.0272, Std=3.2181, Min=-7.9720, Max=10.8896, RMS=3.2182
  Col 59: Mean=-0.0082, Std=5.7857, Min=-17.6026, Max=30.4003, RMS=5.7857
  Col 60: Mean=-0.0240, Std=3.8985, Min=-27.1754, Max=11.3361, RMS=3.8985
  Col 61: Mean=0.0604, Std=5.3772, Min=-14.5138, Max=24.5047, RMS=5.3775
  Col 62: Mean=-0.1489, Std=4.1927, Min=-11.4276, Max=32.7279, RMS=4.1954
  Col 63: Mean=-0.0546, Std=5.2490, Min=-20.7559, Max=32.4598, RMS=5.2493
  Col 64: Mean=0.0648, Std=8.9524, Min=-38.0430, Max=33.6910, RMS=8.9527
  Col 65: Mean=-0.2451, Std=6.7678, Min=-28.8106, Max=20.1998, RMS=6.7722
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=4.7729, Std=7.6517, Min=-10.7711, Max=25.7820, RMS=9.0183
  Col 1: Mean=-71.0250, Std=3.8585, Min=-78.4123, Max=-62.6164, RMS=71.1297
  Col 2: Mean=111.8534, Std=8.1205, Min=86.7835, Max=129.0474, RMS=112.1478
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
