--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Carlotta/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0036, Std=1.5165, Min=-5.5151, Max=6.3312, RMS=1.5165
  Col 1: Mean=0.0022, Std=1.7285, Min=-8.2646, Max=5.9023, RMS=1.7285
  Col 2: Mean=0.0259, Std=2.5560, Min=-6.5032, Max=9.6875, RMS=2.5562
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0002, Std=0.7637, Min=-1.7852, Max=2.9323, RMS=0.7637
  Col 13: Mean=-0.0059, Std=1.2205, Min=-3.5494, Max=3.5934, RMS=1.2205
  Col 14: Mean=0.0202, Std=2.6973, Min=-5.9905, Max=11.4736, RMS=2.6974
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0004, Std=0.6226, Min=-2.0115, Max=1.8640, RMS=0.6226
  Col 19: Mean=-0.0013, Std=0.9424, Min=-3.3112, Max=2.4344, RMS=0.9424
  Col 20: Mean=0.0192, Std=2.7246, Min=-6.2310, Max=13.8981, RMS=2.7246
  Col 21: Mean=0.0044, Std=0.8062, Min=-2.6318, Max=2.7151, RMS=0.8062
  Col 22: Mean=0.0016, Std=1.1751, Min=-4.0473, Max=3.9510, RMS=1.1751
  Col 23: Mean=0.0205, Std=2.7426, Min=-6.5459, Max=12.0980, RMS=2.7427
  Col 24: Mean=0.0060, Std=1.0066, Min=-3.1082, Max=4.7095, RMS=1.0066
  Col 25: Mean=0.0062, Std=1.4510, Min=-4.2897, Max=4.2955, RMS=1.4510
  Col 26: Mean=0.0110, Std=2.6704, Min=-5.9429, Max=11.1970, RMS=2.6704
  Col 27: Mean=-0.0058, Std=0.8081, Min=-3.0402, Max=1.8666, RMS=0.8081
  Col 28: Mean=0.0182, Std=1.8117, Min=-5.5144, Max=4.8788, RMS=1.8117
  Col 29: Mean=0.0119, Std=2.4530, Min=-5.7054, Max=8.5897, RMS=2.4530
  Col 30: Mean=-0.0230, Std=1.2385, Min=-3.9547, Max=2.9503, RMS=1.2387
  Col 31: Mean=0.0391, Std=2.0800, Min=-7.3859, Max=5.4182, RMS=2.0804
  Col 32: Mean=0.0085, Std=2.4014, Min=-5.0688, Max=7.6912, RMS=2.4014
  Col 33: Mean=0.0076, Std=0.9919, Min=-2.3534, Max=5.0787, RMS=0.9920
  Col 34: Mean=-0.0056, Std=1.2153, Min=-3.9869, Max=2.8376, RMS=1.2154
  Col 35: Mean=0.0195, Std=2.6770, Min=-6.6630, Max=10.9674, RMS=2.6771
  Col 36: Mean=0.0005, Std=1.0708, Min=-2.4299, Max=2.4940, RMS=1.0708
  Col 37: Mean=-0.0234, Std=1.9513, Min=-7.4511, Max=5.1679, RMS=1.9515
  Col 38: Mean=0.0048, Std=2.6212, Min=-6.7507, Max=9.7219, RMS=2.6212
  Col 39: Mean=-0.0118, Std=1.4566, Min=-3.7227, Max=3.2764, RMS=1.4567
  Col 40: Mean=-0.0270, Std=2.1687, Min=-6.8982, Max=5.7648, RMS=2.1689
  Col 41: Mean=-0.0006, Std=2.6787, Min=-6.2901, Max=9.6144, RMS=2.6787
  Col 42: Mean=-0.0141, Std=1.9550, Min=-4.8122, Max=4.4999, RMS=1.9551
  Col 43: Mean=-0.0293, Std=2.9430, Min=-8.6375, Max=6.8982, RMS=2.9431
  Col 44: Mean=-0.0153, Std=2.9392, Min=-6.6559, Max=8.5829, RMS=2.9392
  Col 45: Mean=0.0116, Std=2.6737, Min=-11.2877, Max=10.7214, RMS=2.6737
  Col 46: Mean=-0.0418, Std=4.0069, Min=-27.3204, Max=11.2949, RMS=4.0071
  Col 47: Mean=0.0154, Std=5.6213, Min=-14.8217, Max=35.9322, RMS=5.6213
  Col 48: Mean=-0.0044, Std=4.2206, Min=-13.8457, Max=20.4183, RMS=4.2206
  Col 49: Mean=0.0794, Std=5.4636, Min=-17.6090, Max=23.0597, RMS=5.4642
  Col 50: Mean=-0.0944, Std=4.2224, Min=-9.4906, Max=32.9066, RMS=4.2234
  Col 51: Mean=-0.0505, Std=6.2502, Min=-33.5933, Max=22.9501, RMS=6.2504
  Col 52: Mean=0.0485, Std=8.4955, Min=-32.8511, Max=28.7871, RMS=8.4956
  Col 53: Mean=-0.2099, Std=7.3079, Min=-35.0410, Max=25.2697, RMS=7.3109
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0349, Std=2.8281, Min=-10.1194, Max=9.9440, RMS=2.8283
  Col 58: Mean=-0.0300, Std=3.6167, Min=-9.8440, Max=14.2181, RMS=3.6169
  Col 59: Mean=-0.0136, Std=5.8260, Min=-18.9114, Max=29.7054, RMS=5.8260
  Col 60: Mean=0.0013, Std=3.6574, Min=-20.6403, Max=8.7580, RMS=3.6574
  Col 61: Mean=0.0670, Std=5.5993, Min=-13.5096, Max=20.9845, RMS=5.5997
  Col 62: Mean=-0.1458, Std=4.3865, Min=-10.5269, Max=28.5345, RMS=4.3889
  Col 63: Mean=-0.0730, Std=5.4100, Min=-21.9038, Max=27.0671, RMS=5.4105
  Col 64: Mean=0.0658, Std=9.0492, Min=-36.4820, Max=41.8561, RMS=9.0494
  Col 65: Mean=-0.2340, Std=7.5287, Min=-33.0250, Max=23.5200, RMS=7.5324
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=3.4459, Std=7.1648, Min=-11.3012, Max=20.2836, RMS=7.9504
  Col 1: Mean=-69.8154, Std=4.2331, Min=-77.0825, Max=-59.7033, RMS=69.9436
  Col 2: Mean=115.7699, Std=7.0245, Min=100.5511, Max=130.5347, RMS=115.9828
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=9.9969, Std=2.7485, Min=4.6658, Max=17.5754, RMS=10.3678
  Col 13: Mean=-63.1800, Std=4.4001, Min=-75.6231, Max=-57.0014, RMS=63.3330
  Col 14: Mean=-73.1831, Std=3.5763, Min=-81.6739, Max=-66.0680, RMS=73.2704
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=131.4516, Std=3.8563, Min=122.8576, Max=139.3881, RMS=131.5081
  Col 19: Mean=-0.9146, Std=1.7604, Min=-5.3124, Max=3.5506, RMS=1.9838
  Col 20: Mean=27.0761, Std=3.5335, Min=20.6597, Max=38.5779, RMS=27.3057
  Col 21: Mean=70.9903, Std=3.5810, Min=61.7116, Max=77.5672, RMS=71.0806
  Col 22: Mean=3.0982, Std=1.0647, Min=1.0153, Max=5.9641, RMS=3.2761
  Col 23: Mean=34.0214, Std=3.0973, Min=28.2046, Max=40.9221, RMS=34.1621
  Col 24: Mean=7.4043, Std=34.5371, Min=-46.1353, Max=91.1291, RMS=35.3219
  Col 25: Mean=-83.0084, Std=2.4794, Min=-86.0285, Max=-74.1620, RMS=83.0455
  Col 26: Mean=-79.8802, Std=102.2884, Min=-179.6302, Max=179.9946, RMS=129.7835
  Col 27: Mean=28.0861, Std=24.0112, Min=-54.8897, Max=59.5086, RMS=36.9508
  Col 28: Mean=73.7878, Std=4.2067, Min=60.5861, Max=80.1241, RMS=73.9076
  Col 29: Mean=70.6329, Std=24.2889, Min=-10.4825, Max=102.1440, RMS=74.6924
  Col 30: Mean=-71.9981, Std=2.4453, Min=-81.0427, Max=-65.5284, RMS=72.0396
  Col 31: Mean=2.1728, Std=7.4423, Min=-19.1883, Max=18.5703, RMS=7.7530
  Col 32: Mean=-47.5553, Std=6.3818, Min=-58.2018, Max=-33.9070, RMS=47.9816
  Col 33: Mean=65.5786, Std=3.6552, Min=57.6749, Max=73.3448, RMS=65.6804
  Col 34: Mean=4.3764, Std=1.6352, Min=0.4692, Max=7.6480, RMS=4.6719
  Col 35: Mean=15.1168, Std=3.7274, Min=6.1781, Max=23.3785, RMS=15.5695
  Col 36: Mean=-2.2378, Std=36.7538, Min=-101.9685, Max=41.0414, RMS=36.8218
  Col 37: Mean=-79.1903, Std=4.8878, Min=-86.6269, Max=-65.0837, RMS=79.3410
  Col 38: Mean=-10.2935, Std=41.4350, Min=-67.6840, Max=87.3774, RMS=42.6945
  Col 39: Mean=58.4819, Std=8.7550, Min=36.5528, Max=91.2484, RMS=59.1336
  Col 40: Mean=-65.5713, Std=12.9850, Min=-84.4807, Max=-27.9695, RMS=66.8446
  Col 41: Mean=-72.3373, Std=14.4412, Min=-109.9862, Max=-34.6386, RMS=73.7648
  Col 42: Mean=-80.7286, Std=7.7029, Min=-95.3103, Max=-59.9988, RMS=81.0953
  Col 43: Mean=-6.3295, Std=12.7951, Min=-43.9852, Max=12.4324, RMS=14.2750
  Col 44: Mean=86.6691, Std=9.9553, Min=63.0583, Max=105.1930, RMS=87.2390
  Col 45: Mean=-56.4869, Std=93.9032, Min=-179.1722, Max=179.6300, RMS=109.5837
  Col 46: Mean=-75.0640, Std=8.0261, Min=-89.3883, Max=-58.6717, RMS=75.4919
  Col 47: Mean=15.4710, Std=80.4561, Min=-135.0703, Max=157.3357, RMS=81.9301
  Col 48: Mean=12.2086, Std=104.6150, Min=-179.2955, Max=178.5926, RMS=105.3249
  Col 49: Mean=-72.8493, Std=14.6594, Min=-89.6278, Max=-32.5388, RMS=74.3096
  Col 50: Mean=11.0910, Std=83.8054, Min=-151.0784, Max=172.5460, RMS=84.5362
  Col 51: Mean=4.4808, Std=36.0828, Min=-173.4864, Max=173.6701, RMS=36.3599
  Col 52: Mean=-33.3678, Std=20.1569, Min=-86.8310, Max=6.4146, RMS=38.9835
  Col 53: Mean=-66.4454, Std=52.0821, Min=-179.8556, Max=174.4675, RMS=84.4248
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-54.6155, Std=103.4892, Min=-179.2829, Max=179.8305, RMS=117.0166
  Col 58: Mean=-75.9092, Std=7.2564, Min=-88.9915, Max=-61.2653, RMS=76.2552
  Col 59: Mean=37.8903, Std=85.9954, Min=-166.3417, Max=176.3722, RMS=93.9728
  Col 60: Mean=27.6662, Std=147.9071, Min=-179.8533, Max=179.7646, RMS=150.4723
  Col 61: Mean=-67.4504, Std=19.3110, Min=-87.6810, Max=-16.3979, RMS=70.1603
  Col 62: Mean=92.2510, Std=76.4528, Min=-179.9047, Max=178.6838, RMS=119.8135
  Col 63: Mean=-2.7010, Std=41.6910, Min=-169.6922, Max=174.3536, RMS=41.7784
  Col 64: Mean=-37.2141, Std=20.0819, Min=-88.4301, Max=5.2725, RMS=42.2868
  Col 65: Mean=-37.6250, Std=42.7558, Min=-166.2919, Max=158.0561, RMS=56.9535
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Magnetic_Field.csv] (Cols: 69)
  Col 0: Mean=-0.4719, Std=0.0904, Min=-0.5854, Max=-0.3237, RMS=0.4805
  Col 1: Mean=0.4381, Std=0.1173, Min=0.3047, Max=0.6494, RMS=0.4535
  Col 2: Mean=-0.3318, Std=0.0807, Min=-0.4583, Max=-0.1748, RMS=0.3415
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.4619, Std=0.1192, Min=-0.5845, Max=-0.2322, RMS=0.4770
  Col 13: Mean=-0.5232, Std=0.0618, Min=-0.6226, Max=-0.4407, RMS=0.5268
  Col 14: Mean=-0.0848, Std=0.0505, Min=-0.1606, Max=0.0471, RMS=0.0987
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.5130, Std=0.0615, Min=-0.6301, Max=-0.4382, RMS=0.5167
  Col 19: Mean=-0.5646, Std=0.1304, Min=-0.6909, Max=-0.2932, RMS=0.5794
  Col 20: Mean=0.3033, Std=0.0592, Min=0.1833, Max=0.4165, RMS=0.3091
  Col 21: Mean=-0.3120, Std=0.0874, Min=-0.4460, Max=-0.2080, RMS=0.3240
  Col 22: Mean=-0.5394, Std=0.0929, Min=-0.6501, Max=-0.3669, RMS=0.5474
  Col 23: Mean=-0.3362, Std=0.0826, Min=-0.4763, Max=-0.1501, RMS=0.3462
  Col 24: Mean=-0.4923, Std=0.1208, Min=-0.6250, Max=-0.2668, RMS=0.5069
  Col 25: Mean=-0.4374, Std=0.0732, Min=-0.6721, Max=-0.3403, RMS=0.4434
  Col 26: Mean=-0.3698, Std=0.0922, Min=-0.6074, Max=-0.2395, RMS=0.3811
  Col 27: Mean=0.4717, Std=0.1129, Min=0.2432, Max=0.5784, RMS=0.4850
  Col 28: Mean=0.3653, Std=0.1077, Min=0.1497, Max=0.6453, RMS=0.3808
  Col 29: Mean=-0.5837, Std=0.0804, Min=-0.8555, Max=-0.4512, RMS=0.5892
  Col 30: Mean=-0.2587, Std=0.1045, Min=-0.5283, Max=-0.0479, RMS=0.2790
  Col 31: Mean=0.4868, Std=0.1181, Min=0.2424, Max=0.6091, RMS=0.5009
  Col 32: Mean=-0.5625, Std=0.0791, Min=-0.8582, Max=-0.4395, RMS=0.5680
  Col 33: Mean=-0.4174, Std=0.0894, Min=-0.6125, Max=-0.3174, RMS=0.4268
  Col 34: Mean=-0.5772, Std=0.0627, Min=-0.6799, Max=-0.4729, RMS=0.5806
  Col 35: Mean=-0.1938, Std=0.1198, Min=-0.3611, Max=0.0537, RMS=0.2278
  Col 36: Mean=-0.5918, Std=0.0965, Min=-0.6975, Max=-0.4192, RMS=0.5996
  Col 37: Mean=-0.2402, Std=0.1595, Min=-0.5593, Max=0.0542, RMS=0.2883
  Col 38: Mean=0.3424, Std=0.0876, Min=0.1614, Max=0.4910, RMS=0.3535
  Col 39: Mean=-0.5612, Std=0.1239, Min=-0.7200, Max=-0.3452, RMS=0.5747
  Col 40: Mean=-0.3616, Std=0.1786, Min=-0.6626, Max=-0.0388, RMS=0.4033
  Col 41: Mean=0.3137, Std=0.0922, Min=0.1077, Max=0.4795, RMS=0.3270
  Col 42: Mean=-0.1441, Std=0.2088, Min=-0.5076, Max=0.2039, RMS=0.2537
  Col 43: Mean=0.5540, Std=0.0890, Min=0.3840, Max=0.6829, RMS=0.5610
  Col 44: Mean=0.3427, Std=0.0868, Min=0.1558, Max=0.4985, RMS=0.3535
  Col 45: Mean=-0.6021, Std=0.1014, Min=-0.7483, Max=-0.3977, RMS=0.6105
  Col 46: Mean=-0.3817, Std=0.1165, Min=-0.5847, Max=-0.1982, RMS=0.3990
  Col 47: Mean=0.1738, Std=0.1466, Min=-0.1365, Max=0.4866, RMS=0.2273
  Col 48: Mean=-0.4252, Std=0.1704, Min=-0.6638, Max=0.0461, RMS=0.4581
  Col 49: Mean=-0.5361, Std=0.1195, Min=-0.7573, Max=-0.3250, RMS=0.5492
  Col 50: Mean=0.0414, Std=0.1779, Min=-0.3508, Max=0.3928, RMS=0.1826
  Col 51: Mean=-0.3733, Std=0.1135, Min=-0.7043, Max=-0.0642, RMS=0.3901
  Col 52: Mean=-0.5128, Std=0.1053, Min=-0.7051, Max=-0.1589, RMS=0.5235
  Col 53: Mean=-0.3594, Std=0.2609, Min=-0.7917, Max=0.3372, RMS=0.4441
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.5495, Std=0.1071, Min=-0.6980, Max=-0.3054, RMS=0.5598
  Col 58: Mean=-0.3837, Std=0.1262, Min=-0.6187, Max=-0.1521, RMS=0.4039
  Col 59: Mean=0.2356, Std=0.1678, Min=-0.0615, Max=0.6411, RMS=0.2893
  Col 60: Mean=-0.4014, Std=0.2044, Min=-0.6667, Max=0.0784, RMS=0.4504
  Col 61: Mean=-0.5715, Std=0.1644, Min=-0.8899, Max=-0.2878, RMS=0.5946
  Col 62: Mean=0.4227, Std=0.2333, Min=0.0413, Max=0.8574, RMS=0.4828
  Col 63: Mean=-0.5698, Std=0.1258, Min=-0.8213, Max=-0.2468, RMS=0.5835
  Col 64: Mean=-0.4049, Std=0.1385, Min=-0.6111, Max=-0.0662, RMS=0.4279
  Col 65: Mean=-0.2127, Std=0.3065, Min=-0.5972, Max=0.5051, RMS=0.3731
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
