--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Carlotta/imu/slope_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0002, Std=1.2004, Min=-4.2485, Max=4.5566, RMS=1.2004
  Col 1: Mean=-0.0016, Std=1.7739, Min=-5.9492, Max=5.0983, RMS=1.7739
  Col 2: Mean=-0.0011, Std=2.0196, Min=-4.1487, Max=8.3890, RMS=2.0196
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0017, Std=0.7851, Min=-3.6782, Max=2.1991, RMS=0.7851
  Col 13: Mean=-0.0021, Std=1.3126, Min=-3.4000, Max=3.6908, RMS=1.3126
  Col 14: Mean=-0.0090, Std=2.3710, Min=-4.9387, Max=9.0158, RMS=2.3710
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0050, Std=0.6938, Min=-1.4811, Max=1.8347, RMS=0.6939
  Col 19: Mean=0.0012, Std=0.9291, Min=-2.7016, Max=2.6233, RMS=0.9291
  Col 20: Mean=-0.0057, Std=2.1628, Min=-4.3674, Max=7.9138, RMS=2.1628
  Col 21: Mean=0.0010, Std=0.8781, Min=-2.2731, Max=2.9666, RMS=0.8781
  Col 22: Mean=-0.0068, Std=1.2247, Min=-2.5735, Max=3.3152, RMS=1.2247
  Col 23: Mean=-0.0059, Std=2.1172, Min=-5.6960, Max=6.6664, RMS=2.1172
  Col 24: Mean=-0.0001, Std=0.9269, Min=-3.7385, Max=3.0313, RMS=0.9269
  Col 25: Mean=-0.0072, Std=1.4135, Min=-3.0636, Max=3.9702, RMS=1.4135
  Col 26: Mean=-0.0163, Std=2.1359, Min=-5.0928, Max=6.6578, RMS=2.1360
  Col 27: Mean=0.0038, Std=0.5732, Min=-1.4871, Max=2.6600, RMS=0.5732
  Col 28: Mean=0.0004, Std=1.8993, Min=-4.1095, Max=4.3779, RMS=1.8993
  Col 29: Mean=-0.0166, Std=1.9683, Min=-5.4569, Max=5.9928, RMS=1.9684
  Col 30: Mean=0.0123, Std=0.8431, Min=-1.9997, Max=2.5299, RMS=0.8432
  Col 31: Mean=-0.0126, Std=2.2332, Min=-4.2360, Max=5.7956, RMS=2.2332
  Col 32: Mean=-0.0257, Std=1.8908, Min=-4.4506, Max=5.6350, RMS=1.8910
  Col 33: Mean=-0.0035, Std=1.0307, Min=-2.3344, Max=3.1644, RMS=1.0307
  Col 34: Mean=-0.0055, Std=1.3486, Min=-3.8344, Max=4.2397, RMS=1.3486
  Col 35: Mean=-0.0047, Std=2.1115, Min=-4.3759, Max=7.8679, RMS=2.1115
  Col 36: Mean=0.0187, Std=0.9421, Min=-2.1438, Max=2.2801, RMS=0.9423
  Col 37: Mean=-0.0090, Std=1.6758, Min=-5.0096, Max=7.5218, RMS=1.6758
  Col 38: Mean=0.0021, Std=2.2756, Min=-4.5948, Max=6.9875, RMS=2.2757
  Col 39: Mean=0.0289, Std=1.1830, Min=-3.0158, Max=2.7473, RMS=1.1834
  Col 40: Mean=-0.0474, Std=1.8761, Min=-5.8376, Max=4.8471, RMS=1.8767
  Col 41: Mean=0.0068, Std=2.2516, Min=-4.6207, Max=7.0868, RMS=2.2516
  Col 42: Mean=0.0546, Std=1.5338, Min=-4.0021, Max=4.1420, RMS=1.5347
  Col 43: Mean=-0.0719, Std=2.5471, Min=-4.9945, Max=10.6048, RMS=2.5482
  Col 44: Mean=0.0100, Std=2.3462, Min=-5.4194, Max=7.5773, RMS=2.3462
  Col 45: Mean=0.0092, Std=1.8945, Min=-9.3619, Max=6.1997, RMS=1.8946
  Col 46: Mean=0.0207, Std=3.2988, Min=-8.9229, Max=9.1070, RMS=3.2988
  Col 47: Mean=0.0092, Std=3.7748, Min=-12.9477, Max=12.8988, RMS=3.7748
  Col 48: Mean=0.0150, Std=3.1500, Min=-8.6166, Max=10.5005, RMS=3.1500
  Col 49: Mean=-0.0564, Std=4.5563, Min=-17.7909, Max=11.0511, RMS=4.5567
  Col 50: Mean=-0.1179, Std=3.2714, Min=-10.2226, Max=24.2951, RMS=3.2735
  Col 51: Mean=0.0425, Std=5.0240, Min=-20.1128, Max=31.6948, RMS=5.0242
  Col 52: Mean=-0.0682, Std=7.9032, Min=-39.8955, Max=30.0466, RMS=7.9035
  Col 53: Mean=-0.1822, Std=6.2218, Min=-34.6379, Max=21.8196, RMS=6.2245
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0063, Std=2.0698, Min=-7.9579, Max=6.5935, RMS=2.0698
  Col 58: Mean=0.0020, Std=2.9531, Min=-8.6246, Max=8.6812, RMS=2.9531
  Col 59: Mean=-0.0020, Std=3.9805, Min=-10.6681, Max=26.9943, RMS=3.9805
  Col 60: Mean=0.0157, Std=2.7680, Min=-9.1644, Max=13.5222, RMS=2.7681
  Col 61: Mean=-0.0450, Std=4.5658, Min=-15.6023, Max=11.0863, RMS=4.5660
