--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Carlotta/imu/slope_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0086, Std=1.1264, Min=-2.7339, Max=3.8731, RMS=1.1264
  Col 1: Mean=-0.0034, Std=1.7497, Min=-6.2599, Max=4.6978, RMS=1.7497
  Col 2: Mean=-0.0075, Std=2.0552, Min=-4.2465, Max=8.6315, RMS=2.0552
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0077, Std=0.8987, Min=-3.5713, Max=2.8978, RMS=0.8987
  Col 13: Mean=-0.0050, Std=1.2590, Min=-3.2454, Max=3.3779, RMS=1.2590
  Col 14: Mean=-0.0126, Std=2.3818, Min=-4.8028, Max=8.5937, RMS=2.3819
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0090, Std=0.7779, Min=-1.6874, Max=2.1008, RMS=0.7780
