--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Carlotta/imu/stairs_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0013, Std=1.6533, Min=-4.3961, Max=8.6941, RMS=1.6534
  Col 1: Mean=0.0047, Std=1.6228, Min=-6.7030, Max=5.7514, RMS=1.6228
  Col 2: Mean=0.0068, Std=4.3340, Min=-9.4570, Max=13.3468, RMS=4.3340
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0095, Std=0.9504, Min=-2.0050, Max=5.3275, RMS=0.9504
  Col 13: Mean=-0.0024, Std=0.7892, Min=-2.1187, Max=3.0731, RMS=0.7892
  Col 14: Mean=0.0063, Std=4.6751, Min=-11.0394, Max=18.0574, RMS=4.6751
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0142, Std=0.7566, Min=-2.0836, Max=2.7008, RMS=0.7567
  Col 19: Mean=0.0028, Std=0.5739, Min=-1.7043, Max=1.9586, RMS=0.5739
  Col 20: Mean=0.0060, Std=4.2358, Min=-7.6166, Max=14.2097, RMS=4.2358
  Col 21: Mean=-0.0105, Std=0.9907, Min=-2.2555, Max=2.8936, RMS=0.9908
  Col 22: Mean=0.0071, Std=0.9225, Min=-3.0026, Max=3.4820, RMS=0.9225
  Col 23: Mean=0.0022, Std=4.6095, Min=-8.2543, Max=15.6500, RMS=4.6095
  Col 24: Mean=0.0083, Std=1.4386, Min=-5.0222, Max=5.6763, RMS=1.4386
  Col 25: Mean=0.0100, Std=0.9289, Min=-3.3733, Max=3.3469, RMS=0.9290
  Col 26: Mean=-0.0096, Std=4.5331, Min=-8.0401, Max=13.3730, RMS=4.5331
  Col 27: Mean=-0.0047, Std=2.1084, Min=-5.5755, Max=7.0977, RMS=2.1084
  Col 28: Mean=-0.0161, Std=1.0539, Min=-3.5677, Max=2.8855, RMS=1.0541
  Col 29: Mean=-0.0107, Std=4.2248, Min=-8.0694, Max=12.0646, RMS=4.2249
  Col 30: Mean=0.0035, Std=2.5932, Min=-6.8505, Max=8.4026, RMS=2.5932
  Col 31: Mean=-0.0280, Std=1.6919, Min=-5.6384, Max=3.9335, RMS=1.6922
  Col 32: Mean=-0.0274, Std=3.9063, Min=-8.1976, Max=12.7440, RMS=3.9064
