--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Carlotta/imu/stairs_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0031, Std=1.5488, Min=-4.7922, Max=4.5393, RMS=1.5488
  Col 1: Mean=-0.0098, Std=1.0096, Min=-3.1874, Max=2.8563, RMS=1.0096
  Col 2: Mean=0.0121, Std=2.9579, Min=-6.3143, Max=10.2279, RMS=2.9579
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0037, Std=1.0263, Min=-3.5469, Max=2.5455, RMS=1.0264
  Col 13: Mean=-0.0040, Std=1.1135, Min=-3.7418, Max=2.8295, RMS=1.1135
  Col 14: Mean=0.0064, Std=3.3226, Min=-8.4386, Max=7.7124, RMS=3.3227
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0039, Std=0.7841, Min=-2.3714, Max=2.3750, RMS=0.7841
  Col 19: Mean=-0.0006, Std=0.7479, Min=-1.7403, Max=2.2016, RMS=0.7479
  Col 20: Mean=0.0035, Std=3.0016, Min=-6.5718, Max=8.0989, RMS=3.0016
  Col 21: Mean=0.0029, Std=1.0856, Min=-3.9941, Max=2.9929, RMS=1.0856
  Col 22: Mean=-0.0052, Std=1.1227, Min=-2.8849, Max=3.4530, RMS=1.1227
  Col 23: Mean=0.0061, Std=3.1731, Min=-6.2070, Max=9.4893, RMS=3.1731
  Col 24: Mean=-0.0020, Std=1.7426, Min=-5.3452, Max=5.4953, RMS=1.7426
  Col 25: Mean=-0.0042, Std=0.9782, Min=-3.9596, Max=3.2419, RMS=0.9782
  Col 26: Mean=-0.0013, Std=3.0190, Min=-7.2736, Max=8.3783, RMS=3.0190
  Col 27: Mean=-0.0047, Std=3.0118, Min=-10.2996, Max=6.9773, RMS=3.0118
  Col 28: Mean=0.0236, Std=0.7856, Min=-2.0879, Max=2.4446, RMS=0.7859
  Col 29: Mean=-0.0081, Std=2.6079, Min=-6.8645, Max=7.2787, RMS=2.6079
  Col 30: Mean=-0.0059, Std=3.5352, Min=-12.0764, Max=7.8875, RMS=3.5353
  Col 31: Mean=0.0388, Std=1.1685, Min=-2.5299, Max=4.5541, RMS=1.1691
  Col 32: Mean=-0.1102, Std=2.5764, Min=-8.6207, Max=7.0257, RMS=2.5787
  Col 33: Mean=0.0017, Std=1.0690, Min=-3.9775, Max=2.6986, RMS=1.0690
  Col 34: Mean=-0.0053, Std=1.2818, Min=-3.5526, Max=3.6959, RMS=1.2818
  Col 35: Mean=0.0046, Std=3.0942, Min=-6.4686, Max=9.3722, RMS=3.0942
  Col 36: Mean=-0.0041, Std=1.6461, Min=-6.0268, Max=4.8936, RMS=1.6461
  Col 37: Mean=0.0063, Std=1.3400, Min=-4.3417, Max=4.3127, RMS=1.3400
  Col 38: Mean=0.0029, Std=2.9653, Min=-8.0074, Max=8.7770, RMS=2.9653
  Col 39: Mean=0.0100, Std=2.9186, Min=-9.1002, Max=8.1662, RMS=2.9186
  Col 40: Mean=-0.0092, Std=1.6563, Min=-5.9477, Max=4.3290, RMS=1.6563
  Col 41: Mean=-0.0111, Std=2.3591, Min=-5.7460, Max=8.1917, RMS=2.3591
  Col 42: Mean=0.0249, Std=3.9177, Min=-11.8840, Max=9.9786, RMS=3.9178
  Col 43: Mean=-0.0104, Std=2.1716, Min=-6.3928, Max=6.2946, RMS=2.1717
  Col 44: Mean=-0.0184, Std=2.2786, Min=-6.4642, Max=8.3835, RMS=2.2787
  Col 45: Mean=-0.0026, Std=3.9463, Min=-18.5357, Max=10.7311, RMS=3.9463
  Col 46: Mean=0.0047, Std=1.5056, Min=-6.7069, Max=4.8880, RMS=1.5057
  Col 47: Mean=0.0018, Std=4.5163, Min=-11.4012, Max=14.4309, RMS=4.5163
  Col 48: Mean=-0.0032, Std=4.8542, Min=-14.4517, Max=18.3938, RMS=4.8542
  Col 49: Mean=-0.0430, Std=2.8877, Min=-7.8843, Max=12.0067, RMS=2.8880
  Col 50: Mean=-0.3475, Std=5.4396, Min=-13.9578, Max=20.0155, RMS=5.4507
  Col 51: Mean=0.0596, Std=7.7506, Min=-55.5241, Max=16.7690, RMS=7.7509
  Col 52: Mean=-0.0062, Std=3.3002, Min=-27.0563, Max=13.6163, RMS=3.3002
  Col 53: Mean=-0.0207, Std=8.5040, Min=-20.6483, Max=39.1821, RMS=8.5040
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0159, Std=2.7432, Min=-8.2072, Max=6.9222, RMS=2.7432
  Col 58: Mean=0.0024, Std=2.3833, Min=-8.5003, Max=9.7169, RMS=2.3833
  Col 59: Mean=0.0011, Std=4.5350, Min=-9.9419, Max=21.5009, RMS=4.5350
  Col 60: Mean=0.1141, Std=5.1625, Min=-17.5654, Max=18.6042, RMS=5.1638
  Col 61: Mean=0.0486, Std=3.4194, Min=-15.4860, Max=15.9002, RMS=3.4197
  Col 62: Mean=-0.1673, Std=5.3715, Min=-13.2893, Max=23.3924, RMS=5.3741
  Col 63: Mean=0.2068, Std=8.1468, Min=-57.5405, Max=26.5822, RMS=8.1495
  Col 64: Mean=0.0549, Std=4.9943, Min=-47.3687, Max=16.9293, RMS=4.9946
  Col 65: Mean=-0.0971, Std=8.6033, Min=-22.6875, Max=44.1682, RMS=8.6038
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=2.4883, Std=8.7218, Min=-14.6523, Max=19.0294, RMS=9.0698
  Col 1: Mean=-60.3293, Std=4.1204, Min=-69.8974, Max=-53.4229, RMS=60.4698
  Col 2: Mean=18.7462, Std=7.8628, Min=3.8127, Max=33.1633, RMS=20.3284
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=16.7696, Std=4.8025, Min=4.6897, Max=26.0446, RMS=17.4437
  Col 13: Mean=-69.7568, Std=3.6987, Min=-75.4006, Max=-60.6833, RMS=69.8547
