--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Carlotta/imu/stairs_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0185, Std=1.5542, Min=-4.4649, Max=3.5053, RMS=1.5543
  Col 1: Mean=-0.0020, Std=1.1556, Min=-3.8230, Max=3.3295, RMS=1.1556
  Col 2: Mean=0.0124, Std=2.9299, Min=-6.9561, Max=8.9592, RMS=2.9299
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0281, Std=1.0811, Min=-3.0422, Max=2.8327, RMS=1.0814
  Col 13: Mean=0.0049, Std=1.0970, Min=-3.5920, Max=2.7462, RMS=1.0971
  Col 14: Mean=-0.0008, Std=3.1846, Min=-7.2558, Max=7.8162, RMS=3.1846
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0275, Std=0.7303, Min=-1.8992, Max=2.1612, RMS=0.7308
  Col 19: Mean=0.0067, Std=0.8016, Min=-2.3320, Max=2.0654, RMS=0.8016
  Col 20: Mean=0.0031, Std=3.0004, Min=-6.6144, Max=9.0768, RMS=3.0004
  Col 21: Mean=0.0292, Std=1.0551, Min=-3.2686, Max=3.1254, RMS=1.0555
  Col 22: Mean=0.0005, Std=1.1144, Min=-3.4699, Max=3.1737, RMS=1.1144
  Col 23: Mean=0.0055, Std=3.0583, Min=-6.1689, Max=8.8625, RMS=3.0583
  Col 24: Mean=0.0338, Std=1.4617, Min=-3.6891, Max=3.4976, RMS=1.4621
  Col 25: Mean=-0.0035, Std=1.1854, Min=-5.1564, Max=3.7522, RMS=1.1854
  Col 26: Mean=-0.0002, Std=2.8129, Min=-6.4776, Max=7.2212, RMS=2.8129
  Col 27: Mean=0.0396, Std=2.3813, Min=-7.4246, Max=9.4248, RMS=2.3816
  Col 28: Mean=0.0046, Std=1.0744, Min=-3.7434, Max=3.1943, RMS=1.0744
  Col 29: Mean=0.0007, Std=2.5014, Min=-6.4873, Max=6.4974, RMS=2.5014
  Col 30: Mean=0.0436, Std=2.8344, Min=-9.2674, Max=9.5887, RMS=2.8348
  Col 31: Mean=0.0125, Std=1.2874, Min=-3.7542, Max=4.1187, RMS=1.2875
  Col 32: Mean=0.0003, Std=2.3599, Min=-5.0806, Max=6.8716, RMS=2.3599
  Col 33: Mean=0.0230, Std=1.0355, Min=-2.8815, Max=3.2699, RMS=1.0357
  Col 34: Mean=0.0046, Std=1.2933, Min=-3.8562, Max=3.7753, RMS=1.2933
  Col 35: Mean=0.0051, Std=3.0571, Min=-6.3186, Max=8.8911, RMS=3.0571
  Col 36: Mean=0.0115, Std=1.7407, Min=-5.8655, Max=4.8920, RMS=1.7408
  Col 37: Mean=-0.0020, Std=1.2462, Min=-2.8927, Max=3.6121, RMS=1.2462
  Col 38: Mean=-0.0115, Std=2.9015, Min=-6.7087, Max=7.8510, RMS=2.9015
  Col 39: Mean=-0.0075, Std=2.4385, Min=-5.4037, Max=6.9870, RMS=2.4386
  Col 40: Mean=-0.0334, Std=1.4630, Min=-4.0347, Max=4.2491, RMS=1.4634
  Col 41: Mean=-0.0353, Std=2.6202, Min=-6.5110, Max=7.3217, RMS=2.6205
  Col 42: Mean=-0.0255, Std=3.0762, Min=-7.3483, Max=7.6807, RMS=3.0763
  Col 43: Mean=-0.0419, Std=1.8330, Min=-4.4349, Max=7.0605, RMS=1.8335
  Col 44: Mean=-0.0551, Std=2.6869, Min=-7.9939, Max=8.7374, RMS=2.6874
  Col 45: Mean=0.0081, Std=3.8710, Min=-18.9122, Max=10.1630, RMS=3.8711
  Col 46: Mean=0.0060, Std=1.8989, Min=-10.1050, Max=6.4918, RMS=1.8989
  Col 47: Mean=-0.0051, Std=4.7073, Min=-11.2095, Max=19.2775, RMS=4.7073
  Col 48: Mean=0.1583, Std=5.0387, Min=-14.7645, Max=18.1864, RMS=5.0411
  Col 49: Mean=0.0425, Std=3.5618, Min=-10.2166, Max=15.2351, RMS=3.5621
  Col 50: Mean=-0.1902, Std=5.7940, Min=-13.3810, Max=29.4272, RMS=5.7971
  Col 51: Mean=0.1816, Std=7.1826, Min=-46.4258, Max=20.9346, RMS=7.1849
  Col 52: Mean=0.0915, Std=4.8828, Min=-45.1771, Max=14.8518, RMS=4.8837
  Col 53: Mean=-0.0629, Std=9.1898, Min=-20.2469, Max=48.1112, RMS=9.1900
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0406, Std=2.6319, Min=-10.7025, Max=7.9307, RMS=2.6322
  Col 58: Mean=-0.0051, Std=2.7238, Min=-12.4799, Max=6.6556, RMS=2.7238
