--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Carlotta/imu/walk/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0022, Std=1.9718, Min=-6.6044, Max=5.9417, RMS=1.9718
  Col 1: Mean=0.0042, Std=1.4712, Min=-5.7725, Max=4.3447, RMS=1.4712
  Col 2: Mean=0.0021, Std=2.5510, Min=-5.5373, Max=8.9778, RMS=2.5510
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0016, Std=0.8844, Min=-2.4744, Max=2.1958, RMS=0.8844
  Col 13: Mean=0.0079, Std=0.8026, Min=-1.9093, Max=3.2367, RMS=0.8026
  Col 14: Mean=0.0014, Std=2.4742, Min=-5.1853, Max=8.6291, RMS=2.4742
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0036, Std=0.5831, Min=-1.9677, Max=1.8448, RMS=0.5831
  Col 19: Mean=0.0031, Std=0.5037, Min=-1.2689, Max=1.5503, RMS=0.5037
  Col 20: Mean=0.0008, Std=2.3603, Min=-4.4649, Max=9.2783, RMS=2.3603
  Col 21: Mean=0.0030, Std=0.8752, Min=-2.3819, Max=2.2759, RMS=0.8752
  Col 22: Mean=0.0050, Std=0.8403, Min=-2.4237, Max=2.3552, RMS=0.8403
  Col 23: Mean=0.0030, Std=2.5594, Min=-5.0365, Max=7.7530, RMS=2.5594
  Col 24: Mean=0.0015, Std=1.5565, Min=-4.6781, Max=4.1785, RMS=1.5565
  Col 25: Mean=0.0177, Std=0.8714, Min=-2.6964, Max=3.5314, RMS=0.8716
  Col 26: Mean=-0.0019, Std=2.5229, Min=-5.1559, Max=7.2206, RMS=2.5229
  Col 27: Mean=-0.0102, Std=2.4910, Min=-6.3311, Max=6.8234, RMS=2.4910
  Col 28: Mean=0.0006, Std=0.7650, Min=-2.2330, Max=2.8810, RMS=0.7650
  Col 29: Mean=-0.0023, Std=2.3192, Min=-5.0516, Max=7.1630, RMS=2.3192
  Col 30: Mean=0.0023, Std=3.2839, Min=-8.6421, Max=9.2725, RMS=3.2839
  Col 31: Mean=0.0007, Std=1.0719, Min=-3.6288, Max=3.0563, RMS=1.0719
  Col 32: Mean=-0.0442, Std=2.2588, Min=-8.5427, Max=6.3308, RMS=2.2593
  Col 33: Mean=0.0010, Std=0.9094, Min=-3.1127, Max=2.8905, RMS=0.9094
  Col 34: Mean=0.0037, Std=0.8761, Min=-2.8297, Max=2.7915, RMS=0.8761
  Col 35: Mean=0.0027, Std=2.4204, Min=-4.3183, Max=8.1422, RMS=2.4204
  Col 36: Mean=0.0010, Std=1.7764, Min=-4.9152, Max=6.9213, RMS=1.7764
  Col 37: Mean=-0.0047, Std=1.1710, Min=-3.4283, Max=2.9206, RMS=1.1710
  Col 38: Mean=-0.0084, Std=2.4970, Min=-4.9292, Max=8.1606, RMS=2.4970
  Col 39: Mean=-0.0067, Std=2.8650, Min=-6.5837, Max=6.7695, RMS=2.8650
  Col 40: Mean=0.0213, Std=1.1958, Min=-3.1717, Max=2.5537, RMS=1.1960
  Col 41: Mean=-0.0060, Std=2.2677, Min=-4.3178, Max=7.8958, RMS=2.2677
  Col 42: Mean=-0.0152, Std=4.1273, Min=-10.0064, Max=10.3740, RMS=4.1274
  Col 43: Mean=0.0255, Std=1.6563, Min=-3.9801, Max=4.4759, RMS=1.6564
