--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Carlotta/imu/walk/Run_6
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0042, Std=2.0713, Min=-6.4543, Max=6.5714, RMS=2.0713
  Col 1: Mean=-0.0006, Std=1.7720, Min=-6.4855, Max=6.0517, RMS=1.7720
  Col 2: Mean=0.0045, Std=3.0559, Min=-6.3892, Max=10.0261, RMS=3.0559
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0077, Std=1.0166, Min=-3.0190, Max=3.0641, RMS=1.0166
  Col 13: Mean=0.0024, Std=0.9024, Min=-2.2290, Max=2.5203, RMS=0.9024
  Col 14: Mean=0.0024, Std=2.9162, Min=-7.0525, Max=9.4482, RMS=2.9162
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0020, Std=0.5974, Min=-2.0421, Max=1.7789, RMS=0.5974
  Col 19: Mean=-0.0042, Std=0.5832, Min=-1.6428, Max=1.7742, RMS=0.5832
  Col 20: Mean=0.0035, Std=2.8234, Min=-5.6859, Max=10.0093, RMS=2.8234
  Col 21: Mean=0.0098, Std=0.9462, Min=-2.8714, Max=2.3639, RMS=0.9462
  Col 22: Mean=-0.0022, Std=1.0215, Min=-2.9595, Max=3.0319, RMS=1.0215
  Col 23: Mean=0.0045, Std=3.0224, Min=-5.6627, Max=9.8227, RMS=3.0224
  Col 24: Mean=0.0049, Std=1.6841, Min=-4.2600, Max=4.1902, RMS=1.6841
  Col 25: Mean=0.0129, Std=1.0159, Min=-3.1486, Max=3.5607, RMS=1.0160
  Col 26: Mean=-0.0009, Std=2.8368, Min=-6.7919, Max=7.8197, RMS=2.8368
  Col 27: Mean=-0.0109, Std=3.0996, Min=-13.0644, Max=7.5662, RMS=3.0996
  Col 28: Mean=-0.0065, Std=1.0129, Min=-6.8310, Max=8.6208, RMS=1.0129
  Col 29: Mean=-0.0020, Std=2.4372, Min=-5.1116, Max=8.5414, RMS=2.4372
  Col 30: Mean=0.0588, Std=4.0777, Min=-10.8575, Max=11.6454, RMS=4.0781
  Col 31: Mean=-0.0005, Std=1.3700, Min=-4.6436, Max=4.5266, RMS=1.3700
  Col 32: Mean=-0.2177, Std=2.5503, Min=-8.9092, Max=6.7747, RMS=2.5596
  Col 33: Mean=0.0066, Std=1.0519, Min=-3.5659, Max=3.3042, RMS=1.0519
