--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Chiara/imu/slope_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0018, Std=1.1577, Min=-3.9302, Max=5.0444, RMS=1.1577
  Col 1: Mean=-0.0001, Std=1.4621, Min=-3.6353, Max=3.7827, RMS=1.4621
  Col 2: Mean=0.0168, Std=1.6861, Min=-3.7049, Max=7.3518, RMS=1.6862
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0004, Std=0.6433, Min=-1.7990, Max=1.9614, RMS=0.6433
  Col 13: Mean=0.0047, Std=0.6901, Min=-1.4446, Max=2.0086, RMS=0.6902
  Col 14: Mean=0.0147, Std=1.6209, Min=-3.4169, Max=6.1590, RMS=1.6210
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0027, Std=0.5810, Min=-1.7555, Max=1.7044, RMS=0.5810
  Col 19: Mean=0.0085, Std=0.5435, Min=-1.0407, Max=2.1062, RMS=0.5436
  Col 20: Mean=0.0002, Std=1.6583, Min=-3.6179, Max=6.1328, RMS=1.6583
  Col 21: Mean=-0.0159, Std=0.7902, Min=-2.4376, Max=2.4509, RMS=0.7904
  Col 22: Mean=0.0031, Std=0.6802, Min=-1.4793, Max=1.7255, RMS=0.6803
  Col 23: Mean=-0.0579, Std=2.0678, Min=-8.8790, Max=7.3376, RMS=2.0686
  Col 24: Mean=-0.0052, Std=0.7843, Min=-2.6516, Max=1.8288, RMS=0.7843
  Col 25: Mean=0.0079, Std=1.3239, Min=-3.1565, Max=5.8612, RMS=1.3239
  Col 26: Mean=0.0089, Std=1.8148, Min=-3.3627, Max=7.5007, RMS=1.8149
  Col 27: Mean=-0.0078, Std=0.9543, Min=-2.7861, Max=2.4598, RMS=0.9543
  Col 28: Mean=-0.0037, Std=1.1823, Min=-2.8832, Max=2.7198, RMS=1.1823
  Col 29: Mean=0.0066, Std=1.9330, Min=-3.3753, Max=8.3646, RMS=1.9330
  Col 30: Mean=-0.0091, Std=1.2913, Min=-3.3733, Max=3.9281, RMS=1.2913
