--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Chiara/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0025, Std=1.2790, Min=-3.1710, Max=5.4414, RMS=1.2790
  Col 1: Mean=-0.0041, Std=1.5847, Min=-4.0473, Max=4.5107, RMS=1.5847
  Col 2: Mean=0.0269, Std=1.8882, Min=-4.1417, Max=7.9953, RMS=1.8884
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0023, Std=0.7713, Min=-1.8984, Max=2.3518, RMS=0.7713
  Col 13: Mean=-0.0021, Std=0.7445, Min=-1.6162, Max=1.6897, RMS=0.7445
  Col 14: Mean=0.0165, Std=1.7963, Min=-3.5094, Max=5.7851, RMS=1.7964
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0029, Std=0.6273, Min=-1.5051, Max=2.0883, RMS=0.6273
  Col 19: Mean=0.0127, Std=0.5814, Min=-1.2882, Max=1.5233, RMS=0.5815
  Col 20: Mean=0.0014, Std=1.7715, Min=-2.6389, Max=7.1086, RMS=1.7715
  Col 21: Mean=-0.0078, Std=0.9360, Min=-2.2302, Max=2.6978, RMS=0.9360
  Col 22: Mean=-0.0051, Std=0.7214, Min=-1.5650, Max=2.0750, RMS=0.7214
  Col 23: Mean=0.0183, Std=2.0498, Min=-3.2595, Max=7.9330, RMS=2.0498
  Col 24: Mean=-0.0047, Std=0.9083, Min=-2.5524, Max=1.9152, RMS=0.9083
  Col 25: Mean=-0.0008, Std=1.3896, Min=-2.9846, Max=5.3742, RMS=1.3896
  Col 26: Mean=0.0063, Std=1.9892, Min=-3.6919, Max=7.0311, RMS=1.9892
  Col 27: Mean=0.0013, Std=1.1236, Min=-2.7075, Max=2.9848, RMS=1.1236
  Col 28: Mean=-0.0027, Std=1.4002, Min=-4.1125, Max=3.2138, RMS=1.4002
  Col 29: Mean=-0.0059, Std=2.0652, Min=-3.5236, Max=8.2980, RMS=2.0652
  Col 30: Mean=0.0059, Std=1.4779, Min=-3.0137, Max=4.2474, RMS=1.4779
  Col 31: Mean=0.0009, Std=1.8037, Min=-4.1608, Max=4.6709, RMS=1.8037
  Col 32: Mean=-0.0085, Std=2.0749, Min=-3.9937, Max=8.1210, RMS=2.0749
  Col 33: Mean=-0.0054, Std=0.7194, Min=-1.7133, Max=1.9318, RMS=0.7194
  Col 34: Mean=-0.0015, Std=0.9472, Min=-2.4101, Max=2.6366, RMS=0.9472
  Col 35: Mean=0.0166, Std=1.9646, Min=-3.5850, Max=7.5132, RMS=1.9647
  Col 36: Mean=0.0060, Std=0.8266, Min=-1.7947, Max=2.8277, RMS=0.8266
  Col 37: Mean=0.0228, Std=1.6414, Min=-3.9097, Max=5.7071, RMS=1.6415
  Col 38: Mean=-0.0679, Std=2.2259, Min=-8.9818, Max=8.6295, RMS=2.2270
  Col 39: Mean=0.0041, Std=0.8294, Min=-1.9895, Max=2.8361, RMS=0.8294
  Col 40: Mean=0.0022, Std=1.9429, Min=-5.0341, Max=4.6603, RMS=1.9429
  Col 41: Mean=0.0107, Std=2.0279, Min=-3.2611, Max=7.0792, RMS=2.0279
  Col 42: Mean=-0.0033, Std=1.0236, Min=-2.6390, Max=3.8777, RMS=1.0236
  Col 43: Mean=-0.0028, Std=2.8049, Min=-7.1598, Max=8.2083, RMS=2.8049
  Col 44: Mean=0.0014, Std=2.1520, Min=-4.1406, Max=6.2463, RMS=2.1520
  Col 45: Mean=0.0229, Std=2.5266, Min=-6.6842, Max=9.5461, RMS=2.5267
  Col 46: Mean=0.0044, Std=2.7425, Min=-6.4075, Max=13.3105, RMS=2.7425
  Col 47: Mean=0.0168, Std=4.0852, Min=-10.4466, Max=21.3556, RMS=4.0852
  Col 48: Mean=-0.0163, Std=3.2957, Min=-13.3284, Max=16.4096, RMS=3.2958
  Col 49: Mean=-0.0395, Std=4.3717, Min=-17.3433, Max=13.2134, RMS=4.3719
