--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Chiara/imu/slope_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0065, Std=0.9077, Min=-4.3121, Max=2.6491, RMS=0.9077
  Col 1: Mean=-0.0028, Std=1.5186, Min=-3.8703, Max=5.8829, RMS=1.5186
  Col 2: Mean=-0.0014, Std=1.4800, Min=-2.6093, Max=6.3948, RMS=1.4800
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0005, Std=0.5698, Min=-1.7630, Max=1.5755, RMS=0.5698
  Col 13: Mean=-0.0002, Std=0.8283, Min=-2.0267, Max=1.7270, RMS=0.8283
  Col 14: Mean=-0.0049, Std=1.6059, Min=-3.1847, Max=6.1308, RMS=1.6059
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0027, Std=0.4662, Min=-1.4225, Max=1.1024, RMS=0.4662
  Col 19: Mean=-0.0005, Std=0.5918, Min=-1.4326, Max=1.2536, RMS=0.5918
  Col 20: Mean=-0.0160, Std=1.5225, Min=-6.1033, Max=6.1404, RMS=1.5225
  Col 21: Mean=-0.0018, Std=0.7067, Min=-1.9129, Max=2.1015, RMS=0.7067
  Col 22: Mean=-0.0024, Std=0.7968, Min=-2.0154, Max=1.8619, RMS=0.7968
  Col 23: Mean=-0.0050, Std=1.5220, Min=-3.4548, Max=6.2402, RMS=1.5221
  Col 24: Mean=0.0015, Std=0.6517, Min=-1.7454, Max=1.7686, RMS=0.6517
  Col 25: Mean=-0.0021, Std=1.1029, Min=-4.3640, Max=2.4565, RMS=1.1029
  Col 26: Mean=-0.0096, Std=1.6380, Min=-2.7791, Max=6.6668, RMS=1.6380
  Col 27: Mean=-0.0149, Std=0.8186, Min=-1.6379, Max=2.3336, RMS=0.8187
  Col 28: Mean=-0.0192, Std=1.0601, Min=-2.4698, Max=3.3478, RMS=1.0602
  Col 29: Mean=-0.3223, Std=2.2643, Min=-8.9243, Max=7.1481, RMS=2.2871
  Col 30: Mean=0.0058, Std=1.0836, Min=-2.0352, Max=3.0922, RMS=1.0836
  Col 31: Mean=0.0170, Std=1.5329, Min=-3.6222, Max=3.7205, RMS=1.5330
  Col 32: Mean=-0.0183, Std=1.8162, Min=-2.7330, Max=6.9337, RMS=1.8163
  Col 33: Mean=-0.0007, Std=0.5750, Min=-1.5085, Max=1.4208, RMS=0.5750
  Col 34: Mean=-0.0013, Std=0.9387, Min=-3.2482, Max=2.4928, RMS=0.9387
  Col 35: Mean=-0.0027, Std=1.4797, Min=-1.9870, Max=5.9522, RMS=1.4797
  Col 36: Mean=-0.0054, Std=0.6186, Min=-2.4501, Max=1.7978, RMS=0.6186
  Col 37: Mean=0.0001, Std=1.2513, Min=-4.5116, Max=2.9145, RMS=1.2513
  Col 38: Mean=-0.0069, Std=1.6511, Min=-2.6910, Max=6.4689, RMS=1.6511
  Col 39: Mean=-0.0022, Std=0.5652, Min=-1.4835, Max=1.6856, RMS=0.5652
