--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Chiara/imu/slope_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0011, Std=1.2331, Min=-6.3164, Max=3.9756, RMS=1.2331
  Col 1: Mean=0.0073, Std=1.9763, Min=-6.5037, Max=5.9967, RMS=1.9763
  Col 2: Mean=-0.0127, Std=1.9481, Min=-4.7782, Max=7.2928, RMS=1.9481
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0019, Std=0.8790, Min=-3.0450, Max=2.3982, RMS=0.8790
  Col 13: Mean=0.0078, Std=1.1218, Min=-2.7962, Max=2.1643, RMS=1.1218
  Col 14: Mean=-0.0109, Std=2.0844, Min=-3.3343, Max=6.7211, RMS=2.0844
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0136, Std=0.6258, Min=-2.2792, Max=1.3385, RMS=0.6259
