--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Chiara/imu/stairs_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0059, Std=1.9578, Min=-7.8644, Max=8.4312, RMS=1.9578
  Col 1: Mean=0.0002, Std=2.6307, Min=-11.8664, Max=15.8080, RMS=2.6307
  Col 2: Mean=0.0066, Std=3.4737, Min=-6.3109, Max=17.3945, RMS=3.4737
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0133, Std=0.7815, Min=-2.9245, Max=3.3940, RMS=0.7816
  Col 13: Mean=-0.0210, Std=0.7555, Min=-2.5849, Max=1.9686, RMS=0.7558
  Col 14: Mean=-0.6636, Std=3.9284, Min=-9.2437, Max=13.0558, RMS=3.9841
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0139, Std=0.7489, Min=-1.9637, Max=4.0112, RMS=0.7490
  Col 19: Mean=-0.0096, Std=0.6274, Min=-1.8401, Max=1.5862, RMS=0.6274
  Col 20: Mean=0.0057, Std=2.7824, Min=-5.2805, Max=13.5095, RMS=2.7824
  Col 21: Mean=0.0165, Std=0.8644, Min=-4.7722, Max=2.7551, RMS=0.8645
  Col 22: Mean=-0.0079, Std=1.1034, Min=-3.5221, Max=4.5414, RMS=1.1035
  Col 23: Mean=0.0066, Std=3.5118, Min=-6.1573, Max=18.3873, RMS=3.5118
  Col 24: Mean=0.0015, Std=1.8449, Min=-8.4515, Max=4.8554, RMS=1.8449
  Col 25: Mean=-0.0116, Std=1.0137, Min=-2.9139, Max=4.3244, RMS=1.0138
  Col 26: Mean=-0.0024, Std=3.3691, Min=-5.5327, Max=14.1996, RMS=3.3691
  Col 27: Mean=0.0118, Std=1.2055, Min=-2.9917, Max=3.3626, RMS=1.2055
  Col 28: Mean=-0.0043, Std=1.3350, Min=-3.4323, Max=4.9520, RMS=1.3350
  Col 29: Mean=-0.0020, Std=3.3467, Min=-5.6819, Max=13.4972, RMS=3.3467
  Col 30: Mean=-0.0001, Std=1.4710, Min=-4.6198, Max=4.3034, RMS=1.4710
  Col 31: Mean=-0.0214, Std=1.6049, Min=-4.7406, Max=5.5767, RMS=1.6051
  Col 32: Mean=-0.5010, Std=3.8159, Min=-9.0023, Max=12.0722, RMS=3.8486
  Col 33: Mean=0.0188, Std=1.1058, Min=-4.1305, Max=4.2331, RMS=1.1060
  Col 34: Mean=-0.0055, Std=1.0052, Min=-4.4387, Max=2.7774, RMS=1.0052
  Col 35: Mean=0.0058, Std=3.4005, Min=-5.6428, Max=16.2096, RMS=3.4005
  Col 36: Mean=0.0028, Std=1.9914, Min=-6.3012, Max=7.1243, RMS=1.9914
  Col 37: Mean=0.0090, Std=1.3028, Min=-3.7605, Max=7.3883, RMS=1.3028
  Col 38: Mean=-0.0064, Std=3.5521, Min=-5.6192, Max=15.8300, RMS=3.5521
  Col 39: Mean=0.0101, Std=1.8380, Min=-5.1763, Max=4.9864, RMS=1.8380
  Col 40: Mean=-0.0071, Std=0.9958, Min=-3.3246, Max=3.3433, RMS=0.9958
  Col 41: Mean=-0.0071, Std=3.5030, Min=-5.4422, Max=16.3052, RMS=3.5030
  Col 42: Mean=0.0095, Std=2.7446, Min=-8.3242, Max=7.5458, RMS=2.7447
  Col 43: Mean=-0.0286, Std=1.3694, Min=-4.3515, Max=4.4998, RMS=1.3697
  Col 44: Mean=-0.0217, Std=3.4488, Min=-6.0510, Max=15.0361, RMS=3.4488
  Col 45: Mean=-0.0164, Std=3.0556, Min=-17.7958, Max=23.4421, RMS=3.0557
  Col 46: Mean=0.0140, Std=2.9049, Min=-19.9259, Max=14.3402, RMS=2.9050
  Col 47: Mean=0.0126, Std=5.9807, Min=-13.6980, Max=42.1563, RMS=5.9807
  Col 48: Mean=0.0754, Std=4.6571, Min=-13.3114, Max=19.0374, RMS=4.6577
  Col 49: Mean=-0.0207, Std=3.4132, Min=-15.8289, Max=16.3948, RMS=3.4133
  Col 50: Mean=-0.3153, Std=5.6994, Min=-12.3565, Max=40.2234, RMS=5.7082
  Col 51: Mean=0.0813, Std=8.9442, Min=-52.5973, Max=40.2935, RMS=8.9446
  Col 52: Mean=-0.0782, Std=4.6197, Min=-30.5181, Max=36.5735, RMS=4.6204
  Col 53: Mean=-0.0029, Std=7.2526, Min=-24.9137, Max=54.3216, RMS=7.2526
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0854, Std=3.2262, Min=-16.0657, Max=19.9187, RMS=3.2273
  Col 58: Mean=0.0202, Std=2.8348, Min=-12.7375, Max=15.0551, RMS=2.8349
  Col 59: Mean=-0.2058, Std=5.9101, Min=-13.5659, Max=43.8579, RMS=5.9137
  Col 60: Mean=0.0685, Std=5.1503, Min=-13.9786, Max=28.6772, RMS=5.1507
  Col 61: Mean=-0.0009, Std=2.9140, Min=-14.3053, Max=9.6493, RMS=2.9140
  Col 62: Mean=-0.1071, Std=4.9924, Min=-10.6938, Max=33.3571, RMS=4.9936
  Col 63: Mean=0.1489, Std=7.7942, Min=-24.7120, Max=31.8484, RMS=7.7956
  Col 64: Mean=0.0231, Std=6.0638, Min=-42.6898, Max=57.0282, RMS=6.0638
  Col 65: Mean=-0.0564, Std=8.3573, Min=-30.6253, Max=82.9515, RMS=8.3575
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=3.4525, Std=13.0115, Min=-30.3862, Max=40.3364, RMS=13.4618
  Col 1: Mean=-78.6139, Std=2.1337, Min=-83.7134, Max=-71.4226, RMS=78.6428
  Col 2: Mean=-10.6859, Std=12.3128, Min=-43.0441, Max=22.0085, RMS=16.3032
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-34.4041, Std=43.6331, Min=-179.4406, Max=-12.1142, RMS=55.5652
  Col 13: Mean=-61.6689, Std=16.8754, Min=-70.2861, Max=-5.6668, RMS=63.9362
  Col 14: Mean=-167.0291, Std=5.6725, Min=-179.6655, Max=-155.5714, RMS=167.1254
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
