--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Chiara/imu/stairs_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0176, Std=2.0675, Min=-8.6895, Max=6.6330, RMS=2.0676
  Col 1: Mean=0.0364, Std=1.3741, Min=-4.7041, Max=5.4168, RMS=1.3746
  Col 2: Mean=-0.2455, Std=3.2562, Min=-9.1840, Max=8.1476, RMS=3.2654
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0032, Std=0.9214, Min=-2.4340, Max=3.6173, RMS=0.9214
  Col 13: Mean=0.0019, Std=0.9273, Min=-2.8996, Max=2.3319, RMS=0.9273
  Col 14: Mean=0.0004, Std=2.7246, Min=-5.2124, Max=7.4892, RMS=2.7246
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0039, Std=0.7304, Min=-2.2222, Max=3.1023, RMS=0.7304
  Col 19: Mean=0.0048, Std=0.6388, Min=-1.7128, Max=1.9217, RMS=0.6388
  Col 20: Mean=-0.0240, Std=2.3101, Min=-4.0889, Max=8.7164, RMS=2.3102
  Col 21: Mean=0.0011, Std=0.9677, Min=-1.9791, Max=3.6390, RMS=0.9677
  Col 22: Mean=0.0009, Std=0.9488, Min=-3.4085, Max=2.0680, RMS=0.9488
  Col 23: Mean=-0.0012, Std=2.5267, Min=-4.8394, Max=8.5777, RMS=2.5267
  Col 24: Mean=0.0057, Std=1.5303, Min=-3.2978, Max=5.5806, RMS=1.5304
  Col 25: Mean=0.0054, Std=0.8940, Min=-3.8594, Max=1.9416, RMS=0.8940
  Col 26: Mean=-0.0039, Std=2.6016, Min=-5.1510, Max=7.9169, RMS=2.6016
  Col 27: Mean=0.0052, Std=2.1193, Min=-5.2483, Max=6.9929, RMS=2.1193
  Col 28: Mean=0.0099, Std=0.9233, Min=-2.8028, Max=2.3625, RMS=0.9234
  Col 29: Mean=-0.0065, Std=2.4180, Min=-5.1287, Max=8.9597, RMS=2.4181
  Col 30: Mean=0.0124, Std=2.6266, Min=-6.5471, Max=9.0975, RMS=2.6266
  Col 31: Mean=0.0128, Std=1.1717, Min=-3.5904, Max=3.3190, RMS=1.1717
  Col 32: Mean=-0.0129, Std=2.2911, Min=-5.4237, Max=8.8808, RMS=2.2911
  Col 33: Mean=-0.0017, Std=1.1051, Min=-3.9350, Max=4.6081, RMS=1.1052
  Col 34: Mean=-0.0009, Std=0.8856, Min=-3.0182, Max=2.2347, RMS=0.8856
  Col 35: Mean=0.0021, Std=2.4991, Min=-4.5452, Max=8.6789, RMS=2.4991
  Col 36: Mean=-0.0024, Std=1.7768, Min=-4.3162, Max=5.9738, RMS=1.7768
  Col 37: Mean=-0.0017, Std=1.0100, Min=-3.0645, Max=2.2048, RMS=1.0100
  Col 38: Mean=-0.0012, Std=2.6088, Min=-5.1783, Max=9.0292, RMS=2.6088
  Col 39: Mean=-0.0225, Std=2.9379, Min=-7.6277, Max=8.4485, RMS=2.9380
  Col 40: Mean=0.0028, Std=0.6065, Min=-2.1278, Max=1.4753, RMS=0.6065
  Col 41: Mean=-0.0093, Std=2.0836, Min=-4.2943, Max=8.0822, RMS=2.0836
  Col 42: Mean=-0.0184, Std=4.0586, Min=-11.9891, Max=10.0190, RMS=4.0586
  Col 43: Mean=0.0038, Std=0.6901, Min=-3.3803, Max=1.6476, RMS=0.6901
  Col 44: Mean=-0.0570, Std=1.9575, Min=-8.3043, Max=7.0707, RMS=1.9583
  Col 45: Mean=-0.0192, Std=2.9109, Min=-8.8425, Max=13.3816, RMS=2.9109
  Col 46: Mean=-0.0060, Std=2.3291, Min=-10.5162, Max=8.3592, RMS=2.3291
