--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Chiara/imu/walk/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0002, Std=1.9385, Min=-6.3247, Max=4.6514, RMS=1.9385
  Col 1: Mean=0.0038, Std=1.6594, Min=-4.7489, Max=4.6438, RMS=1.6594
  Col 2: Mean=0.0094, Std=2.4827, Min=-4.8158, Max=7.4531, RMS=2.4827
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0046, Std=0.7982, Min=-2.1092, Max=1.7527, RMS=0.7982
  Col 13: Mean=-0.0006, Std=1.0869, Min=-2.5808, Max=2.4280, RMS=1.0869
  Col 14: Mean=0.0010, Std=2.3473, Min=-4.0274, Max=7.0252, RMS=2.3473
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0002, Std=0.4685, Min=-1.2744, Max=1.5532, RMS=0.4685
  Col 19: Mean=-0.0021, Std=0.6189, Min=-1.7358, Max=2.0178, RMS=0.6189
  Col 20: Mean=-0.0067, Std=2.1377, Min=-4.0298, Max=7.5879, RMS=2.1377
  Col 21: Mean=-0.0047, Std=0.8543, Min=-2.6988, Max=2.4164, RMS=0.8543
  Col 22: Mean=-0.0004, Std=0.9082, Min=-2.5836, Max=2.3212, RMS=0.9082
  Col 23: Mean=0.0003, Std=2.1605, Min=-4.1360, Max=7.7492, RMS=2.1605
  Col 24: Mean=-0.0066, Std=1.6369, Min=-4.5127, Max=4.5324, RMS=1.6370
  Col 25: Mean=-0.0093, Std=0.9553, Min=-2.9327, Max=3.7907, RMS=0.9554
  Col 26: Mean=-0.0089, Std=2.0745, Min=-3.8071, Max=7.5348, RMS=2.0745
  Col 27: Mean=-0.0036, Std=3.9131, Min=-8.0673, Max=8.4780, RMS=3.9131
  Col 28: Mean=-0.0091, Std=0.7884, Min=-2.5426, Max=1.7580, RMS=0.7885
  Col 29: Mean=-0.0169, Std=1.4843, Min=-4.4586, Max=5.6407, RMS=1.4844
  Col 30: Mean=-0.0019, Std=5.1911, Min=-12.0592, Max=12.6683, RMS=5.1911
  Col 31: Mean=-0.0088, Std=1.1019, Min=-3.2209, Max=2.7429, RMS=1.1020
  Col 32: Mean=-0.0601, Std=1.8340, Min=-8.3634, Max=4.9930, RMS=1.8350
  Col 33: Mean=-0.0044, Std=0.9000, Min=-2.9817, Max=2.2059, RMS=0.9000
  Col 34: Mean=-0.0001, Std=0.9315, Min=-2.7775, Max=2.5450, RMS=0.9315
  Col 35: Mean=0.0018, Std=2.1480, Min=-3.9007, Max=7.2494, RMS=2.1480
  Col 36: Mean=-0.0104, Std=2.0639, Min=-5.8866, Max=4.1943, RMS=2.0639
  Col 37: Mean=0.0108, Std=1.2677, Min=-3.0192, Max=3.9055, RMS=1.2678
  Col 38: Mean=-0.0135, Std=1.9720, Min=-3.7656, Max=7.1267, RMS=1.9720
  Col 39: Mean=-0.0156, Std=4.3656, Min=-8.3055, Max=9.2680, RMS=4.3656
  Col 40: Mean=0.0096, Std=1.2513, Min=-2.4406, Max=3.5271, RMS=1.2514
  Col 41: Mean=-0.0216, Std=1.4790, Min=-5.6104, Max=4.8254, RMS=1.4792
  Col 42: Mean=0.0013, Std=6.0320, Min=-11.9641, Max=14.7752, RMS=6.0320
  Col 43: Mean=0.0082, Std=1.8375, Min=-3.8336, Max=7.1310, RMS=1.8376
  Col 44: Mean=-0.0604, Std=2.3532, Min=-8.3100, Max=6.5047, RMS=2.3539
  Col 45: Mean=-0.0162, Std=4.3377, Min=-13.4600, Max=16.9859, RMS=4.3378
  Col 46: Mean=0.0258, Std=2.8865, Min=-9.7216, Max=13.3388, RMS=2.8867
  Col 47: Mean=-0.2792, Std=6.3503, Min=-12.8438, Max=37.2729, RMS=6.3564
  Col 48: Mean=0.0776, Std=6.7859, Min=-14.3250, Max=22.4923, RMS=6.7864
  Col 49: Mean=-0.0041, Std=3.1966, Min=-14.7419, Max=9.8328, RMS=3.1966
  Col 50: Mean=-0.1906, Std=3.7533, Min=-10.0771, Max=14.8071, RMS=3.7581
  Col 51: Mean=0.7463, Std=11.5728, Min=-47.3252, Max=41.8708, RMS=11.5969
  Col 52: Mean=-0.0244, Std=4.7803, Min=-35.1845, Max=33.5683, RMS=4.7804
  Col 53: Mean=-0.1241, Std=7.7404, Min=-42.5084, Max=24.9697, RMS=7.7414
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0452, Std=4.1756, Min=-12.0308, Max=17.2201, RMS=4.1759
  Col 58: Mean=-0.0110, Std=2.8387, Min=-9.4664, Max=8.1612, RMS=2.8388
  Col 59: Mean=-0.0861, Std=6.2059, Min=-13.7412, Max=33.3228, RMS=6.2065
  Col 60: Mean=0.0831, Std=6.4346, Min=-15.5161, Max=19.5654, RMS=6.4351
  Col 61: Mean=0.0089, Std=3.3341, Min=-13.9870, Max=12.7968, RMS=3.3341
  Col 62: Mean=-0.5105, Std=3.8551, Min=-9.3441, Max=14.4527, RMS=3.8888
  Col 63: Mean=0.1185, Std=12.7099, Min=-47.0451, Max=46.8139, RMS=12.7104
  Col 64: Mean=0.0219, Std=4.1349, Min=-24.0158, Max=21.7622, RMS=4.1349
  Col 65: Mean=-0.2954, Std=8.5436, Min=-46.0671, Max=25.2785, RMS=8.5487
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-2.6293, Std=10.2134, Min=-33.6784, Max=14.6491, RMS=10.5464
  Col 1: Mean=-72.3430, Std=3.3655, Min=-81.3125, Max=-63.3069, RMS=72.4212
  Col 2: Mean=13.1523, Std=11.3610, Min=-9.9842, Max=40.6994, RMS=17.3797
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
