--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Chiara/imu/walk/Run_6
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0006, Std=2.0973, Min=-7.2644, Max=5.9603, RMS=2.0973
  Col 1: Mean=0.0009, Std=1.9094, Min=-5.5265, Max=5.7202, RMS=1.9094
  Col 2: Mean=0.0050, Std=2.6712, Min=-5.4036, Max=7.3336, RMS=2.6712
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0053, Std=0.8505, Min=-2.1021, Max=1.9155, RMS=0.8505
  Col 13: Mean=-0.0040, Std=1.0811, Min=-2.9603, Max=2.4250, RMS=1.0811
  Col 14: Mean=0.0010, Std=2.5095, Min=-4.7176, Max=7.6036, RMS=2.5095
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0052, Std=0.4420, Min=-1.1025, Max=1.5879, RMS=0.4421
  Col 19: Mean=-0.0036, Std=0.5901, Min=-1.5825, Max=1.6756, RMS=0.5901
  Col 20: Mean=-0.0042, Std=2.3764, Min=-4.5866, Max=7.9569, RMS=2.3764
  Col 21: Mean=-0.0069, Std=0.9177, Min=-2.4300, Max=2.8560, RMS=0.9178
  Col 22: Mean=-0.0038, Std=0.9242, Min=-2.6375, Max=2.9454, RMS=0.9243
