--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Diego/imu/slope_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0001, Std=1.5250, Min=-8.2246, Max=5.6762, RMS=1.5250
  Col 1: Mean=0.0017, Std=2.1610, Min=-10.2126, Max=12.6476, RMS=2.1610
  Col 2: Mean=0.0122, Std=2.8110, Min=-6.1405, Max=14.1884, RMS=2.8110
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0036, Std=1.0979, Min=-2.9457, Max=2.1861, RMS=1.0979
  Col 13: Mean=-0.0076, Std=1.0774, Min=-3.8584, Max=4.2295, RMS=1.0775
  Col 14: Mean=-0.1651, Std=2.7519, Min=-9.0965, Max=10.1765, RMS=2.7569
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0011, Std=0.9735, Min=-2.7108, Max=4.7131, RMS=0.9735
  Col 19: Mean=-0.0218, Std=1.1634, Min=-3.2708, Max=3.7768, RMS=1.1636
  Col 20: Mean=0.0114, Std=3.1110, Min=-5.3135, Max=19.9182, RMS=3.1110
