--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Diego/imu/slope_down/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0080, Std=1.5615, Min=-6.4076, Max=5.7153, RMS=1.5615
  Col 1: Mean=-0.0185, Std=2.0485, Min=-9.1407, Max=13.4447, RMS=2.0486
  Col 2: Mean=0.0161, Std=2.9963, Min=-6.8786, Max=17.9725, RMS=2.9963
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0228, Std=1.0889, Min=-4.4088, Max=2.2288, RMS=1.0892
  Col 13: Mean=-0.0436, Std=1.0342, Min=-3.5720, Max=3.6947, RMS=1.0351
  Col 14: Mean=-0.3868, Std=3.0759, Min=-9.3000, Max=9.5947, RMS=3.1001
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0112, Std=0.9973, Min=-4.0570, Max=2.8446, RMS=0.9973
  Col 19: Mean=-0.0358, Std=1.0461, Min=-3.0514, Max=3.1089, RMS=1.0467
  Col 20: Mean=0.0242, Std=3.1615, Min=-6.0942, Max=17.9252, RMS=3.1616
  Col 21: Mean=-0.0198, Std=1.1994, Min=-6.5414, Max=3.2237, RMS=1.1995
  Col 22: Mean=-0.0349, Std=1.2314, Min=-4.5595, Max=5.4461, RMS=1.2319
  Col 23: Mean=0.0086, Std=2.6658, Min=-4.9055, Max=15.9820, RMS=2.6658
  Col 24: Mean=-0.0367, Std=2.1139, Min=-5.4922, Max=6.7058, RMS=2.1143
  Col 25: Mean=-0.0574, Std=1.0597, Min=-3.1366, Max=4.7347, RMS=1.0613
  Col 26: Mean=0.0004, Std=2.4270, Min=-5.0518, Max=9.6451, RMS=2.4270
  Col 27: Mean=-0.0423, Std=4.0696, Min=-9.9606, Max=9.4341, RMS=4.0698
  Col 28: Mean=-0.0549, Std=0.9554, Min=-2.5874, Max=2.4952, RMS=0.9570
  Col 29: Mean=-0.0024, Std=2.2750, Min=-6.3413, Max=6.6761, RMS=2.2750
  Col 30: Mean=-0.0466, Std=4.9743, Min=-11.9033, Max=11.7979, RMS=4.9745
  Col 31: Mean=-0.0476, Std=1.3161, Min=-6.9426, Max=3.8815, RMS=1.3169
  Col 32: Mean=-0.1074, Std=3.0116, Min=-9.9842, Max=8.4799, RMS=3.0135
  Col 33: Mean=-0.0158, Std=1.2995, Min=-5.5742, Max=3.3673, RMS=1.2996
  Col 34: Mean=-0.0320, Std=1.0563, Min=-5.1966, Max=3.7762, RMS=1.0568
  Col 35: Mean=0.0125, Std=2.7417, Min=-5.2177, Max=13.6274, RMS=2.7417
  Col 36: Mean=-0.0304, Std=1.9922, Min=-5.5504, Max=7.3650, RMS=1.9924
  Col 37: Mean=-0.0065, Std=1.1438, Min=-4.7633, Max=3.4360, RMS=1.1438
  Col 38: Mean=0.0067, Std=2.5404, Min=-5.4938, Max=8.8181, RMS=2.5405
  Col 39: Mean=0.0435, Std=3.6865, Min=-10.4314, Max=13.9547, RMS=3.6868
  Col 40: Mean=-0.0362, Std=1.0863, Min=-3.4309, Max=4.3189, RMS=1.0869
  Col 41: Mean=-0.0093, Std=2.4486, Min=-9.0565, Max=7.6136, RMS=2.4486
  Col 42: Mean=0.0363, Std=4.5885, Min=-12.3146, Max=17.9155, RMS=4.5886
  Col 43: Mean=-0.0434, Std=1.4075, Min=-3.6606, Max=4.1050, RMS=1.4081
  Col 44: Mean=0.0292, Std=2.7898, Min=-8.2318, Max=8.2728, RMS=2.7899
  Col 45: Mean=-0.0637, Std=6.9586, Min=-64.7319, Max=60.6953, RMS=6.9589
  Col 46: Mean=-0.0665, Std=2.5332, Min=-15.8302, Max=14.2014, RMS=2.5341
  Col 47: Mean=0.0514, Std=5.2770, Min=-35.0958, Max=27.9443, RMS=5.2772
  Col 48: Mean=-0.0310, Std=6.1397, Min=-24.8837, Max=23.3934, RMS=6.1398
  Col 49: Mean=-0.0452, Std=3.5132, Min=-44.1420, Max=24.8358, RMS=3.5135
  Col 50: Mean=-0.0605, Std=4.0551, Min=-11.9001, Max=31.8286, RMS=4.0556
  Col 51: Mean=0.0422, Std=9.9312, Min=-47.2439, Max=40.9854, RMS=9.9313
  Col 52: Mean=-0.0394, Std=2.9800, Min=-8.9033, Max=15.9141, RMS=2.9803
  Col 53: Mean=-0.1252, Std=7.1208, Min=-35.4850, Max=37.3081, RMS=7.1219
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0024, Std=5.1899, Min=-38.6431, Max=23.8913, RMS=5.1899
  Col 58: Mean=-0.0187, Std=2.2736, Min=-9.8999, Max=20.6045, RMS=2.2736
  Col 59: Mean=0.0126, Std=4.8912, Min=-34.1657, Max=23.8405, RMS=4.8912
  Col 60: Mean=-0.0130, Std=6.6854, Min=-40.9465, Max=22.7523, RMS=6.6854
  Col 61: Mean=0.0517, Std=5.2140, Min=-30.9943, Max=54.6809, RMS=5.2143
  Col 62: Mean=-0.0652, Std=4.4355, Min=-27.3099, Max=26.3619, RMS=4.4360
