--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Diego/imu/slope_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0134, Std=1.6441, Min=-5.5028, Max=6.1173, RMS=1.6441
  Col 1: Mean=0.0059, Std=1.4843, Min=-13.7639, Max=6.7939, RMS=1.4843
  Col 2: Mean=-0.2449, Std=2.2929, Min=-8.9581, Max=12.8089, RMS=2.3059
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0055, Std=1.1374, Min=-2.4590, Max=3.2431, RMS=1.1374
  Col 13: Mean=-0.0008, Std=0.8502, Min=-2.9155, Max=2.2938, RMS=0.8502
  Col 14: Mean=-0.0109, Std=1.8900, Min=-4.4540, Max=6.4634, RMS=1.8901
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0152, Std=0.9054, Min=-2.4282, Max=2.6985, RMS=0.9056
  Col 19: Mean=0.0036, Std=1.0225, Min=-2.7314, Max=2.4639, RMS=1.0226
  Col 20: Mean=-0.0061, Std=2.0804, Min=-4.6124, Max=10.2066, RMS=2.0804
