--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Diego/imu/slope_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0051, Std=1.7727, Min=-6.0396, Max=7.2396, RMS=1.7727
  Col 1: Mean=0.0352, Std=1.2863, Min=-5.2763, Max=9.8091, RMS=1.2868
  Col 2: Mean=-0.1947, Std=2.1202, Min=-8.9406, Max=7.2469, RMS=2.1291
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0123, Std=1.1911, Min=-2.2909, Max=3.7377, RMS=1.1911
  Col 13: Mean=0.0028, Std=0.8751, Min=-3.3443, Max=2.8596, RMS=0.8752
  Col 14: Mean=-0.0072, Std=2.0014, Min=-4.3696, Max=6.7425, RMS=2.0014
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0088, Std=0.8824, Min=-1.8064, Max=2.2836, RMS=0.8825
  Col 19: Mean=0.0018, Std=1.0527, Min=-3.4906, Max=2.7348, RMS=1.0527
  Col 20: Mean=-0.0083, Std=2.1579, Min=-7.8379, Max=11.9010, RMS=2.1580
  Col 21: Mean=0.0142, Std=1.1156, Min=-2.7198, Max=3.2879, RMS=1.1157
  Col 22: Mean=-0.0047, Std=1.0742, Min=-4.1296, Max=3.6366, RMS=1.0742
  Col 23: Mean=-0.0122, Std=1.6885, Min=-3.6776, Max=8.7635, RMS=1.6886
  Col 24: Mean=0.0127, Std=1.8722, Min=-5.2821, Max=4.8079, RMS=1.8723
  Col 25: Mean=0.0043, Std=0.9881, Min=-3.5081, Max=2.7354, RMS=0.9881
  Col 26: Mean=-0.0147, Std=1.6720, Min=-4.9781, Max=5.4198, RMS=1.6721
  Col 27: Mean=-0.0263, Std=3.8254, Min=-7.4037, Max=9.8669, RMS=3.8255
  Col 28: Mean=-0.0081, Std=0.7698, Min=-2.0604, Max=2.2763, RMS=0.7699
  Col 29: Mean=-0.0142, Std=1.7512, Min=-5.0603, Max=6.6103, RMS=1.7513
  Col 30: Mean=-0.0656, Std=4.5504, Min=-11.1848, Max=11.0484, RMS=4.5508
  Col 31: Mean=-0.0127, Std=1.1165, Min=-3.9663, Max=3.1159, RMS=1.1166
  Col 32: Mean=-0.0160, Std=2.1797, Min=-7.0852, Max=8.1789, RMS=2.1797
  Col 33: Mean=0.0075, Std=1.3107, Min=-3.3710, Max=4.5825, RMS=1.3107
  Col 34: Mean=-0.0045, Std=0.9243, Min=-2.5681, Max=2.3455, RMS=0.9243
  Col 35: Mean=-0.0112, Std=1.6692, Min=-3.6372, Max=7.8603, RMS=1.6692
  Col 36: Mean=-0.0045, Std=1.8711, Min=-5.6987, Max=5.3697, RMS=1.8711
  Col 37: Mean=-0.0098, Std=0.8424, Min=-2.6306, Max=2.1502, RMS=0.8424
  Col 38: Mean=-0.0170, Std=1.7200, Min=-4.0496, Max=6.9919, RMS=1.7201
  Col 39: Mean=-0.0219, Std=3.3249, Min=-7.3495, Max=8.3761, RMS=3.3250
  Col 40: Mean=-0.0097, Std=0.9721, Min=-2.8672, Max=2.5183, RMS=0.9721
  Col 41: Mean=-0.0195, Std=1.7312, Min=-5.0646, Max=6.6880, RMS=1.7313
  Col 42: Mean=-0.0036, Std=3.9231, Min=-9.1652, Max=10.1890, RMS=3.9231
  Col 43: Mean=-0.0098, Std=1.2753, Min=-4.2007, Max=3.1201, RMS=1.2754
  Col 44: Mean=-0.0663, Std=2.1148, Min=-8.7053, Max=8.5647, RMS=2.1158
  Col 45: Mean=-0.0048, Std=3.6095, Min=-12.5306, Max=18.3259, RMS=3.6095
  Col 46: Mean=-0.0070, Std=1.3787, Min=-6.4750, Max=6.2048, RMS=1.3787
  Col 47: Mean=0.0052, Std=3.0810, Min=-11.7709, Max=14.2144, RMS=3.0810
  Col 48: Mean=0.0047, Std=5.5134, Min=-19.8637, Max=28.5187, RMS=5.5134
  Col 49: Mean=0.0307, Std=2.8478, Min=-12.1033, Max=30.2016, RMS=2.8480
  Col 50: Mean=-0.0793, Std=3.1577, Min=-10.2462, Max=23.1507, RMS=3.1587
  Col 51: Mean=-0.0564, Std=8.9518, Min=-30.9862, Max=33.4710, RMS=8.9520
  Col 52: Mean=0.0315, Std=2.7489, Min=-14.0264, Max=23.1426, RMS=2.7491
  Col 53: Mean=-0.1058, Std=5.9320, Min=-27.3698, Max=29.5281, RMS=5.9329
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
