--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Diego/imu/stairs_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0079, Std=2.1238, Min=-12.4991, Max=12.0673, RMS=2.1238
  Col 1: Mean=-0.0112, Std=1.6433, Min=-6.8666, Max=7.7431, RMS=1.6433
  Col 2: Mean=0.0032, Std=4.0702, Min=-8.5988, Max=18.0228, RMS=4.0702
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0032, Std=0.8766, Min=-2.9246, Max=2.4384, RMS=0.8766
  Col 13: Mean=0.0034, Std=0.9016, Min=-3.8750, Max=2.4200, RMS=0.9016
  Col 14: Mean=0.0028, Std=3.8924, Min=-6.9507, Max=13.6437, RMS=3.8924
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0012, Std=0.8545, Min=-3.1314, Max=2.8413, RMS=0.8545
  Col 19: Mean=0.0222, Std=1.9299, Min=-7.8928, Max=9.0876, RMS=1.9301
  Col 20: Mean=0.0054, Std=4.3587, Min=-8.0473, Max=21.3864, RMS=4.3587
