--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Diego/imu/stairs_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0075, Std=1.6576, Min=-7.0567, Max=5.8345, RMS=1.6576
  Col 1: Mean=0.0020, Std=1.5626, Min=-4.8074, Max=4.3364, RMS=1.5626
  Col 2: Mean=0.0083, Std=2.7718, Min=-5.1656, Max=8.0313, RMS=2.7718
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0099, Std=1.3676, Min=-3.7124, Max=4.5183, RMS=1.3676
  Col 13: Mean=0.0231, Std=1.1417, Min=-3.2145, Max=3.4929, RMS=1.1419
  Col 14: Mean=0.0109, Std=3.2541, Min=-6.7970, Max=8.3840, RMS=3.2541
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0325, Std=1.4976, Min=-2.6755, Max=4.0194, RMS=1.4979
  Col 19: Mean=0.0105, Std=1.1130, Min=-3.0544, Max=4.2282, RMS=1.1130
  Col 20: Mean=-0.4242, Std=3.6134, Min=-9.1783, Max=10.0949, RMS=3.6382
  Col 21: Mean=-0.0165, Std=1.6747, Min=-4.4170, Max=4.9796, RMS=1.6748
  Col 22: Mean=0.0356, Std=1.3406, Min=-3.1121, Max=5.4735, RMS=1.3411
  Col 23: Mean=-0.4028, Std=3.4679, Min=-9.2530, Max=8.7890, RMS=3.4913
  Col 24: Mean=-0.0153, Std=1.4769, Min=-4.4394, Max=4.3632, RMS=1.4770
  Col 25: Mean=0.0442, Std=2.5733, Min=-5.6166, Max=7.1976, RMS=2.5736
  Col 26: Mean=0.0017, Std=2.7467, Min=-6.1480, Max=6.7870, RMS=2.7467
  Col 27: Mean=-0.0285, Std=1.2474, Min=-3.3172, Max=3.3669, RMS=1.2477
  Col 28: Mean=0.0246, Std=5.0786, Min=-11.2711, Max=12.7381, RMS=5.0787
  Col 29: Mean=-0.0178, Std=2.2717, Min=-5.0005, Max=6.0021, RMS=2.2718
  Col 30: Mean=-0.0253, Std=1.7757, Min=-4.6880, Max=5.0511, RMS=1.7758
  Col 31: Mean=0.0149, Std=6.0368, Min=-14.0358, Max=14.6089, RMS=6.0369
  Col 32: Mean=-0.0292, Std=2.5922, Min=-5.4425, Max=6.7519, RMS=2.5924
  Col 33: Mean=-0.0098, Std=1.5165, Min=-3.9513, Max=3.0396, RMS=1.5165
  Col 34: Mean=0.0110, Std=1.3400, Min=-3.5911, Max=4.9928, RMS=1.3400
  Col 35: Mean=-0.1779, Std=2.9797, Min=-8.8145, Max=8.2483, RMS=2.9850
  Col 36: Mean=-0.0117, Std=1.2350, Min=-3.5479, Max=3.4997, RMS=1.2350
  Col 37: Mean=0.0569, Std=2.6024, Min=-5.9225, Max=6.7345, RMS=2.6030
  Col 38: Mean=-0.2360, Std=2.9749, Min=-9.3912, Max=8.6723, RMS=2.9842
  Col 39: Mean=-0.0048, Std=1.2789, Min=-2.7606, Max=5.2522, RMS=1.2789
  Col 40: Mean=-0.0414, Std=5.4255, Min=-12.0412, Max=13.5169, RMS=5.4256
  Col 41: Mean=-0.0283, Std=1.8834, Min=-5.3115, Max=5.4107, RMS=1.8836
  Col 42: Mean=-0.0043, Std=1.7472, Min=-2.9083, Max=6.3757, RMS=1.7472
  Col 43: Mean=-0.0610, Std=6.4357, Min=-14.7006, Max=15.2469, RMS=6.4360
  Col 44: Mean=-0.0412, Std=2.1819, Min=-6.7290, Max=5.8682, RMS=2.1823
  Col 45: Mean=-0.0152, Std=1.6945, Min=-7.3625, Max=3.7334, RMS=1.6946
