--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Diego/imu/stairs_up/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0105, Std=1.4478, Min=-3.9782, Max=7.0868, RMS=1.4478
  Col 1: Mean=-0.0004, Std=1.5492, Min=-4.4075, Max=5.7322, RMS=1.5492
  Col 2: Mean=0.0021, Std=2.8539, Min=-6.0451, Max=8.3508, RMS=2.8539
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0051, Std=1.2577, Min=-3.3000, Max=4.5337, RMS=1.2577
  Col 13: Mean=0.0111, Std=1.2414, Min=-3.1039, Max=4.5787, RMS=1.2414
  Col 14: Mean=0.0100, Std=3.2908, Min=-7.0134, Max=8.0676, RMS=3.2908
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0146, Std=1.4278, Min=-3.0539, Max=3.9212, RMS=1.4279
  Col 19: Mean=-0.0145, Std=1.1958, Min=-3.0679, Max=5.9893, RMS=1.1959
  Col 20: Mean=-0.4082, Std=3.6202, Min=-9.2115, Max=7.2743, RMS=3.6432
  Col 21: Mean=0.0043, Std=1.6037, Min=-5.3705, Max=5.6302, RMS=1.6038
  Col 22: Mean=0.0107, Std=1.4043, Min=-2.6168, Max=6.3557, RMS=1.4043
  Col 23: Mean=-0.4268, Std=3.4760, Min=-9.3067, Max=7.1940, RMS=3.5021
  Col 24: Mean=0.0008, Std=1.4864, Min=-3.6271, Max=5.2957, RMS=1.4864
  Col 25: Mean=0.0266, Std=2.3938, Min=-5.6968, Max=6.8041, RMS=2.3939
  Col 26: Mean=0.0065, Std=2.6911, Min=-5.5537, Max=6.8658, RMS=2.6911
  Col 27: Mean=0.0004, Std=1.4138, Min=-4.2807, Max=3.2486, RMS=1.4138
  Col 28: Mean=0.0349, Std=5.1661, Min=-12.2718, Max=11.1969, RMS=5.1662
  Col 29: Mean=-0.0050, Std=2.7560, Min=-5.5641, Max=7.1228, RMS=2.7561
  Col 30: Mean=0.0004, Std=1.8855, Min=-4.9056, Max=4.9786, RMS=1.8855
  Col 31: Mean=0.0201, Std=6.3953, Min=-15.7943, Max=12.5698, RMS=6.3953
  Col 32: Mean=-0.0171, Std=3.5691, Min=-7.7133, Max=11.2370, RMS=3.5692
  Col 33: Mean=0.0106, Std=1.4494, Min=-4.9121, Max=3.4763, RMS=1.4495
  Col 34: Mean=-0.0048, Std=1.4725, Min=-4.5329, Max=5.4528, RMS=1.4725
  Col 35: Mean=0.0040, Std=2.9085, Min=-5.7048, Max=7.8190, RMS=2.9085
  Col 36: Mean=0.0093, Std=1.0888, Min=-2.6011, Max=3.7960, RMS=1.0888
  Col 37: Mean=0.0362, Std=2.5218, Min=-6.0123, Max=9.5367, RMS=2.5221
  Col 38: Mean=-0.2032, Std=3.1260, Min=-9.3792, Max=8.3681, RMS=3.1326
  Col 39: Mean=0.0050, Std=1.4517, Min=-2.9317, Max=4.7087, RMS=1.4517
  Col 40: Mean=-0.0267, Std=4.9242, Min=-10.1206, Max=12.1192, RMS=4.9243
  Col 41: Mean=-0.0014, Std=1.9775, Min=-4.9251, Max=6.5015, RMS=1.9775
  Col 42: Mean=-0.0045, Std=2.1441, Min=-4.1557, Max=6.4006, RMS=2.1442
  Col 43: Mean=-0.0423, Std=5.8617, Min=-12.6954, Max=13.6197, RMS=5.8618
  Col 44: Mean=-0.0052, Std=2.2674, Min=-6.4442, Max=6.4667, RMS=2.2674
  Col 45: Mean=-0.0081, Std=1.5352, Min=-5.8422, Max=5.5091, RMS=1.5352
  Col 46: Mean=-0.0047, Std=3.3822, Min=-10.1289, Max=11.9017, RMS=3.3822
  Col 47: Mean=0.0100, Std=4.3249, Min=-12.6104, Max=20.2490, RMS=4.3250
  Col 48: Mean=-0.0395, Std=2.2961, Min=-13.3219, Max=12.7317, RMS=2.2964
  Col 49: Mean=-0.0770, Std=5.1929, Min=-15.7334, Max=23.2805, RMS=5.1935
  Col 50: Mean=-0.0655, Std=5.1505, Min=-12.8622, Max=19.2644, RMS=5.1509
  Col 51: Mean=-0.0604, Std=3.2933, Min=-16.3463, Max=22.9399, RMS=3.2938
  Col 52: Mean=-0.1337, Std=7.2092, Min=-18.3609, Max=31.7003, RMS=7.2104
  Col 53: Mean=-0.0549, Std=7.2934, Min=-15.7738, Max=37.8618, RMS=7.2936
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0222, Std=1.4770, Min=-6.5479, Max=5.6621, RMS=1.4772
  Col 58: Mean=0.0002, Std=3.2444, Min=-12.1130, Max=8.6547, RMS=3.2444
  Col 59: Mean=-0.0933, Std=4.9938, Min=-11.2873, Max=26.3245, RMS=4.9946
  Col 60: Mean=0.0308, Std=2.3378, Min=-8.3178, Max=21.0629, RMS=2.3380
  Col 61: Mean=-0.0552, Std=6.0346, Min=-24.1241, Max=28.0443, RMS=6.0348
  Col 62: Mean=-0.2616, Std=6.3501, Min=-14.4983, Max=36.4059, RMS=6.3555
  Col 63: Mean=-0.0059, Std=2.1734, Min=-9.3710, Max=13.6816, RMS=2.1734
  Col 64: Mean=-0.1552, Std=7.9821, Min=-19.1120, Max=40.9910, RMS=7.9836
  Col 65: Mean=-0.0841, Std=7.7255, Min=-14.0618, Max=52.5257, RMS=7.7260
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=-3.3437, Std=8.9030, Min=-25.0574, Max=11.7006, RMS=9.5102
  Col 1: Mean=-64.6184, Std=4.1174, Min=-75.1770, Max=-59.4075, RMS=64.7495
  Col 2: Mean=-92.4239, Std=7.1056, Min=-105.4255, Max=-72.9951, RMS=92.6967
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-59.2679, Std=20.0647, Min=-90.9028, Max=-21.6284, RMS=62.5722
  Col 13: Mean=-73.9270, Std=6.0943, Min=-82.4273, Max=-58.0892, RMS=74.1777
  Col 14: Mean=135.7756, Std=42.3026, Min=-179.9425, Max=179.6504, RMS=142.2129
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-109.8798, Std=19.3788, Min=-175.0448, Max=-79.4133, RMS=111.5756
  Col 19: Mean=0.8885, Std=2.6973, Min=-6.4375, Max=7.7997, RMS=2.8398
  Col 20: Mean=144.8903, Std=93.4859, Min=-179.9934, Max=179.9832, RMS=172.4321
  Col 21: Mean=57.2915, Std=30.8046, Min=39.5277, Max=174.7797, RMS=65.0480
  Col 22: Mean=3.6580, Std=3.1418, Min=-3.0862, Max=9.8399, RMS=4.8220
  Col 23: Mean=8.2105, Std=174.0149, Min=-179.9774, Max=179.9983, RMS=174.2085
  Col 24: Mean=51.8661, Std=31.1662, Min=-28.3210, Max=95.7247, RMS=60.5097
  Col 25: Mean=-72.7863, Std=6.6241, Min=-83.8265, Max=-55.4705, RMS=73.0871
  Col 26: Mean=-37.8802, Std=39.3774, Min=-87.6690, Max=47.1105, RMS=54.6396
  Col 27: Mean=-30.9443, Std=45.6723, Min=-85.2183, Max=60.0672, RMS=55.1680
  Col 28: Mean=-61.0073, Std=15.0581, Min=-81.7512, Max=-20.4911, RMS=62.8382
