--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Diego/imu/walk/Run_4
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0044, Std=2.1665, Min=-10.0461, Max=8.1065, RMS=2.1665
  Col 1: Mean=-0.0055, Std=1.9673, Min=-8.0214, Max=10.6884, RMS=1.9673
  Col 2: Mean=0.0064, Std=2.2270, Min=-4.3130, Max=12.1422, RMS=2.2270
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0104, Std=0.9865, Min=-2.7615, Max=2.3009, RMS=0.9866
  Col 13: Mean=-0.0140, Std=1.0978, Min=-3.5412, Max=2.8187, RMS=1.0979
  Col 14: Mean=-0.3071, Std=2.7467, Min=-9.0779, Max=8.6559, RMS=2.7638
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0009, Std=0.6646, Min=-3.1394, Max=1.7561, RMS=0.6646
  Col 19: Mean=-0.0072, Std=0.8717, Min=-1.5301, Max=2.1213, RMS=0.8717
  Col 20: Mean=0.0004, Std=2.5377, Min=-5.8286, Max=12.1419, RMS=2.5377
  Col 21: Mean=-0.0010, Std=1.0564, Min=-3.4526, Max=2.3256, RMS=1.0564
  Col 22: Mean=-0.0077, Std=1.0456, Min=-2.8350, Max=3.2029, RMS=1.0456
  Col 23: Mean=-0.0006, Std=2.1424, Min=-3.4066, Max=11.4040, RMS=2.1424
  Col 24: Mean=-0.0026, Std=2.0346, Min=-6.6077, Max=3.9006, RMS=2.0346
  Col 25: Mean=-0.0180, Std=1.1076, Min=-4.4606, Max=2.9129, RMS=1.1078
  Col 26: Mean=-0.0095, Std=2.0118, Min=-4.1194, Max=7.4647, RMS=2.0118
  Col 27: Mean=0.0210, Std=3.9330, Min=-7.2618, Max=8.1895, RMS=3.9330
  Col 28: Mean=-0.0054, Std=0.7649, Min=-2.8266, Max=2.1514, RMS=0.7650
  Col 29: Mean=-0.0043, Std=2.0130, Min=-4.4497, Max=6.7459, RMS=2.0130
  Col 30: Mean=-0.0189, Std=4.8315, Min=-10.2078, Max=10.5940, RMS=4.8315
  Col 31: Mean=-0.0054, Std=0.7859, Min=-2.0043, Max=2.5827, RMS=0.7859
  Col 32: Mean=-0.2411, Std=2.5529, Min=-8.9071, Max=6.3378, RMS=2.5642
  Col 33: Mean=-0.0016, Std=0.9991, Min=-3.0013, Max=2.6370, RMS=0.9991
  Col 34: Mean=-0.0038, Std=1.1118, Min=-2.8481, Max=3.3464, RMS=1.1118
  Col 35: Mean=-0.0008, Std=2.1380, Min=-3.5951, Max=10.8143, RMS=2.1380
  Col 36: Mean=-0.0084, Std=1.8693, Min=-6.9276, Max=4.6952, RMS=1.8694
  Col 37: Mean=0.0082, Std=1.2862, Min=-3.2223, Max=4.9794, RMS=1.2863
  Col 38: Mean=-0.0165, Std=2.0886, Min=-4.3512, Max=7.9469, RMS=2.0886
  Col 39: Mean=-0.0039, Std=3.8441, Min=-7.4162, Max=8.8552, RMS=3.8442
  Col 40: Mean=-0.0106, Std=1.4948, Min=-2.9096, Max=3.9132, RMS=1.4949
  Col 41: Mean=-0.0280, Std=1.9353, Min=-4.6125, Max=5.7473, RMS=1.9355
  Col 42: Mean=-0.0046, Std=4.9225, Min=-10.9705, Max=11.3917, RMS=4.9225
  Col 43: Mean=-0.0144, Std=1.7767, Min=-3.7604, Max=5.2183, RMS=1.7768
  Col 44: Mean=-0.0419, Std=2.2999, Min=-5.8725, Max=7.1277, RMS=2.3003
  Col 45: Mean=0.0028, Std=6.6667, Min=-23.3144, Max=23.6979, RMS=6.6667
  Col 46: Mean=-0.0349, Std=3.3217, Min=-23.4383, Max=23.3450, RMS=3.3218
  Col 47: Mean=-0.0144, Std=5.4188, Min=-18.5768, Max=29.0480, RMS=5.4188
  Col 48: Mean=0.0187, Std=6.8918, Min=-21.5681, Max=19.0252, RMS=6.8919
  Col 49: Mean=-0.0392, Std=3.3057, Min=-28.9829, Max=14.3987, RMS=3.3059
  Col 50: Mean=-0.1166, Std=4.7746, Min=-13.0622, Max=23.3082, RMS=4.7760
  Col 51: Mean=0.2358, Std=11.6090, Min=-37.2811, Max=34.5011, RMS=11.6114
  Col 52: Mean=-0.0492, Std=3.6221, Min=-26.7949, Max=13.8404, RMS=3.6224
  Col 53: Mean=-0.1680, Std=7.9550, Min=-39.1354, Max=27.3565, RMS=7.9568
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0049, Std=4.6153, Min=-17.1850, Max=13.4582, RMS=4.6153
