--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Diego/imu/walk/Run_6
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0038, Std=1.9422, Min=-8.2479, Max=7.4156, RMS=1.9422
  Col 1: Mean=-0.0015, Std=1.8897, Min=-7.8823, Max=9.0085, RMS=1.8897
  Col 2: Mean=0.0052, Std=2.1718, Min=-4.0163, Max=10.4863, RMS=2.1719
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0044, Std=0.9490, Min=-3.1424, Max=2.5901, RMS=0.9490
  Col 13: Mean=-0.0270, Std=1.0731, Min=-3.6499, Max=2.8446, RMS=1.0735
  Col 14: Mean=-0.4928, Std=2.9791, Min=-9.0998, Max=7.1061, RMS=3.0196
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0090, Std=0.6766, Min=-2.6267, Max=2.1674, RMS=0.6767
  Col 19: Mean=-0.0066, Std=0.9218, Min=-1.6794, Max=1.9842, RMS=0.9218
  Col 20: Mean=-0.0018, Std=2.4594, Min=-4.5358, Max=12.2098, RMS=2.4594
  Col 21: Mean=-0.0128, Std=1.0856, Min=-4.0940, Max=2.8284, RMS=1.0856
  Col 22: Mean=-0.0023, Std=1.0778, Min=-2.5790, Max=3.1239, RMS=1.0778
  Col 23: Mean=-0.0032, Std=2.1238, Min=-3.9012, Max=10.6554, RMS=2.1238
  Col 24: Mean=-0.0167, Std=1.9946, Min=-7.8244, Max=4.3661, RMS=1.9946
  Col 25: Mean=-0.0145, Std=1.1970, Min=-3.3834, Max=3.2044, RMS=1.1971
  Col 26: Mean=-0.0122, Std=1.9720, Min=-4.9445, Max=7.2188, RMS=1.9721
  Col 27: Mean=0.0035, Std=3.7444, Min=-8.1806, Max=8.0060, RMS=3.7444
  Col 28: Mean=-0.0062, Std=0.9590, Min=-3.0296, Max=2.5930, RMS=0.9590
  Col 29: Mean=-0.0155, Std=1.8685, Min=-4.5142, Max=7.8243, RMS=1.8686
  Col 30: Mean=-0.0325, Std=4.6015, Min=-9.8034, Max=10.1802, RMS=4.6016
  Col 31: Mean=0.0133, Std=0.9828, Min=-3.0704, Max=2.3346, RMS=0.9829
  Col 32: Mean=-0.2032, Std=2.2847, Min=-8.9611, Max=7.0159, RMS=2.2938
  Col 33: Mean=-0.0096, Std=0.9795, Min=-4.8692, Max=3.3237, RMS=0.9795
  Col 34: Mean=0.0032, Std=1.1276, Min=-3.2183, Max=2.4559, RMS=1.1276
  Col 35: Mean=-0.0030, Std=2.1919, Min=-3.9774, Max=12.5325, RMS=2.1919
  Col 36: Mean=-0.0076, Std=1.7906, Min=-6.8153, Max=5.1962, RMS=1.7906
  Col 37: Mean=0.0168, Std=1.2887, Min=-4.2402, Max=3.0637, RMS=1.2888
  Col 38: Mean=-0.0160, Std=2.0727, Min=-5.0253, Max=8.7442, RMS=2.0728
  Col 39: Mean=0.0143, Std=3.5554, Min=-8.2925, Max=7.9737, RMS=3.5555
  Col 40: Mean=0.0079, Std=1.5799, Min=-3.1808, Max=3.1762, RMS=1.5800
  Col 41: Mean=-0.0180, Std=1.7910, Min=-3.9037, Max=6.9109, RMS=1.7911
  Col 42: Mean=0.0183, Std=4.5461, Min=-11.7820, Max=11.1253, RMS=4.5462
  Col 43: Mean=0.0048, Std=1.8427, Min=-3.5372, Max=4.5942, RMS=1.8427
  Col 44: Mean=-0.0323, Std=1.9730, Min=-4.8143, Max=6.5163, RMS=1.9732
  Col 45: Mean=-0.0065, Std=6.3489, Min=-23.7223, Max=25.2308, RMS=6.3489
