--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Eduardo/imu/slope_down/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=0.0174, Std=1.4359, Min=-4.3612, Max=4.7042, RMS=1.4360
  Col 1: Mean=0.0210, Std=1.2854, Min=-3.6490, Max=3.6282, RMS=1.2856
  Col 2: Mean=0.0100, Std=1.5531, Min=-3.0747, Max=7.5701, RMS=1.5532
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0085, Std=0.8566, Min=-2.4078, Max=2.4472, RMS=0.8566
  Col 13: Mean=0.0020, Std=0.7202, Min=-2.0704, Max=2.2184, RMS=0.7203
  Col 14: Mean=0.0052, Std=1.4678, Min=-2.9038, Max=5.7100, RMS=1.4678
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0269, Std=0.9710, Min=-2.1757, Max=2.0750, RMS=0.9714
  Col 19: Mean=-0.0046, Std=0.7549, Min=-1.9618, Max=4.2698, RMS=0.7549
  Col 20: Mean=0.0006, Std=1.4393, Min=-3.1709, Max=5.8256, RMS=1.4393
  Col 21: Mean=0.0250, Std=0.9628, Min=-1.9212, Max=1.8538, RMS=0.9631
  Col 22: Mean=0.0054, Std=0.7781, Min=-1.9866, Max=2.8081, RMS=0.7782
  Col 23: Mean=0.0126, Std=1.5344, Min=-2.7706, Max=6.2961, RMS=1.5345
  Col 24: Mean=0.0074, Std=0.8727, Min=-2.3019, Max=2.5358, RMS=0.8727
  Col 25: Mean=0.0287, Std=1.3854, Min=-2.5636, Max=3.9976, RMS=1.3857
  Col 26: Mean=0.0080, Std=1.6417, Min=-3.8263, Max=6.3948, RMS=1.6417
  Col 27: Mean=0.0069, Std=0.6716, Min=-2.3683, Max=1.5546, RMS=0.6717
  Col 28: Mean=0.0066, Std=2.5501, Min=-5.7905, Max=5.4252, RMS=2.5501
  Col 29: Mean=0.0200, Std=1.8891, Min=-5.2406, Max=6.8262, RMS=1.8892
  Col 30: Mean=0.0086, Std=0.9000, Min=-2.9490, Max=2.3048, RMS=0.9000
  Col 31: Mean=-0.0176, Std=3.4321, Min=-7.2748, Max=9.5418, RMS=3.4322
  Col 32: Mean=0.0225, Std=2.3040, Min=-7.8168, Max=9.0019, RMS=2.3041
  Col 33: Mean=0.0311, Std=1.0365, Min=-2.3737, Max=2.1685, RMS=1.0369
  Col 34: Mean=-0.0138, Std=0.7233, Min=-1.7112, Max=2.2082, RMS=0.7235
  Col 35: Mean=-0.2401, Std=2.0981, Min=-8.8993, Max=6.9954, RMS=2.1118
  Col 36: Mean=-0.0086, Std=0.9839, Min=-2.1334, Max=1.8845, RMS=0.9840
  Col 37: Mean=0.0492, Std=1.2554, Min=-3.7655, Max=3.5771, RMS=1.2564
  Col 38: Mean=-0.3751, Std=2.2852, Min=-8.9740, Max=5.6666, RMS=2.3158
  Col 39: Mean=0.0067, Std=1.1660, Min=-2.7952, Max=2.5955, RMS=1.1660
  Col 40: Mean=-0.0083, Std=2.4398, Min=-5.7645, Max=4.7012, RMS=2.4399
  Col 41: Mean=-0.0117, Std=2.0766, Min=-4.4732, Max=6.0148, RMS=2.0766
  Col 42: Mean=0.0053, Std=1.4746, Min=-3.2366, Max=3.0719, RMS=1.4746
  Col 43: Mean=-0.0065, Std=3.6286, Min=-7.8874, Max=7.2364, RMS=3.6286
  Col 44: Mean=-0.0195, Std=2.6529, Min=-6.8780, Max=7.7395, RMS=2.6530
  Col 45: Mean=0.0062, Std=1.5701, Min=-6.4817, Max=7.0286, RMS=1.5701
  Col 46: Mean=0.0256, Std=3.4913, Min=-11.4594, Max=11.9400, RMS=3.4914
  Col 47: Mean=-0.0023, Std=2.9692, Min=-11.9604, Max=14.3598, RMS=2.9693
  Col 48: Mean=-0.0085, Std=2.0152, Min=-11.7144, Max=7.4607, RMS=2.0153
  Col 49: Mean=-0.0248, Std=4.0433, Min=-16.4919, Max=11.2270, RMS=4.0434
  Col 50: Mean=-0.0715, Std=2.2478, Min=-8.4640, Max=11.3215, RMS=2.2489
  Col 51: Mean=0.0010, Std=2.3508, Min=-10.5199, Max=10.4155, RMS=2.3508
  Col 52: Mean=-0.0423, Std=6.8573, Min=-21.1691, Max=33.7035, RMS=6.8575
  Col 53: Mean=-0.0924, Std=4.8385, Min=-21.1605, Max=14.9990, RMS=4.8393
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0108, Std=1.8469, Min=-7.3965, Max=7.0505, RMS=1.8470
  Col 58: Mean=0.0080, Std=3.6396, Min=-10.6313, Max=15.7815, RMS=3.6396
  Col 59: Mean=0.0042, Std=3.1865, Min=-19.3935, Max=19.2389, RMS=3.1865
  Col 60: Mean=0.0169, Std=2.3031, Min=-9.3973, Max=9.6620, RMS=2.3032
  Col 61: Mean=-0.0182, Std=4.2135, Min=-17.8150, Max=10.8519, RMS=4.2136
  Col 62: Mean=-0.0635, Std=2.5874, Min=-10.1658, Max=15.8052, RMS=2.5882
  Col 63: Mean=0.0236, Std=2.5603, Min=-16.5759, Max=9.7854, RMS=2.5604
  Col 64: Mean=-0.0384, Std=7.1188, Min=-22.1516, Max=31.7476, RMS=7.1189
  Col 65: Mean=-0.0902, Std=5.2574, Min=-25.9288, Max=13.4664, RMS=5.2582
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=14.5838, Std=7.8680, Min=-3.6964, Max=30.3017, RMS=16.5709
  Col 1: Mean=-72.8125, Std=3.2926, Min=-78.2065, Max=-66.4797, RMS=72.8869
  Col 2: Mean=-94.7379, Std=8.7617, Min=-114.6627, Max=-75.7191, RMS=95.1422
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-3.2148, Std=6.4679, Min=-24.6720, Max=9.5105, RMS=7.2228
  Col 13: Mean=-72.5595, Std=3.5099, Min=-82.1903, Max=-67.0594, RMS=72.6444
  Col 14: Mean=102.0307, Std=8.1191, Min=87.4716, Max=129.0188, RMS=102.3533
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-79.9448, Std=3.2328, Min=-87.4662, Max=-71.7257, RMS=80.0101
  Col 19: Mean=-6.6398, Std=11.5872, Min=-28.7406, Max=10.5213, RMS=13.3548
  Col 20: Mean=78.9239, Std=20.7915, Min=16.8936, Max=99.2488, RMS=81.6166
  Col 21: Mean=54.2761, Std=3.5537, Min=44.2980, Max=60.4244, RMS=54.3923
  Col 22: Mean=-0.8781, Std=1.7163, Min=-3.8687, Max=3.9373, RMS=1.9279
  Col 23: Mean=-157.5065, Std=3.5048, Min=-167.5362, Max=-148.5355, RMS=157.5455
  Col 24: Mean=0.3112, Std=21.9472, Min=-29.6400, Max=47.5583, RMS=21.9494
  Col 25: Mean=-74.7933, Std=4.2836, Min=-81.0023, Max=-62.4299, RMS=74.9159
  Col 26: Mean=31.1825, Std=27.5069, Min=-25.5230, Max=74.5740, RMS=41.5810
  Col 27: Mean=-42.4057, Std=18.1591, Min=-55.2511, Max=47.5961, RMS=46.1303
  Col 28: Mean=-68.2891, Std=13.3532, Min=-89.6445, Max=-32.2151, RMS=69.5824
  Col 29: Mean=87.1699, Std=21.9622, Min=-14.6770, Max=104.8096, RMS=89.8940
  Col 30: Mean=75.8770, Std=4.1413, Min=65.2570, Max=84.4418, RMS=75.9900
  Col 31: Mean=-10.3200, Std=13.7816, Min=-48.0409, Max=11.4201, RMS=17.2173
  Col 32: Mean=-72.1373, Std=6.7182, Min=-90.5609, Max=-59.1141, RMS=72.4494
  Col 33: Mean=54.8570, Std=20.3498, Min=42.5377, Max=173.8595, RMS=58.5099
  Col 34: Mean=-6.3073, Std=1.9125, Min=-9.5848, Max=-0.4594, RMS=6.5909
  Col 35: Mean=4.7729, Std=176.7070, Min=-179.9897, Max=179.9850, RMS=176.7715
  Col 36: Mean=-56.0402, Std=36.8198, Min=-178.9257, Max=-1.8167, RMS=67.0537
  Col 37: Mean=-75.0708, Std=14.3152, Min=-82.5365, Max=-6.0889, RMS=76.4235
  Col 38: Mean=-59.5211, Std=134.1679, Min=-179.8883, Max=179.9454, RMS=146.7780
  Col 39: Mean=23.5714, Std=18.3486, Min=-57.7433, Max=41.3762, RMS=29.8711
  Col 40: Mean=-63.2565, Std=16.6421, Min=-87.2597, Max=-25.1131, RMS=65.4090
  Col 41: Mean=97.2531, Std=54.2804, Min=-179.4845, Max=177.4238, RMS=111.3756
  Col 42: Mean=82.4531, Std=4.4447, Min=69.6870, Max=90.3499, RMS=82.5729
  Col 43: Mean=0.8338, Std=17.7247, Min=-27.9783, Max=41.0131, RMS=17.7443
  Col 44: Mean=92.7512, Std=6.8527, Min=75.3841, Max=106.7235, RMS=93.0040
  Col 45: Mean=7.8397, Std=121.5511, Min=-179.9150, Max=179.9298, RMS=121.8037
  Col 46: Mean=-78.6669, Std=5.0944, Min=-88.5510, Max=-61.8142, RMS=78.8317
  Col 47: Mean=-12.8052, Std=99.5373, Min=-178.2322, Max=176.6578, RMS=100.3576
  Col 48: Mean=15.2515, Std=138.0309, Min=-179.5530, Max=179.8585, RMS=138.8709
  Col 49: Mean=-74.0294, Std=15.1794, Min=-89.2691, Max=-33.6150, RMS=75.5696
  Col 50: Mean=-48.4261, Std=91.0277, Min=-179.1252, Max=178.7283, RMS=103.1074
  Col 51: Mean=-1.7137, Std=24.5041, Min=-23.3185, Max=158.3726, RMS=24.5640
  Col 52: Mean=-36.6939, Std=19.9862, Min=-87.2152, Max=-2.3413, RMS=41.7839
  Col 53: Mean=79.8087, Std=24.8841, Min=-81.9622, Max=95.5850, RMS=83.5981
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=72.1106, Std=111.8755, Min=-179.3682, Max=179.9194, RMS=133.1017
  Col 58: Mean=-77.7472, Std=5.5437, Min=-89.5892, Max=-62.6260, RMS=77.9446
  Col 59: Mean=-5.2763, Std=70.7366, Min=-104.5600, Max=130.0710, RMS=70.9331
  Col 60: Mean=110.8774, Std=48.5462, Min=-1.9662, Max=172.4935, RMS=121.0393
  Col 61: Mean=-71.0692, Std=13.5915, Min=-84.5470, Max=-33.4637, RMS=72.3571
  Col 62: Mean=-23.4971, Std=45.7789, Min=-75.3367, Max=86.2683, RMS=51.4570
  Col 63: Mean=1.1428, Std=35.2829, Min=-178.1482, Max=172.8523, RMS=35.3014
  Col 64: Mean=-40.8174, Std=18.2974, Min=-87.7560, Max=-6.1797, RMS=44.7309
  Col 65: Mean=91.5704, Std=63.4958, Min=-177.4408, Max=175.9760, RMS=111.4310
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
