--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Eduardo/imu/slope_up/Run_3
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0039, Std=1.1430, Min=-3.5010, Max=3.7324, RMS=1.1430
  Col 1: Mean=-0.0007, Std=1.3125, Min=-4.1447, Max=4.5614, RMS=1.3125
  Col 2: Mean=-0.0033, Std=1.3060, Min=-2.3740, Max=4.8418, RMS=1.3060
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0031, Std=0.7818, Min=-1.5782, Max=2.8624, RMS=0.7818
  Col 13: Mean=-0.0005, Std=0.9868, Min=-3.1656, Max=1.8199, RMS=0.9868
  Col 14: Mean=-0.0069, Std=1.3810, Min=-2.3741, Max=4.5112, RMS=1.3810
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0014, Std=1.0170, Min=-2.2776, Max=2.5078, RMS=1.0170
  Col 19: Mean=0.0076, Std=1.0285, Min=-2.8269, Max=2.7727, RMS=1.0285
  Col 20: Mean=-0.0002, Std=1.2830, Min=-2.4303, Max=4.6472, RMS=1.2830
  Col 21: Mean=-0.0085, Std=0.8936, Min=-2.4636, Max=2.1825, RMS=0.8937
  Col 22: Mean=-0.0027, Std=0.9398, Min=-2.3709, Max=2.6644, RMS=0.9398
  Col 23: Mean=-0.0089, Std=1.2845, Min=-2.1536, Max=4.8720, RMS=1.2846
  Col 24: Mean=0.0006, Std=0.7040, Min=-1.9426, Max=1.9399, RMS=0.7040
  Col 25: Mean=-0.0049, Std=1.0982, Min=-2.8188, Max=3.2576, RMS=1.0982
  Col 26: Mean=-0.0108, Std=1.4297, Min=-2.8721, Max=4.2104, RMS=1.4297
  Col 27: Mean=-0.0101, Std=0.5877, Min=-1.3461, Max=1.5606, RMS=0.5878
  Col 28: Mean=0.0102, Std=1.5523, Min=-3.9397, Max=4.1647, RMS=1.5523
  Col 29: Mean=-0.0099, Std=1.3040, Min=-2.5436, Max=4.0248, RMS=1.3040
  Col 30: Mean=-0.0206, Std=0.6929, Min=-1.6854, Max=2.3107, RMS=0.6932
  Col 31: Mean=0.0247, Std=2.0827, Min=-5.0721, Max=6.1357, RMS=2.0828
  Col 32: Mean=-0.0060, Std=1.3072, Min=-3.1397, Max=3.9089, RMS=1.3072
  Col 33: Mean=-0.0071, Std=0.9685, Min=-3.1321, Max=2.2735, RMS=0.9685
  Col 34: Mean=0.0032, Std=1.0043, Min=-3.1158, Max=1.7772, RMS=1.0043
  Col 35: Mean=-0.0091, Std=1.2415, Min=-2.2054, Max=4.5689, RMS=1.2415
  Col 36: Mean=-0.0069, Std=0.8630, Min=-1.7904, Max=2.1802, RMS=0.8630
  Col 37: Mean=0.0059, Std=1.4108, Min=-6.7209, Max=4.4905, RMS=1.4108
  Col 38: Mean=-0.0134, Std=1.3310, Min=-2.3553, Max=4.2224, RMS=1.3311
  Col 39: Mean=-0.0047, Std=0.9579, Min=-1.9224, Max=2.4415, RMS=0.9579
  Col 40: Mean=0.0104, Std=1.5288, Min=-4.3485, Max=3.5055, RMS=1.5288
  Col 41: Mean=-0.0151, Std=1.3257, Min=-2.5594, Max=4.2630, RMS=1.3258
  Col 42: Mean=-0.0011, Std=1.2824, Min=-3.3245, Max=3.0197, RMS=1.2824
  Col 43: Mean=0.0109, Std=2.4462, Min=-7.0850, Max=5.6843, RMS=2.4462
  Col 44: Mean=-0.0205, Std=1.5727, Min=-3.6864, Max=6.3521, RMS=1.5729
  Col 45: Mean=-0.0111, Std=1.6362, Min=-7.5273, Max=9.4555, RMS=1.6362
  Col 46: Mean=0.0085, Std=2.9971, Min=-8.4114, Max=10.0595, RMS=2.9971
  Col 47: Mean=-0.0102, Std=2.7089, Min=-17.5654, Max=21.5583, RMS=2.7089
  Col 48: Mean=0.0065, Std=1.7909, Min=-8.4987, Max=9.0132, RMS=1.7909
  Col 49: Mean=0.0241, Std=3.6205, Min=-9.6480, Max=14.3843, RMS=3.6206
  Col 50: Mean=-0.0670, Std=2.0393, Min=-7.5492, Max=8.7868, RMS=2.0404
  Col 51: Mean=0.0031, Std=2.4912, Min=-12.1252, Max=17.5980, RMS=2.4912
  Col 52: Mean=0.0478, Std=6.5775, Min=-32.0913, Max=25.0785, RMS=6.5776
  Col 53: Mean=-0.0814, Std=4.6459, Min=-18.3644, Max=15.7014, RMS=4.6466
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=0.0126, Std=1.6533, Min=-4.9726, Max=7.4716, RMS=1.6534
  Col 58: Mean=0.0166, Std=2.7527, Min=-8.6329, Max=9.9048, RMS=2.7528
  Col 59: Mean=0.0029, Std=2.4544, Min=-9.7300, Max=10.7283, RMS=2.4544
  Col 60: Mean=-0.0084, Std=1.7038, Min=-9.8915, Max=8.7736, RMS=1.7039
  Col 61: Mean=0.0272, Std=3.5946, Min=-10.4156, Max=13.8857, RMS=3.5947
  Col 62: Mean=-0.0663, Std=2.1060, Min=-9.0749, Max=13.6394, RMS=2.1071
  Col 63: Mean=-0.0177, Std=2.5898, Min=-7.9865, Max=10.0655, RMS=2.5899
  Col 64: Mean=0.0434, Std=6.2933, Min=-22.5345, Max=27.8764, RMS=6.2934
  Col 65: Mean=-0.0885, Std=4.5816, Min=-20.2134, Max=13.3314, RMS=4.5824
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=12.6365, Std=4.9137, Min=3.8114, Max=25.8383, RMS=13.5583
  Col 1: Mean=-70.7114, Std=2.7589, Min=-74.8686, Max=-65.4746, RMS=70.7652
  Col 2: Mean=90.9975, Std=5.2689, Min=75.1606, Max=101.5058, RMS=91.1500
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-3.4041, Std=11.0215, Min=-22.3896, Max=18.0459, RMS=11.5352
  Col 13: Mean=-75.2825, Std=4.5670, Min=-80.4872, Max=-65.6325, RMS=75.4209
  Col 14: Mean=-75.3892, Std=11.4843, Min=-99.4804, Max=-57.7124, RMS=76.2589
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-80.8240, Std=4.8753, Min=-91.0981, Max=-71.3370, RMS=80.9709
  Col 19: Mean=-5.2050, Std=16.9470, Min=-22.6799, Max=22.0123, RMS=17.7283
