--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Eduardo/imu/stairs_down/Run_2
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0035, Std=1.1381, Min=-4.1654, Max=2.6645, RMS=1.1382
  Col 1: Mean=0.0280, Std=1.4166, Min=-4.7924, Max=5.3034, RMS=1.4169
  Col 2: Mean=-0.0031, Std=3.5269, Min=-6.4469, Max=12.7985, RMS=3.5269
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-0.0076, Std=0.8362, Min=-3.0607, Max=2.2681, RMS=0.8363
  Col 13: Mean=0.0327, Std=0.9405, Min=-2.6139, Max=2.0739, RMS=0.9411
  Col 14: Mean=-0.2713, Std=3.7454, Min=-9.2982, Max=10.4642, RMS=3.7553
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-0.0136, Std=1.1011, Min=-3.7257, Max=3.2618, RMS=1.1012
  Col 19: Mean=0.0456, Std=1.0293, Min=-2.1832, Max=1.8179, RMS=1.0303
  Col 20: Mean=-0.0737, Std=3.3802, Min=-9.1274, Max=10.8661, RMS=3.3810
  Col 21: Mean=0.0030, Std=0.8489, Min=-2.3923, Max=2.6049, RMS=0.8489
  Col 22: Mean=0.0344, Std=1.1600, Min=-4.6232, Max=3.6451, RMS=1.1605
  Col 23: Mean=-0.0000, Std=3.3329, Min=-5.2946, Max=9.1847, RMS=3.3329
  Col 24: Mean=-0.0213, Std=1.5449, Min=-4.5081, Max=4.5270, RMS=1.5451
  Col 25: Mean=0.0150, Std=1.0943, Min=-3.5185, Max=2.4941, RMS=1.0944
  Col 26: Mean=-0.0069, Std=3.7349, Min=-5.6115, Max=10.3945, RMS=3.7349
  Col 27: Mean=0.0019, Std=2.3017, Min=-5.6047, Max=5.4409, RMS=2.3017
  Col 28: Mean=0.0170, Std=0.9615, Min=-3.9243, Max=2.5913, RMS=0.9617
  Col 29: Mean=-0.0086, Std=4.2274, Min=-7.3237, Max=12.1515, RMS=4.2274
  Col 30: Mean=0.0144, Std=3.6986, Min=-10.7539, Max=12.3506, RMS=3.6986
  Col 31: Mean=0.0307, Std=1.6223, Min=-4.9791, Max=5.2857, RMS=1.6226
  Col 32: Mean=-0.0291, Std=4.6724, Min=-10.2124, Max=12.9938, RMS=4.6725
  Col 33: Mean=0.0086, Std=0.7999, Min=-2.1998, Max=2.8521, RMS=0.7999
  Col 34: Mean=0.0389, Std=1.2156, Min=-4.9200, Max=3.0358, RMS=1.2162
  Col 35: Mean=-0.0007, Std=3.2989, Min=-5.3694, Max=9.6707, RMS=3.2989
  Col 36: Mean=-0.0088, Std=1.6352, Min=-5.6740, Max=3.7198, RMS=1.6352
  Col 37: Mean=0.0418, Std=1.2310, Min=-3.6199, Max=3.7516, RMS=1.2317
  Col 38: Mean=-0.0090, Std=3.6120, Min=-5.8402, Max=9.6260, RMS=3.6120
  Col 39: Mean=0.0620, Std=2.1396, Min=-6.3201, Max=4.9129, RMS=2.1405
  Col 40: Mean=0.0337, Std=1.2519, Min=-2.8678, Max=5.1509, RMS=1.2523
  Col 41: Mean=-0.0071, Std=3.8976, Min=-6.8298, Max=10.2994, RMS=3.8977
  Col 42: Mean=0.0282, Std=3.4192, Min=-7.2405, Max=10.2208, RMS=3.4194
  Col 43: Mean=0.0328, Std=1.6201, Min=-5.3424, Max=3.6240, RMS=1.6204
  Col 44: Mean=-0.4302, Std=4.5712, Min=-9.8127, Max=11.3018, RMS=4.5914
  Col 45: Mean=-0.0147, Std=3.0116, Min=-7.7370, Max=7.5940, RMS=3.0116
  Col 46: Mean=0.0149, Std=2.2006, Min=-5.8381, Max=12.1230, RMS=2.2007
  Col 47: Mean=-0.0055, Std=3.6618, Min=-8.6656, Max=13.7392, RMS=3.6618
  Col 48: Mean=0.0142, Std=3.9577, Min=-9.9798, Max=16.4283, RMS=3.9577
  Col 49: Mean=-0.0080, Std=2.1617, Min=-10.9832, Max=10.4364, RMS=2.1617
  Col 50: Mean=-0.5573, Std=3.8327, Min=-9.2093, Max=22.7878, RMS=3.8730
  Col 51: Mean=-0.0116, Std=7.2156, Min=-42.1848, Max=24.2236, RMS=7.2156
  Col 52: Mean=0.0036, Std=3.3262, Min=-20.4221, Max=29.9518, RMS=3.3262
  Col 53: Mean=-0.0276, Std=6.4584, Min=-24.3473, Max=50.1657, RMS=6.4584
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0134, Std=3.0745, Min=-10.5047, Max=10.7539, RMS=3.0745
  Col 58: Mean=0.0039, Std=2.1720, Min=-14.1952, Max=6.6898, RMS=2.1720
  Col 59: Mean=0.0044, Std=3.9076, Min=-8.1810, Max=15.9821, RMS=3.9076
  Col 60: Mean=0.0723, Std=4.2492, Min=-15.1586, Max=16.3317, RMS=4.2499
  Col 61: Mean=0.0222, Std=2.5769, Min=-19.7850, Max=10.6113, RMS=2.5770
  Col 62: Mean=-0.2005, Std=4.2341, Min=-10.4474, Max=24.4754, RMS=4.2388
  Col 63: Mean=0.0704, Std=8.4691, Min=-68.7410, Max=43.8582, RMS=8.4694
  Col 64: Mean=0.0013, Std=3.5163, Min=-27.8165, Max=20.9176, RMS=3.5163
  Col 65: Mean=-0.1106, Std=6.8790, Min=-25.6539, Max=58.4389, RMS=6.8799
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

