--- IMU STATS REPORT ---
Source: /Volumes/LaCie/GAIT/dataset/Eduardo/imu/stairs_up/Run_1
==============================

[Sensor_Free_Acceleration.csv] (Cols: 69)
  Col 0: Mean=-0.0132, Std=1.1750, Min=-3.0968, Max=3.0429, RMS=1.1751
  Col 1: Mean=-0.0111, Std=0.9415, Min=-2.4119, Max=2.7702, RMS=0.9416
  Col 2: Mean=-0.1059, Std=2.3598, Min=-8.9979, Max=8.0123, RMS=2.3622
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=0.0119, Std=0.9905, Min=-2.3014, Max=4.0381, RMS=0.9906
  Col 13: Mean=-0.0151, Std=1.0573, Min=-2.4048, Max=3.0142, RMS=1.0574
  Col 14: Mean=0.0054, Std=2.4910, Min=-4.3711, Max=7.0068, RMS=2.4910
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=0.0071, Std=0.8466, Min=-2.0114, Max=3.3419, RMS=0.8466
  Col 19: Mean=-0.0135, Std=1.2725, Min=-2.7409, Max=2.9748, RMS=1.2725
  Col 20: Mean=0.0040, Std=2.3410, Min=-4.0713, Max=6.6019, RMS=2.3410
  Col 21: Mean=0.0101, Std=1.0977, Min=-2.4236, Max=3.4459, RMS=1.0977
  Col 22: Mean=-0.0158, Std=1.2166, Min=-2.6856, Max=2.3522, RMS=1.2167
  Col 23: Mean=-0.0029, Std=2.2178, Min=-4.1694, Max=6.4563, RMS=2.2178
  Col 24: Mean=0.0244, Std=1.7313, Min=-3.9085, Max=5.1724, RMS=1.7314
  Col 25: Mean=-0.0055, Std=1.0591, Min=-2.7032, Max=3.2190, RMS=1.0592
  Col 26: Mean=0.0058, Std=2.4873, Min=-5.1273, Max=6.5022, RMS=2.4873
  Col 27: Mean=-0.0045, Std=3.0174, Min=-5.8989, Max=6.3472, RMS=3.0174
  Col 28: Mean=-0.0066, Std=0.6014, Min=-1.5004, Max=1.5403, RMS=0.6014
  Col 29: Mean=0.0196, Std=2.7792, Min=-5.4637, Max=6.1627, RMS=2.7792
  Col 30: Mean=0.0726, Std=4.1205, Min=-7.7594, Max=10.8248, RMS=4.1211
  Col 31: Mean=-0.0125, Std=1.0181, Min=-3.2727, Max=2.2984, RMS=1.0182
  Col 32: Mean=-0.2012, Std=3.4357, Min=-9.1110, Max=7.8762, RMS=3.4416
  Col 33: Mean=0.0087, Std=1.0190, Min=-2.4599, Max=3.5360, RMS=1.0190
  Col 34: Mean=-0.0154, Std=1.3224, Min=-3.4585, Max=2.5559, RMS=1.3225
  Col 35: Mean=-0.0010, Std=2.2937, Min=-4.0725, Max=7.2412, RMS=2.2937
  Col 36: Mean=0.0300, Std=1.7612, Min=-4.7104, Max=6.6901, RMS=1.7615
  Col 37: Mean=-0.0179, Std=1.2265, Min=-3.0914, Max=2.5593, RMS=1.2267
  Col 38: Mean=0.0003, Std=2.5490, Min=-4.4611, Max=6.8187, RMS=2.5490
  Col 39: Mean=-0.0359, Std=2.7482, Min=-5.9070, Max=5.2919, RMS=2.7485
  Col 40: Mean=-0.0140, Std=1.0732, Min=-5.7267, Max=2.2608, RMS=1.0733
  Col 41: Mean=0.0113, Std=2.8330, Min=-5.6997, Max=7.8453, RMS=2.8331
  Col 42: Mean=-0.0678, Std=4.2258, Min=-7.5316, Max=10.7656, RMS=4.2263
  Col 43: Mean=-0.0076, Std=1.4215, Min=-7.0788, Max=3.6927, RMS=1.4215
  Col 44: Mean=0.0094, Std=3.3399, Min=-7.5269, Max=10.6200, RMS=3.3399
  Col 45: Mean=-0.0077, Std=2.9110, Min=-8.9833, Max=9.4955, RMS=2.9110
  Col 46: Mean=-0.0073, Std=1.4332, Min=-4.2795, Max=5.4887, RMS=1.4332
  Col 47: Mean=-0.0072, Std=3.6115, Min=-10.1878, Max=15.0966, RMS=3.6115
  Col 48: Mean=-0.0485, Std=4.1549, Min=-16.8357, Max=22.0795, RMS=4.1552
  Col 49: Mean=-0.0069, Std=2.2591, Min=-11.7778, Max=15.7357, RMS=2.2591
  Col 50: Mean=-0.0429, Std=3.6246, Min=-11.1077, Max=13.2345, RMS=3.6248
  Col 51: Mean=-0.0966, Std=6.1906, Min=-13.0412, Max=47.7991, RMS=6.1913
  Col 52: Mean=-0.0202, Std=2.5103, Min=-24.5045, Max=16.5659, RMS=2.5104
  Col 53: Mean=-0.0459, Std=5.6829, Min=-13.3992, Max=34.2325, RMS=5.6831
  Col 54: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 55: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 56: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 57: Mean=-0.0173, Std=2.9493, Min=-9.6574, Max=7.3717, RMS=2.9493
  Col 58: Mean=-0.0148, Std=1.7017, Min=-8.5852, Max=4.6885, RMS=1.7018
  Col 59: Mean=-0.0048, Std=3.4149, Min=-8.4751, Max=10.7368, RMS=3.4149
  Col 60: Mean=-0.0411, Std=4.1150, Min=-11.8160, Max=24.4270, RMS=4.1152
  Col 61: Mean=-0.0213, Std=2.9238, Min=-25.9160, Max=18.6666, RMS=2.9238
  Col 62: Mean=-0.0433, Std=3.5175, Min=-9.4933, Max=15.1753, RMS=3.5178
  Col 63: Mean=-0.1138, Std=6.3712, Min=-15.6796, Max=51.6173, RMS=6.3722
  Col 64: Mean=0.0095, Std=2.3777, Min=-20.3944, Max=14.8925, RMS=2.3778
  Col 65: Mean=-0.0472, Std=5.3626, Min=-16.7647, Max=28.6515, RMS=5.3628
  Col 66: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 67: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 68: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000

[Sensor_Orientation_Euler.csv] (Cols: 69)
  Col 0: Mean=13.7411, Std=20.8466, Min=-5.6320, Max=179.5986, RMS=24.9679
  Col 1: Mean=-72.9122, Std=8.0788, Min=-78.8174, Max=-6.0165, RMS=73.3584
  Col 2: Mean=33.6799, Std=169.3472, Min=-179.9941, Max=179.9122, RMS=172.6638
  Col 3: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 4: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 5: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 6: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 7: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 8: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 9: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 10: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 11: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 12: Mean=-5.2558, Std=17.6988, Min=-36.7312, Max=42.1044, RMS=18.4627
  Col 13: Mean=-77.1077, Std=3.9119, Min=-85.0784, Max=-67.9496, RMS=77.2069
  Col 14: Mean=13.0793, Std=18.4813, Min=-41.1334, Max=53.7971, RMS=22.6412
  Col 15: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 16: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 17: Mean=0.0000, Std=0.0000, Min=0.0000, Max=0.0000, RMS=0.0000
  Col 18: Mean=-81.8984, Std=3.0111, Min=-87.2675, Max=-73.6286, RMS=81.9537
  Col 19: Mean=5.1126, Std=11.3597, Min=-13.7115, Max=25.4252, RMS=12.4571
  Col 20: Mean=-5.0184, Std=3.4189, Min=-13.2315, Max=4.4165, RMS=6.0724
  Col 21: Mean=49.1816, Std=3.9711, Min=40.7162, Max=59.5146, RMS=49.3416
  Col 22: Mean=-0.1099, Std=3.2856, Min=-5.5485, Max=6.9199, RMS=3.2875
  Col 23: Mean=112.5204, Std=6.9988, Min=100.8453, Max=128.8900, RMS=112.7378
  Col 24: Mean=6.7879, Std=22.4494, Min=-34.6820, Max=49.6870, RMS=23.4532
  Col 25: Mean=-73.0646, Std=3.9382, Min=-82.8049, Max=-62.8636, RMS=73.1706
  Col 26: Mean=-64.3292, Std=30.4509, Min=-120.3974, Max=-18.5440, RMS=71.1723
  Col 27: Mean=-35.0555, Std=22.6844, Min=-59.2009, Max=60.1290, RMS=41.7549
  Col 28: Mean=-66.2075, Std=15.3980, Min=-88.0720, Max=-29.6386, RMS=67.9744
  Col 29: Mean=-11.1987, Std=28.4567, Min=-120.4952, Max=18.8489, RMS=30.5809
  Col 30: Mean=74.3725, Std=16.0359, Min=57.9340, Max=173.0573, RMS=76.0816
